rank,model,theta_cat,eap_sd,se_param,se_total,n_scen,n_crit,reason,reach_se_post,weak
1,meta-llama/Llama-3.2-3B-Instruct,3.764467439946899,0.2496061651089141,0.1195760339137141,0.2767700589784094,24,81,reach,True,False
2,tiiuae/Falcon3-3B-Instruct,3.7480881688518273,0.2447909146053286,0.1226114965116665,0.2737812465274853,26,95,reach,True,False
3,ibm-granite/granite-3.1-2b-instruct,3.745875751090923,0.2481201544206904,0.1033911598362749,0.2687998194977768,21,82,reach,True,False
4,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3.5965562981507797,0.2454498768547559,0.1332060022788656,0.2792659683726823,23,86,reach,True,False
5,pankajmathur/orca_mini_v9_5_3B-Instruct,3.047386519531189,0.2490098637849033,0.1023764032860947,0.2692338021348233,21,78,reach,True,False
6,01-ai/Yi-1.5-6B-Chat,3.0226288938175045,0.2473013192757396,0.1623945598161875,0.2958545851823402,20,85,reach,True,False
7,nvidia/AceInstruct-1.5B,3.0112071064871384,0.2418093559789889,0.1447877671458332,0.2818426194776961,20,77,reach,True,False
8,arcee-ai/raspberry-3B,2.5848690661494733,0.2486172728370128,0.1157643613183204,0.2742479456702498,20,66,reach,True,False
9,allenai/OLMo-2-0425-1B-DPO,2.546713628020258,0.248880754383614,0.1172254496717462,0.2751062266712622,18,72,reach,True,False
10,meta-llama/Llama-3.2-1B-Instruct,2.4939650609520503,0.2466710602596548,0.139546459974457,0.2834075271777815,19,68,reach,True,False
11,allenai/OLMo-2-0425-1B-Instruct,2.1255437197818807,0.2346539286713475,0.0703301864551821,0.2449669393361449,15,76,reach,True,False
12,stabilityai/stablelm-zephyr-3b,2.017534395137471,0.2424333917739827,0.103203772740501,0.2634861820948309,17,82,reach,True,False
13,stabilityai/stablelm-2-zephyr-1_6b,1.8299109282500312,0.2408741942036855,0.0602962995063097,0.2483063051302351,15,64,reach,True,False
14,stabilityai/stablelm-2-1_6b-chat,1.7789914482104852,0.2384082683099543,0.0833651000190137,0.2525633431433218,15,67,reach,True,False
15,ibm-granite/granite-7b-instruct,1.684535901404579,0.2415753515851126,0.0957446585144861,0.2598570571054909,15,63,reach,True,False
16,tiiuae/Falcon3-1B-Instruct,1.4939525971578511,0.2288151192501866,0.0833390511566181,0.2435195192282593,15,69,reach,True,False
17,BSC-LT/salamandra-7b-instruct,1.4333829484211675,0.2414094743054374,0.0850720481014194,0.255960519714658,15,63,reach,True,False
18,h2oai/h2o-danube2-1.8b-chat,1.420426941891239,0.2256978055926521,0.0984045260981061,0.2462172825086238,15,70,reach,True,False
19,OpenBMB/MiniCPM4-0.5B,1.2412982938389996,0.1967240387623373,0.0860789770397122,0.214732246565738,15,81,reach,True,False
20,Qwen/Qwen2.5-0.5B-Instruct,1.2336602362986089,0.1914508150993308,0.0848453021315016,0.2094090253450981,15,85,reach,True,False
21,BSC-LT/salamandra-2b-instruct,1.2044848902081349,0.2259241397815774,0.1091419149666035,0.2509057084616112,15,61,reach,True,False
22,Qwen/Qwen1.5-1.8B-Chat,1.1933630279604217,0.2251483129713412,0.0747524391784502,0.2372334082648751,15,77,reach,True,False
23,01-ai/Yi-6B-Chat,1.119012172220173,0.2281272527588471,0.0708468128853917,0.2388751019828492,15,70,reach,True,False
24,h2oai/h2o-danube-1.8b-chat,1.0748224961106163,0.2144341844165519,0.0893662705014208,0.2323108902951494,15,79,reach,True,False
25,utter-project/EuroLLM-1.7B-Instruct,1.0601032111666913,0.2138248929760755,0.0761179052685792,0.2269692057498253,15,68,reach,True,False
26,openbmb/MiniCPM-2B-sft-bf16,0.9346179346732192,0.2171591424324498,0.1034791389960097,0.2405535810362268,15,69,reach,True,False
27,ibm-granite/granite-3.0-2b-base,0.7547989761765004,0.218267731099912,0.0639907146599428,0.2274546416369508,15,69,reach,True,False
28,ibm/PowerLM-3b,0.292565598025864,0.2368675881640132,0.0589163574499506,0.2440848039059518,15,48,reach,True,False
29,ibm-granite/granite-3.1-2b-base,-0.3061968523823388,0.225767366278323,0.0845395303327506,0.2410764108433932,15,52,reach,True,False
30,pankajmathur/orca_mini_3b,-0.5885939535395677,0.2267016801966696,0.1073200150558544,0.2508211263741193,15,60,reach,True,False
31,h2oai/h2o-danube2-1.8b-base,-0.7296132285609899,0.2342060310978447,0.0621533376885807,0.2423128192820911,16,55,reach,True,False
32,openbmb/MiniCPM-1B-sft-bf16,-1.124364048011197,0.2482835115394139,0.0691571420608392,0.2577351594182784,15,47,reach,True,False
33,Qwen/Qwen2-0.5B,-1.2213006411030798,0.2496677227994852,0.0701306571152074,0.2593304472584956,17,50,reach,True,False
34,google/gemma-2-2b,-1.2795092672723047,0.246185724748862,0.0797725380164116,0.258787690765427,16,54,reach,True,False
35,microsoft/phi-1_5,-1.2854849325803757,0.2483798626423063,0.073818368714064,0.2591171698784479,15,47,reach,True,False
36,tiiuae/Falcon3-3B-Base,-1.4253787078515254,0.2465369417927379,0.0619869411063945,0.2542102368832606,17,54,reach,True,False
37,01-ai/Yi-6B,-1.576749680165814,0.2417194323049765,0.0755447042358991,0.2532494546725217,17,56,reach,True,False
38,google/gemma-2b,-1.8177302936544144,0.2436510676057067,0.0645701799397924,0.2520617997294668,19,59,reach,True,False
39,BSC-LT/salamandra-7b,-1.8610440075158503,0.2482834232007614,0.0712445464454103,0.2583030074050642,19,54,reach,True,False
40,BSC-LT/salamandra-2b,-2.019199596123089,0.2418116646099437,0.0638438893089896,0.2500978275466031,18,60,reach,True,False
41,utter-project/EuroLLM-1.7B,-2.146253011134092,0.2483121008669748,0.0879100396235192,0.2634142640472975,18,58,reach,True,False
42,01-ai/Yi-1.5-6B,-2.642638812972313,0.2531308179665957,0.0755956340076005,0.2641778016515561,20,62,plateau,False,False
43,allenai/OLMo-2-0425-1B,-3.03974303127059,0.2902665091128472,0.0932298396252828,0.3048712011802929,18,56,plateau,False,False
44,meta-llama/Llama-3.2-1B,-3.2497909842320283,0.2560574232862534,0.0708384162912322,0.2656755262395192,24,72,plateau,False,False
45,01-ai/Yi-6B-200K,-3.7393936930000535,0.2699515867688285,0.0854942253511358,0.2831662440464949,26,73,plateau,False,False
46,Qwen/Qwen1.5-1.8B,-3.78627759201261,0.2622152289234477,0.0928750745346735,0.2781772919366302,25,81,plateau,False,False
47,openlm-research/open_llama_3b,-3.794470646054311,0.3201246686420134,0.1136958138112553,0.3397153831538432,18,59,plateau,False,False
48,HuggingFaceTB/SmolLM2-360M,-3.8960818778302255,0.2972642909844924,0.1032536641828375,0.3146861577217771,19,59,plateau,False,False
49,BEE-spoke-data/smol_llama-220M-openhermes,-4.420109383711663,0.3362129026377494,0.1652347925380393,0.3746220129212773,20,64,plateau,False,True
50,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-6.449091102727688,0.4367134080102948,0.2565014622476279,0.506469743292862,18,52,plateau,False,True
51,ai-forever/mGPT,-6.604554305406311,0.4300952527562917,0.2641357378425282,0.5047272673921187,17,47,plateau,False,True
52,allenai/OLMo-1B-hf,-7.684707172881804,0.4416011043121922,0.2474219399115062,0.5061908253606743,20,58,plateau,False,True
