model,n_obs_items,cat_n_items,obs_acc,pred_acc_cat,pred_acc_full,theta_full_correctness,theta_cat_correctness,final_se_correctness,n_cross_correctness,theta_full_scaffolding,theta_cat_scaffolding,final_se_scaffolding,n_cross_scaffolding
01-ai/Yi-6B,3367,23,0.08731808731808732,0.10902650863716726,0.08692514188317325,-1.0829047976511332,-0.5111240670529225,0.29617435808753995,23.0,-0.18017712676583597,-0.4149455171100174,0.2522038209711302,11
01-ai/Yi-6B-Chat,3343,17,0.12653305414298535,0.1313995665512664,0.12130379497227439,-0.2002897004352283,-0.02290981355942817,0.25861008811970126,13.0,-0.8690092902646803,-0.9561074339089762,0.2947157994686343,17
EleutherAI/pythia-1.4b,3408,96,0.07247652582159625,0.06819562197676765,0.06829977900821645,-2.426595393841075,-2.499132292417635,0.29680642487065206,96.0,0.8651646518227947,0.9457590375832058,0.14094353870354556,8
EleutherAI/pythia-160m,3406,95,0.04580152671755725,0.07097772032648969,0.0545803713335766,-5.537767332418982,-2.6450732478211796,0.29681095173359406,95.0,1.3593560858585256,1.2820491136802064,0.14128129590131067,9
EleutherAI/pythia-1b,3403,91,0.06758742286218043,0.06697491024543482,0.06478308802728915,-2.6196150203165356,-2.611164215852764,0.29768264921846693,91.0,0.9049905279481275,1.072618434946475,0.14402400454484046,10
EleutherAI/pythia-2.8b,3405,58,0.06343612334801763,0.07494982306727499,0.06345881455314928,-2.6497834770752955,-2.060209038892131,0.2986111188864657,58.0,0.6899733921247264,0.8138509388567579,0.1550138187106698,9
EleutherAI/pythia-410m,3409,86,0.059548254620123205,0.0694241014005092,0.059040592842696846,-3.6618695021362577,-2.5478869775803528,0.29791875632432263,86.0,1.1565530862389461,1.0835518298581717,0.1415281730771236,9
EleutherAI/pythia-6.9b,3399,37,0.06237128567225655,0.08301916661382502,0.06086210065401888,-2.4116908506639603,-1.4451206348645058,0.29383496663612746,37.0,0.29532243671058067,0.3348891496724171,0.193462916466313,10
EleutherAI/pythia-70m,3414,96,0.03485647334504979,0.06524420933477344,0.044703141060656,-5.614263177779688,-2.5361510167612438,0.29697069153228955,96.0,0.643297017834586,0.780507160199059,0.1402561238997263,8
HuggingFaceH4/zephyr-7b-beta,3364,19,0.26010701545778836,0.22553228490336186,0.2485764224722075,1.0684442198323796,0.9635699599798889,0.11906173341493562,6.0,0.4209498132528132,-0.296917700157975,0.2911254443400453,19
HuggingFaceTB/SmolLM2-1.7B,3373,21,0.10317225022235399,0.11170789935003071,0.10157166849380353,-0.7064121498476384,-0.46824992988390457,0.29640244482110667,21.0,-0.30018861742423764,-0.4168665556701678,0.273478916502476,13
HuggingFaceTB/SmolLM2-1.7B-Instruct,3343,22,0.16003589590188452,0.17527749224904687,0.1557570278878272,0.29131226969796753,0.5416065600118222,0.18938608908050855,12.0,-0.8238460659917322,-0.8962073457395938,0.29886545072166304,22
HuggingFaceTB/SmolLM2-135M,3298,34,0.04335961188599151,0.06763227358066633,0.04502067728405367,-3.897431776250844,-1.9504905629733453,0.2948776371552195,34.0,0.16989623589491148,0.08835694085669012,0.20510992444996057,10
HuggingFaceTB/SmolLM2-360M,3393,44,0.04715590922487474,0.06667784741965328,0.05023620946172144,-3.2899561222022013,-1.9328691537142706,0.2961403350105511,44.0,0.3036665622793019,0.06723725874708573,0.18994337841901582,11
HuggingFaceTB/SmolLM2-360M-Instruct,3381,22,0.06654835847382432,0.08826771642527827,0.06783907854524579,-1.4300772480794888,-0.961793741008636,0.2949164344414185,22.0,-0.9028748796089557,-0.4676531955209353,0.26862365881972067,14
LLM360/Amber,3395,47,0.038880706921944036,0.06858049382102559,0.04309233846547033,-4.705496057960051,-2.070046672167315,0.2975264825475325,47.0,0.43289541822100824,0.523463687558656,0.17940535068371205,9
Qwen/Qwen2-0.5B,3381,31,0.042295178941141674,0.0738551640812878,0.04872629830767851,-2.5476300646933,-1.4598489119773894,0.29603067435096614,31.0,-0.4796189581125633,-0.2928325523069057,0.21122008342265075,9
Qwen/Qwen2-1.5B,3377,15,0.10097719869706841,0.10781918887552916,0.09630195694488686,-0.6125814241355478,-0.3703276568066314,0.2965084337129936,15.0,-1.2354994365622602,-1.3192534804294058,0.2656039634845764,7
Qwen/Qwen2-7B,3359,24,0.29770765108663294,0.2591963155926391,0.28606588152902784,1.4170722136653273,1.2315927016027932,0.0932912290131337,5.0,0.06425342665463679,-0.18041997561233986,0.29567846026293537,24
Qwen/Qwen2.5-0.5B,3373,19,0.06759561221464572,0.10304439792999226,0.07109805556642639,-1.3134952640001407,-0.5603824147290593,0.29624408896992416,19.0,-1.0230260474493422,-0.7923863367919941,0.2793995698766058,14
Qwen/Qwen2.5-0.5B-Instruct,3370,27,0.09050445103857567,0.09930877085163069,0.09256655433037682,-0.7096881507513525,-0.6462221000748746,0.292743491986745,27.0,-1.1538448017443654,-0.756224762826636,0.24223010483190147,10
Qwen/Qwen2.5-1.5B,3127,77,0.19155740326191237,0.22555096434032013,0.19215352324930973,0.7643311520362822,1.0586275817362754,0.09216616993611858,6.0,-1.5469116414200217,-1.1789803852529366,0.29654037370201664,77
Qwen/Qwen2.5-1.5B-Instruct,3323,25,0.24766777008727053,0.23887595631995276,0.23954003169790733,1.2082371555949367,1.2168324846441847,0.10748005171643954,6.0,-1.3358446845425638,-1.5029599124657682,0.27899114414730347,25
Qwen/Qwen2.5-3B,3344,26,0.2897727272727273,0.2668955992044418,0.27750851220236106,1.4527354980394995,1.3502095309306135,0.08677951172787272,6.0,-0.7752378947679692,-0.615008743992793,0.2793799661460806,26
Qwen/Qwen2.5-3B-Instruct,3327,7,0.3985572587917042,0.3048500062812823,0.3971852829891934,2.1664393197687413,1.4707744559444904,0.21928544136368797,7.0,0.45813575511128757,0.6191523385729951,0.24364029255952419,5
Qwen/Qwen2.5-7B,3343,12,0.3798982949446605,0.2391455210805189,0.39095319821560065,2.0687844323406352,0.7728497260645251,0.29406410938954075,12.0,1.0163933090936617,1.5610586135794777,0.16716211715990825,4
Qwen/Qwen2.5-7B-Instruct,3345,11,0.5103139013452915,0.33198075347011247,0.4793603713156692,2.5644897767867523,1.5657404930294505,0.2256954673434082,11.0,1.3908608402807288,1.4236989303631546,0.1607870671362173,4
Qwen/Qwen2.5-Coder-7B,3352,10,0.34695704057279236,0.24714099866637068,0.3259458964280693,1.7398650642134919,1.1293171594296634,0.19557804425753575,8.0,-0.007245254729396004,-0.13180518145377718,0.29914851273758747,10
Qwen/Qwen2.5-Math-7B,3369,15,0.36628079548827547,0.31174192188638755,0.37266119033937833,2.233907346624393,1.7170167708227213,0.11830635059028545,6.0,-1.5840576987585298,-0.7052316353370631,0.2901329112272632,15
Qwen/Qwen3-0.6B,3399,26,0.21241541629891145,0.26909049965576654,0.22155010785388482,1.086710309257158,1.3856273428195705,0.08766675258554703,6.0,-1.7267348763151928,-0.6289209448046905,0.2794703914322525,26
Qwen/Qwen3-1.7B,3394,12,0.4643488509133765,0.3326158247228429,0.4500289137576493,2.73059895454111,1.8281574609452436,0.13395738442226882,6.0,-1.966540908589912,-0.3641428032826375,0.29096450526204437,12
Qwen/Qwen3-4B,3399,20,0.5998823183289202,0.4382716393736601,0.6207125092154845,3.7279704518955605,2.5850181629887605,0.09601949902889247,5.0,-1.9646076754812538,-0.7466381607231508,0.29981607338897664,20
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3380,18,0.04053254437869822,0.08770552093176032,0.044273231410875566,-2.37814695208401,-0.8581343777479921,0.29615309065170436,18.0,-1.1447657482675897,-0.8584391961185842,0.2940365914858701,15
allenai/OLMo-2-0425-1B,3383,24,0.10434525569021579,0.12345430286719697,0.09918672266310037,-0.7650316483044961,-0.31725996834426706,0.2970556742140078,24.0,-0.2889882480862075,-0.13645048843215407,0.23004746371371532,9
allenai/OLMo-2-1124-7B,3357,60,0.24754244861483468,0.22066322188878515,0.2331513134830284,1.0613235107491492,0.970525607482103,0.08570416575521017,6.0,-0.41207515056020694,-0.6039217622746633,0.2907707427705655,60
bigscience/bloom-1b1,3395,68,0.03799705449189985,0.060951704259812764,0.042857099071464844,-4.300244256737942,-2.321472138215245,0.2977154542799928,68.0,0.3046912775409136,0.30679088926374937,0.15570498896674964,8
bigscience/bloom-1b7,3393,59,0.02888299440023578,0.060934887522592344,0.03598317881276744,-4.837123620047868,-2.3000931693134103,0.29547609912046513,59.0,-0.10428686718263981,0.2949313573848457,0.16693167259046565,8
bigscience/bloom-3b,3396,66,0.03356890459363958,0.06116333317423624,0.04046575091194922,-3.790819100802745,-2.2983921279924764,0.29665150918335004,66.0,-0.1664394377017721,0.2400938449387316,0.16170526006314379,10
bigscience/bloom-560m,3384,57,0.02925531914893617,0.060753665983858215,0.03698316229167982,-5.507112664061824,-2.350055967127737,0.2978755032129883,57.0,0.2534346678917704,0.46672479792972765,0.17040950909692665,8
bigscience/bloom-7b1,3368,50,0.04423990498812352,0.07180388859433548,0.047869808939105356,-2.8147694847598617,-1.6438804988678655,0.29530157039400257,50.0,-0.1886975495939913,0.040697022688146,0.1690446744770334,8
bigscience/bloomz-1b7,3421,100,0.05320081847413037,0.07317376595946457,0.057583666235603646,-5.464713919879138,-2.77114958589003,0.30234660822078135,,1.576218995950588,1.5661443012177478,0.14180225100177848,9
bigscience/bloomz-3b,3416,100,0.05122950819672131,0.07205151062169615,0.05581544538408157,-5.109224636850582,-2.65480339285318,0.3021855653001059,,1.4024336266566249,1.404664874558222,0.1398390226459052,9
bigscience/bloomz-7b1,3411,100,0.06479038405159777,0.0757668016347566,0.06682968617377509,-5.2027037825638045,-3.0969820786356794,0.3217820332775202,,2.4513435592132677,2.107123763966652,0.14158080481449803,9
deepseek-ai/deepseek-coder-6.7b-base,3395,33,0.09396170839469808,0.1013626201061877,0.09398743061930534,-0.8945393513169496,-0.78621536881192,0.2954577298652252,33.0,-0.2787556466012155,-0.06256741570584,0.20467902405645866,9
