model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding
01-ai/Yi-6B,10,40,precision_reached,True,40,0,0.08731808731808732,-1.0709472401598445,-1.102666,-1.3224317726932198,-1.4140809676811728,0.33641,32,-0.18559899939070254,-0.148507,-0.19518534420134587,-0.1778589028281331,0.325268,15
01-ai/Yi-6B-Chat,12,51,precision_reached,True,51,0,0.12653305414298535,-0.262028709508774,-0.788991,-0.8625638339913596,-0.8826490396074279,0.327358,41,-0.8618177605467816,-0.176182,-0.25589269289847366,-0.14775307982883618,0.333082,19
EleutherAI/pythia-1.4b,12,40,precision_reached,True,40,0,0.07247652582159625,-2.425622869868609,-1.826353,-2.498976227833764,-3.278769525690359,0.340234,31,0.8572912389872671,0.675913,0.7448252086747179,0.6871244527082454,0.342953,16
EleutherAI/pythia-160m,12,53,precision_reached,True,53,0,0.04580152671755725,-5.736133656337929,-1.739669,-2.5771384249890184,-4.426167421993868,0.306028,43,1.3573467304838673,1.210067,1.6879627972980198,3.509927750275625,0.309757,21
EleutherAI/pythia-1b,10,39,precision_reached,True,39,0,0.06758742286218043,-2.621579633507893,-1.61653,-2.2173613836010486,-2.903110088016046,0.348863,29,0.9004880569029323,0.56648,0.5516296926058919,0.5253346253748323,0.334862,16
EleutherAI/pythia-2.8b,11,49,precision_reached,True,49,0,0.06343612334801763,-2.6515618076520813,-1.407182,-1.6945989640259063,-1.8607967300152757,0.34154,39,0.694650762040399,0.742044,0.8329884881622966,1.0474153388375054,0.320574,24
EleutherAI/pythia-410m,14,56,precision_reached,True,56,0,0.059548254620123205,-3.6615912533253563,-1.74949,-2.482389044749913,-3.591306559750468,0.331896,46,1.149836670271624,0.451854,0.4678698908019236,0.49902373338985195,0.325838,16
EleutherAI/pythia-6.9b,12,54,precision_reached,True,54,0,0.06237128567225655,-2.4123740413615353,-1.626883,-2.347829575529447,-3.3111572011497374,0.320019,42,0.2900888175664066,0.590096,0.5271578704155356,0.5803086848286092,0.300898,27
EleutherAI/pythia-70m,9,47,precision_reached,True,47,0,0.03485647334504979,-5.922993552508258,-1.788628,-2.498659605612297,-3.3046002140937696,0.343227,42,0.6398949348516552,0.370116,0.1015122975209845,0.16167025412542776,0.335524,15
HuggingFaceH4/zephyr-7b-beta,7,45,precision_reached,True,45,0,0.26010701545778836,1.0666666646581588,1.021603,0.9789424313775329,1.0662841313718001,0.209401,37,0.4340333690130584,-0.253528,-0.39124313991883286,-0.3818629221890615,0.254048,15
HuggingFaceTB/SmolLM2-1.7B,10,37,precision_reached,True,37,0,0.10317225022235399,-0.7596159353679596,-0.430027,-0.581669212751851,-0.519769614183358,0.340899,28,-0.29427039818136747,-0.500779,-0.6956052063167641,-0.68999844138754,0.343808,16
HuggingFaceTB/SmolLM2-1.7B-Instruct,9,37,precision_reached,True,37,0,0.16003589590188452,0.26669029182473236,0.353301,0.36349276217863735,0.4591236854840483,0.280365,28,-0.8197081621063828,-0.833993,-0.9859598308115612,-0.989159980673175,0.290688,17
HuggingFaceTB/SmolLM2-135M,10,43,precision_reached,True,43,0,0.04335961188599151,-3.897561976765128,-1.143917,-1.8120017101688453,-2.4335855290243114,0.333747,33,0.17563328112976367,-0.077754,-0.15873679456250492,-0.1469232936139145,0.294106,17
HuggingFaceTB/SmolLM2-360M,12,49,precision_reached,True,49,0,0.04715590922487474,-3.2898325322330026,-1.492565,-1.8857890698016562,-2.209174363602755,0.34596,42,0.29834580879075834,0.346808,0.202584718073247,0.2776318016933442,0.326027,16
HuggingFaceTB/SmolLM2-360M-Instruct,13,49,precision_reached,True,49,0,0.06654835847382432,-1.4044252824404446,-1.544734,-1.72815777853375,-1.921663584166786,0.328297,39,-0.9026822201860336,-0.793832,-0.9864740037043688,-1.0001652352220052,0.336326,20
LLM360/Amber,11,51,precision_reached,True,51,0,0.038880706921944036,-4.705948345137682,-1.561779,-2.205673320808721,-3.1424808490724434,0.334675,41,0.4369535608701001,0.24289,0.05252430678374318,0.06767227369935784,0.330286,24
Qwen/Qwen2-0.5B,11,45,precision_reached,True,45,0,0.042295178941141674,-2.5468893057191018,-1.538134,-1.9935759618221105,-2.364797382108788,0.335225,36,-0.4831769479089256,0.31615,0.18559651582553965,0.16423900362162652,0.321482,16
