run,min_evals,se_target,precision_reached,scen_mean,crit_mean,corr_batch_r,corr_batch_slope,corr_mwle_r,corr_mwle_slope,scaf_batch_r,scaf_batch_slope,scaf_mwle_r,scaf_mwle_slope
floor10,10,0.3,82,13.5,60.1,0.946,0.703,0.959,0.896,0.927,0.887,0.908,1.047
floor11,11,0.3,82,13.5,60.1,0.946,0.702,0.959,0.896,0.925,0.891,0.907,1.05
floor12,12,0.3,82,13.6,60.2,0.946,0.703,0.959,0.896,0.926,0.889,0.908,1.049
floor13,13,0.3,82,13.6,60.3,0.946,0.702,0.959,0.896,0.93,0.889,0.911,1.049
floor14,14,0.3,82,13.6,60.6,0.946,0.703,0.959,0.896,0.931,0.889,0.912,1.049
floor15 (baseline),15,0.3,82,13.7,60.7,0.946,0.703,0.959,0.896,0.93,0.891,0.911,1.05
se0.20,15,0.2,49,38.9,183.8,0.974,0.848,0.979,1.082,0.971,0.956,0.97,1.013
se0.25,15,0.25,82,21.3,97.9,0.965,0.788,0.98,1.007,0.948,0.917,0.943,1.04
se0.30 (baseline),15,0.3,82,13.7,60.7,0.946,0.703,0.959,0.896,0.93,0.891,0.911,1.05
se0.35,15,0.35,82,10.0,44.1,0.937,0.63,0.95,0.818,0.915,0.86,0.9,1.104
se0.40,15,0.4,82,9.1,40.3,0.931,0.602,0.952,0.791,0.898,0.82,0.89,1.076
