model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_presentation,theta_cat_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation
01-ai/Yi-6B,35,202,precision_reached,True,202,0,0.10062893081761007,-1.0421107335034892,-0.909599,-1.0185940273056406,-1.0496318434843106,0.272027,149,-0.1737962853626626,0.11178,0.014777494736283824,0.08579429515309674,0.299474,43,-0.6773448611452006,-0.46009,-0.5017497722377118,-0.5314260454687915,0.298584,31
01-ai/Yi-6B-Chat,31,182,precision_reached,True,182,0,0.15729193178925935,-0.14109861166126592,-0.704393,-0.8026943406120621,-0.8012678157056038,0.284793,132,-0.8721792956387339,-0.689655,-0.7243331799383813,-0.7778899017417414,0.291542,51,0.5244758772716244,0.908607,0.8466083030048509,0.9527035075862934,0.299565,23
EleutherAI/pythia-1.4b,45,265,precision_reached,True,265,0,0.07437608104768964,-2.3352311776880366,-1.885531,-2.1136658153702164,-2.318730820431823,0.283099,200,0.9112121019381861,0.764442,0.5809265509014999,0.7298887217387822,0.294614,45,-1.7625006253650872,-1.46954,-1.5277647975267354,-1.6587243493520085,0.299922,42
EleutherAI/pythia-160m,50,302,max_scenarios_reached,False,302,0,0.03821499013806706,-5.646827642570607,-2.429782,-3.4254398351908826,-6.035911562786262,0.283118,227,1.4560477821149587,1.404086,1.4243325110252278,1.5925164456009993,0.28954,57,-4.797295706074128,-2.819968,-3.4877256644270718,-5.831471931170405,0.337901,46
EleutherAI/pythia-1b,50,287,max_scenarios_reached,False,287,0,0.0681986656782802,-2.534551929756399,-2.129618,-2.827630974050142,-3.531376865035638,0.28029,215,0.9676297299022474,0.637006,0.6769805246600332,0.7802366167795347,0.311798,48,-2.0585331176935715,-1.827144,-1.8797838081517044,-2.0573346625110367,0.317689,47
EleutherAI/pythia-2.8b,50,287,max_scenarios_reached,False,287,0,0.0605386706202125,-2.576303663573285,-2.203804,-2.9437393762529918,-4.147360259765719,0.295412,214,0.7421320529141571,0.969097,0.8614887127401658,0.9468658019818316,0.29176,56,-2.4474609431499728,-2.14624,-2.3908388389695516,-2.7175374253562627,0.307575,47
EleutherAI/pythia-410m,50,290,max_scenarios_reached,False,290,0,0.05295566502463054,-3.587260713867867,-2.148775,-2.8596599599503607,-3.609767215763756,0.285144,214,1.2269215417838293,1.221445,1.2297460572582148,1.36741415360054,0.274419,58,-3.5779725448214323,-2.457404,-2.925405553313124,-3.606532916363558,0.318324,47
EleutherAI/pythia-6.9b,46,251,precision_reached,True,251,0,0.070827142149579,-2.3161675835989817,-1.614616,-1.8757240795521282,-2.0391545947260843,0.275485,184,0.35511091139592554,-0.069398,-0.0964274444414744,-0.08855363190280012,0.294608,51,-1.4429308090100956,-1.259078,-1.3246856313674704,-1.4326479934922431,0.298695,39
EleutherAI/pythia-70m,50,280,max_scenarios_reached,False,280,0,0.029259896729776247,-5.844336867221367,-2.379747,-3.319989575457855,-5.958018943906663,0.299076,206,0.7193331330917129,0.717152,0.757734592199285,0.8339671396776389,0.290165,56,-4.803678695086557,-2.893508,-3.5043578888390727,-5.8866909544031545,0.344045,46
HuggingFaceH4/zephyr-7b-beta,26,157,precision_reached,True,157,0,0.26890968884391603,1.0666666668776108,1.223316,1.1736986481393585,1.2268207490018683,0.173687,115,0.49983085507328207,-0.487653,-0.6043002993148361,-0.6134479248960223,0.293307,39,0.5081648471459483,0.37865,0.33721853369631677,0.4272081126896485,0.296416,23
