model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_presentation,theta_cat_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation
01-ai/Yi-6B,39,231,precision_reached,True,231,0,0.10066947681626581,-1.0393060135446686,-0.937432,-0.9946940199947891,-1.032259311419816,0.262456,173,-0.18189719988539457,-0.238395,-0.2578710694622507,-0.24823686059836403,0.296337,52,-0.6827855418926133,-0.628437,-0.6607618151058943,-0.7060555451766751,0.298431,33
01-ai/Yi-6B-Chat,32,198,precision_reached,True,198,0,0.1573400250941029,-0.2539866417015712,-0.178035,-0.23189815302340538,-0.19392947798463486,0.268369,147,-0.8455426743237593,-0.550729,-0.5100847106333425,-0.5504899708391144,0.292218,51,0.5241127470044088,0.380937,0.37721935301901827,0.4384551653444035,0.29981,25
EleutherAI/pythia-1.4b,44,272,precision_reached,True,272,0,0.07456140350877193,-2.362625289818612,-1.796794,-2.0724376050752924,-2.2546707240669734,0.271165,208,0.973664047174873,0.658242,0.4809508147306801,0.5936925957206693,0.284089,47,-1.7700580341258514,-1.432069,-1.4879684211235757,-1.6127982943428076,0.298774,43
EleutherAI/pythia-160m,50,307,max_scenarios_reached,False,307,0,0.037919299951385516,-4.606043759189678,-2.251153,-3.353853478702366,-5.930569471068623,0.265391,227,1.5252058621673967,1.457068,1.303789584204364,1.4536212755622488,0.249676,64,-4.805696145843972,-2.7576,-3.523888878128345,-5.886602500164092,0.323703,49
EleutherAI/pythia-1b,50,288,max_scenarios_reached,False,288,0,0.06846978557504874,-2.5190775920786597,-2.263003,-2.865597834988187,-3.6278566608054486,0.300913,213,1.0307626453508223,0.75811,0.7431580343997584,0.8489828190921409,0.294428,54,-2.067299562026793,-1.767446,-1.8859465863323683,-2.066880184599633,0.302416,47
EleutherAI/pythia-2.8b,50,299,max_scenarios_reached,False,299,0,0.06111516922327733,-2.5792864392896737,-2.257317,-3.10884470158121,-4.516187613610647,0.275482,226,0.7998818411433167,1.008867,0.8536531132295362,0.9479465425311345,0.28341,56,-2.456204545725401,-2.241954,-2.4346539969537657,-2.7667947026992383,0.315668,48
EleutherAI/pythia-410m,50,308,max_scenarios_reached,False,308,0,0.053411022092740956,-3.5072066485870725,-2.124194,-2.821915894756688,-3.4823726459382676,0.274812,228,1.252848916899978,1.146486,1.1900980911213712,1.2739354684492707,0.267875,67,-3.5910997094056514,-2.660842,-2.9401914958864075,-3.6287476704004678,0.345116,47
EleutherAI/pythia-6.9b,44,257,precision_reached,True,257,0,0.071044921875,-2.3598624975252327,-1.677546,-1.8469093327368196,-1.9883958486646798,0.269666,193,0.44854448753670745,0.199308,0.17741549023885717,0.22583107349444986,0.294335,47,-1.4505019035682825,-1.369475,-1.452504399181061,-1.576662299697526,0.297772,40
EleutherAI/pythia-70m,50,298,max_scenarios_reached,False,298,0,0.02932622394571013,-4.67078163780565,-2.298318,-3.373986447671506,-5.8584919874475165,0.269094,223,0.8063130780508976,0.931272,0.9832919915521856,1.1283035060937217,0.286006,62,-4.812073521653702,-2.7276,-3.479792155174882,-5.814266889217432,0.327453,47
HuggingFaceH4/zephyr-7b-beta,27,160,precision_reached,True,160,0,0.26819541375872386,1.0666666629797001,1.164668,1.1244159551345143,1.1655575970839511,0.155554,115,0.3076477596528829,-0.385402,-0.33533371349355107,-0.41422861642999126,0.274368,45,0.5073291400260564,0.51617,0.49759906943720167,0.5796668709139391,0.296456,23
HuggingFaceTB/SmolLM2-1.7B,28,151,precision_reached,True,151,0,0.13236021771400297,-0.5338282066667348,-0.482972,-0.5425743563082428,-0.5286110688979999,0.277775,106,-0.20431845967527845,-0.611478,-0.6451595663007063,-0.6917993007331812,0.293322,46,0.2549826384058496,0.260428,0.17820935243425093,0.27718014264167345,0.296789,21
HuggingFaceTB/SmolLM2-1.7B-Instruct,18,112,precision_reached,True,112,0,0.2002509410288582,0.2666690205486925,0.782083,0.5016645410298601,0.6093521154010221,0.198234,75,-0.8666203438518866,-0.22944,-0.39722601599939417,-0.38925352199946184,0.283065,40,1.0470360451632015,0.79291,0.7004738113208892,0.8787114418772436,0.287818,15
HuggingFaceTB/SmolLM2-135M,50,294,max_scenarios_reached,False,294,0,0.04809871568874339,-3.733310758805446,-2.063156,-2.6661956725968965,-3.193441752244645,0.274978,224,0.3430373126374914,0.506787,0.3901831256562965,0.482387189572102,0.301116,51,-1.9101361197250009,-1.678028,-1.770311586327317,-1.9309186385029429,0.301995,46
HuggingFaceTB/SmolLM2-360M,42,249,precision_reached,True,249,0,0.0502574160333415,-3.1046186114212926,-1.663528,-1.9997606526704983,-2.1718140469263796,0.263939,190,0.4111797871771586,0.211365,0.1982156034642334,0.2324802383317737,0.286482,53,-2.0135189965565616,-1.03655,-1.1161290148983836,-1.2043499181857764,0.298509,34
HuggingFaceTB/SmolLM2-360M-Instruct,38,230,precision_reached,True,230,0,0.08776266996291718,-1.337031942411917,-0.740115,-1.0133967308819176,-1.0473121369161424,0.239375,172,-0.7561266736282752,-0.751188,-1.2643707698738749,-1.3173165788486683,0.289973,53,-0.36212293798978995,-0.163428,-0.1754781547677183,-0.16698737114459666,0.297639,32
LLM360/Amber,50,293,max_scenarios_reached,False,293,0,0.03319502074688797,-4.234344041669789,-2.117506,-3.307097709092906,-6.922368961933345,0.266873,218,0.7030149742308529,0.46316,0.3782173439981661,0.43186042979365186,0.285351,62,-4.516298233041646,-2.772791,-3.5039901315155997,-5.884644394125777,0.33389,47
Qwen/Qwen2-0.5B,44,252,precision_reached,True,252,0,0.051244148805124415,-2.452729956070667,-1.548131,-1.8061293170495614,-1.940098038149142,0.26017,190,-0.3375147550529837,0.282894,0.24914414577374772,0.3049010467598014,0.291512,44,-1.4787144008368776,-1.330145,-1.4280839196008517,-1.5539402025610523,0.297872,40
Qwen/Qwen2-1.5B,31,183,precision_reached,True,183,0,0.13166377386560874,-0.5313943268727696,-0.262303,-0.5436151373755138,-0.5104407369918212,0.214128,134,-1.0037062587957957,0.214304,-0.5574263916256158,-0.46613277036728407,0.271447,39,0.18878819824060006,-0.507743,-0.5541393356401445,-0.5891766724279488,0.299575,30
Qwen/Qwen2-7B,15,108,precision_reached,True,108,0,0.3223635003739716,1.333333335124105,0.976842,0.9792562901331294,1.0348148094522849,0.213882,76,-0.005450480138802743,0.367303,0.42281306359282633,0.45454943878540566,0.257292,41,1.140454084482528,0.936592,0.8697846368709433,1.0383477791154752,0.274854,15
Qwen/Qwen2.5-0.5B,24,133,precision_reached,True,133,0,0.11627906976744186,-1.2325010338961329,-0.958324,-1.0944335772919873,-1.1379675440573573,0.276647,93,-1.0137656884113877,-0.692166,-0.7416349901707064,-0.7686035171554518,0.289607,48,0.8012609124366092,1.267008,1.204229618091128,1.337278640840001,0.286717,15
Qwen/Qwen2.5-0.5B-Instruct,30,176,precision_reached,True,176,0,0.1639101456430511,-0.5350957732034193,-0.221595,-0.2735250280113025,-0.2487702308106122,0.239046,133,-1.1580087066861326,-0.834299,-0.8306755391572452,-0.9105220121836864,0.248966,61,1.5981378390279914,1.767281,1.7594034265994534,1.8608617367561677,0.246164,15
Qwen/Qwen2.5-1.5B,22,136,precision_reached,True,136,0,0.2587263522515321,0.7982709327509269,0.763655,0.6472067815144152,0.7567778647663889,0.208162,110,-1.282955027713458,-0.937622,-0.8215733836880355,-1.0532835850263726,0.231968,33,1.869830949792655,2.23758,2.22098306828487,2.3590920371747015,0.233909,15
Qwen/Qwen2.5-1.5B-Instruct,17,89,precision_reached,True,89,0,0.32473710565848773,1.0667209112693752,1.255964,1.192779797625682,1.2939568488041242,0.216435,67,-1.3358975994385212,-1.391306,-1.4021917189437525,-1.3949956896537703,0.241498,17,2.4005617569396094,2.531964,2.3912278532245512,2.500300238215796,0.240646,15
Qwen/Qwen2.5-3B,22,126,precision_reached,True,126,0,0.36096589494647746,1.3333333663546147,1.728787,1.6730955876867983,1.731010885377035,0.172847,96,-0.5173374909023148,-0.818517,-0.8184828662239831,-0.8835007258317883,0.220235,36,2.4126330611907245,2.455405,2.482114506314412,2.5913288237378658,0.236788,15
Qwen/Qwen2.5-3B-Instruct,16,110,precision_reached,True,110,0,0.46086739780658026,2.1333333333319358,2.315355,2.3397342739516716,2.41786208811162,0.160894,84,0.27334602586701956,0.120709,0.002941798157047049,0.19852766104686045,0.207067,25,2.6857160493950873,2.606661,2.8650070157857974,2.9463469283491364,0.216764,15
Qwen/Qwen2.5-7B,16,111,precision_reached,True,111,0,0.4247325205274944,1.8666566669603628,1.704031,1.774050241898764,1.8291180186330829,0.168686,83,0.8238818967749157,0.770359,1.179737772706676,1.0808304954556327,0.230174,34,2.1416815436919254,2.345169,2.3995539452693793,2.534783831468851,0.229798,15
Qwen/Qwen2.5-7B-Instruct,20,115,precision_reached,True,115,0,0.5516728624535316,2.4056868258933846,2.704935,2.7129063344412794,2.7685155646726534,0.156317,89,1.3089046232451687,0.841799,0.8414509704192862,0.8259500523483708,0.194779,29,2.7336241217654083,2.403855,2.4020194323046153,2.5105456336527507,0.203483,15
Qwen/Qwen2.5-Coder-7B,22,134,precision_reached,True,134,0,0.40818858560794047,1.6000009706460694,1.56848,1.558573112901569,1.5857552579570986,0.142734,104,-0.012074122174741794,-0.065062,0.06843291414732465,0.05186262019951108,0.23468,36,2.4000288729775794,2.032705,1.9945568012470265,2.1405096245526245,0.224403,15
Qwen/Qwen2.5-Math-7B,19,119,precision_reached,True,119,0,0.4259624876604146,2.1333333333333266,1.988122,1.9583116113486676,2.021305185523735,0.166255,94,-1.3354510860237936,-0.965484,-1.0590999304497002,-1.0388214628936863,0.192315,23,2.477896937363505,2.236975,2.2494146553611425,2.3805738927415163,0.204135,15
Qwen/Qwen3-0.6B,24,145,precision_reached,True,145,0,0.2238733252131547,1.0666659839995252,1.417762,1.3051252267287308,1.3662167188416263,0.155963,111,-1.3403616877041584,-1.011243,-1.4787662092394789,-1.786650639841216,0.297222,31,0.27331150813861593,0.741757,0.7009636463817134,0.7936405976594578,0.298614,21
Qwen/Qwen3-1.7B,19,136,precision_reached,True,136,0,0.49731838127742567,2.6666666666667282,2.517838,2.594577070823135,2.6162368594193133,0.120471,111,-1.423010832294122,-1.401539,-1.3459689580688843,-1.4474215694459798,0.224619,30,2.2214467036809893,1.818494,1.871298878527322,1.9996680138933975,0.247216,15
Qwen/Qwen3-4B,19,99,precision_reached,True,99,0,0.6123294346978557,3.7332702441113357,3.002482,3.22854611477164,3.300354069828483,0.165741,76,-1.418645636479169,-1.310511,-1.5358618593000477,-1.7041911795206521,0.234652,21,2.3987246090803387,2.319855,2.2769006424489127,2.4050346346236258,0.231102,15
TinyLlama/TinyLlama-1.1B-Chat-v1.0,45,273,precision_reached,True,273,0,0.04482758620689655,-2.302792880416851,-1.488414,-1.7360687253535902,-1.8678418019920962,0.262058,204,-0.8784805046718829,-0.834789,-0.8079857272523632,-0.9928089142003819,0.282963,59,-1.8605042520759274,-1.066803,-1.1259070299145895,-1.2180075035933224,0.298482,38
allenai/OLMo-2-0425-1B,29,174,precision_reached,True,174,0,0.12389380530973451,-0.7554258065025512,-0.112704,-0.17581093195249595,-0.11331943832272885,0.208383,129,-0.15328255666587215,-0.271258,-0.2712397769357075,-0.23600554847492064,0.28681,47,-0.16453127420874888,0.124494,0.08600744647082642,0.14745135265321177,0.296197,25
allenai/OLMo-2-1124-7B,23,156,precision_reached,True,156,0,0.27119484382746656,1.0666666182744324,0.911986,0.8475381420938428,0.917357305187086,0.19631,114,-0.4649188442176302,-0.596722,-0.7142078234611784,-0.7910828547122049,0.289723,43,0.8327043784281862,0.91461,0.8437880552976396,0.9662896074181428,0.298383,22
bigscience/bloom-1b1,50,303,max_scenarios_reached,False,303,0,0.034600389863547756,-4.048631462698928,-1.999168,-2.646006568567097,-3.1209117813175076,0.27199,230,0.3928636036136519,0.40937,-0.014981306445262403,0.09457740040078945,0.27822,61,-3.7801785567505104,-2.503051,-2.925513399802131,-3.5982783823231554,0.32245,47
bigscience/bloom-1b7,50,299,max_scenarios_reached,False,299,0,0.026881720430107527,-4.3428911470362905,-2.111649,-3.2396640800454257,-5.4918946094515855,0.277256,219,0.058366999657753355,0.297345,-0.17659712511046136,-0.1266234381081853,0.289453,66,-3.7782497138036253,-2.507903,-2.892472450195985,-3.5369202588255404,0.327304,48
bigscience/bloom-3b,50,299,max_scenarios_reached,False,299,0,0.03492063492063492,-3.7088602429833135,-2.161785,-3.3306088376847702,-5.970624111388929,0.289781,217,0.01055020220303894,0.064934,-0.7809186648957175,-1.1019983551249728,0.288494,65,-2.8983147156452023,-2.337289,-2.6282299400270253,-3.0781286975262776,0.32165,50
bigscience/bloom-560m,50,296,max_scenarios_reached,False,296,0,0.0244140625,-4.591714074715765,-2.475108,-3.435392305738026,-6.743373754650422,0.285066,223,0.40250584306549825,0.827301,0.6124635809701101,0.7090265045577415,0.30182,57,-4.812073521653704,-2.816695,-3.518938563736639,-5.891022468018524,0.331833,47
bigscience/bloom-7b1,50,280,max_scenarios_reached,False,280,0,0.050221565731166914,-2.7393780348561654,-2.194029,-3.0767566437339218,-4.915593206530432,0.287953,208,-0.010928694336144134,0.098122,0.06533677541863635,0.09830765747344887,0.293825,54,-1.926972697004603,-1.587142,-1.700779196605279,-1.8600388855732557,0.301616,43
bigscience/bloomz-1b7,50,285,max_scenarios_reached,False,285,0,0.04548753931768691,-4.634924538081036,-2.742476,-3.3699555245694444,-5.925814210623039,0.325903,212,1.64817875680658,1.357558,1.3634540346861557,1.5388732299653916,0.259658,59,-4.448612517655859,-2.651909,-3.2855411617583745,-4.638332146616362,0.327011,44
bigscience/bloomz-3b,50,307,max_scenarios_reached,False,307,0,0.043383422200678624,-4.477714988235299,-2.580786,-3.211437976538328,-4.630187284875389,0.297005,230,1.4896190471782693,1.499591,1.3725969272848484,1.5575403474404397,0.240115,63,-4.48198970353648,-2.874745,-3.537313042242963,-5.916722316695766,0.338484,49
bigscience/bloomz-7b1,50,291,max_scenarios_reached,False,291,0,0.05462490895848507,-4.711380280908196,-2.744015,-3.3339089781952,-4.6781913807277435,0.31575,217,2.498178359756813,1.861427,2.0083152029783466,2.2138258591633573,0.263261,56,-4.474717560733396,-2.727385,-3.4809498542074997,-5.805171124758896,0.326795,46
