model,n_admin,theta_correctness,se_posterior_correctness,se_param_correctness,se_total_correctness,bar_inflation_correctness,theta_scaffolding,se_posterior_scaffolding,se_param_scaffolding,se_total_scaffolding,bar_inflation_scaffolding
01-ai/Yi-6B,25,-0.7225410235266556,0.3932669078946157,0.09723054662904249,0.40510818313479496,1.0301100219786414,-0.507887878598986,0.2518238323209819,0.07161337876106115,0.26180855322620994,1.0396496265393231
01-ai/Yi-6B-Chat,23,-0.6965222434652791,0.3899558973461335,0.11445787766544091,0.4064064561922033,1.042185690633287,-0.6837849983002333,0.27223204343310253,0.10643545876853146,0.2922991487415425,1.0737132376313048
EleutherAI/pythia-1.4b,96,-2.81729721407163,0.42038712130414974,0.08557083337549547,0.429007807951052,1.0205065431599298,0.9538591547429577,0.15180374447971828,0.04773682515415348,0.15913259035741806,1.0482784262194464
EleutherAI/pythia-160m,95,-3.08533166203606,0.4728320435861794,0.07581974621641854,0.47887239987099356,1.0127748454588679,1.3410105027524808,0.15477489223226065,0.05287407979999761,0.16355713246509435,1.0567420213070138
EleutherAI/pythia-1b,91,-3.0658421328504617,0.47389329744868874,0.06335139197328539,0.478109042198267,1.0088959788464507,1.0854621846693921,0.15306085366044703,0.04497681684975445,0.1595322505865229,1.0422798956840535
EleutherAI/pythia-2.8b,59,-2.3037376804593617,0.37285653633475657,0.09334482596148755,0.3843634389758371,1.0308614749098817,0.8201075261656253,0.17153031809457264,0.05048123051851652,0.1788043753947002,1.0424068315206938
EleutherAI/pythia-410m,85,-2.9691884732933573,0.4619846117804692,0.07154024750951878,0.4674909502179417,1.0119188784584217,1.103015461187847,0.15353382137431057,0.051302439434259446,0.16187827092511387,1.0543492598315507
EleutherAI/pythia-6.9b,31,-2.1386576734964673,0.5161501713910438,0.07646164816968722,0.5217828888223808,1.0109129430610408,0.30017397700646725,0.22733696609946394,0.06434245167036165,0.23626689832107595,1.0392805990808596
EleutherAI/pythia-70m,97,-3.0690894232422368,0.47509702397307263,0.0577268641049999,0.47859123793428093,1.0073547376322995,0.7629529296026015,0.1503373318474689,0.048253056769411155,0.15789132602713804,1.0502469618612986
HuggingFaceH4/zephyr-7b-beta,7,1.0415729864728798,0.24584555377774006,0.18012849612040724,0.3047725568795249,1.2396911483502304,-0.48268697000941657,0.3866524476481409,0.12903516807298024,0.4076152473496552,1.0542161308664229
