model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_presentation,theta_cat_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation
01-ai/Yi-6B,41,240,precision_reached,True,240,0,0.10066947681626581,-1.0333357636342317,-0.746932,-0.7963299527582441,-0.8042108160585943,0.280913,179,-0.16957081278427133,-0.237514,-0.251011755170988,-0.24844171353329128,0.291469,55,-0.682850813575614,-0.380353,-0.3993506385652744,-0.4239425936413954,0.297752,34
01-ai/Yi-6B-Chat,37,218,precision_reached,True,218,0,0.1573400250941029,-0.15992727985086103,-0.566128,-0.646234221141678,-0.6301765638918609,0.254687,155,-0.8372901344091395,-0.576434,-0.6142455473755757,-0.6291317904233263,0.286238,60,0.5241066234544267,0.505038,0.48138034577536415,0.5450084593275744,0.297244,29
EleutherAI/pythia-1.4b,44,272,precision_reached,True,272,0,0.07456140350877193,-2.35891354468417,-1.799576,-2.0753650147367306,-2.2590353490239687,0.271293,208,0.9043576772166237,0.657808,0.47818661860750067,0.5929681253346094,0.284958,47,-1.770211248742584,-1.432069,-1.4879684211235833,-1.6127983073864065,0.298774,43
EleutherAI/pythia-160m,50,307,max_scenarios_reached,False,307,0,0.037919299951385516,-5.646606220800025,-2.261775,-3.3651666616965206,-6.066466551659731,0.265722,227,1.4585975805296878,1.482285,1.296869256778489,1.4492077208083975,0.249524,64,-4.809834524039562,-2.7576,-3.523888878128347,-5.886608601431147,0.323703,49
EleutherAI/pythia-1b,50,293,max_scenarios_reached,False,293,0,0.06846978557504874,-2.517794670937631,-2.056146,-2.436188868452964,-2.7807300698114004,0.298285,221,0.9810156733587679,0.965799,0.9785021119450229,1.1042289623796433,0.286141,54,-2.067506951935149,-1.755536,-1.872230702257672,-2.0508133921791707,0.302926,46
EleutherAI/pythia-2.8b,50,299,max_scenarios_reached,False,299,0,0.06111516922327733,-2.561422597033149,-2.23327,-3.032009343412731,-4.188319218855033,0.274967,226,0.7400122156739111,0.999843,0.8473981635289636,0.9418742856011102,0.283947,56,-2.456523898045352,-2.241954,-2.4346539969537644,-2.7667931066861766,0.315668,48
EleutherAI/pythia-410m,50,298,max_scenarios_reached,False,298,0,0.053411022092740956,-3.5247563578009267,-2.132146,-2.8253264928973607,-3.4897637088434155,0.275975,220,1.2249164729204653,1.022998,1.07080151844091,1.168607657665225,0.285617,61,-3.5922331637969336,-2.589099,-2.836219348461237,-3.428983570476722,0.341842,46
EleutherAI/pythia-6.9b,44,257,precision_reached,True,257,0,0.071044921875,-2.3429469647109706,-1.678966,-1.848272581299828,-1.9905803940381048,0.269593,193,0.3729230336118409,0.194504,0.17165965205782938,0.22221614556712754,0.295597,47,-1.4506128283582311,-1.369475,-1.4525043991810611,-1.5766637184198682,0.297772,40
EleutherAI/pythia-70m,50,292,max_scenarios_reached,False,292,0,0.02932622394571013,-5.8395957387686765,-2.263587,-3.3732416765497226,-6.117348374119577,0.264542,219,0.7433690651419729,1.094552,1.1267705531749872,1.4143091873445754,0.28563,58,-4.816218700051699,-2.919577,-3.5186731823592607,-5.908010153649928,0.345445,47
HuggingFaceH4/zephyr-7b-beta,27,162,precision_reached,True,162,0,0.26819541375872386,1.0666666108933944,1.142427,1.123975817982285,1.1796930107706354,0.149593,118,0.4146279666228031,-0.439205,-0.5625168483953725,-0.45084818346197025,0.297502,39,0.5073146208338942,0.485735,0.4667744585616875,0.5439339338011964,0.298498,24
