model,fold,criteria_administered,scenarios_administered,theta_ref_ability,theta_online_ability,theta_batch_ability,theta_mwle_ability
01-ai/Yi-1.5-6B,3,20,13,0.1099867322364213,0.396581,0.3580873937072848,0.3615139763628075
01-ai/Yi-1.5-6B-Chat,2,20,15,1.400066842585159,0.530204,0.5646406289343174,0.55597150014804
01-ai/Yi-6B,1,20,12,-1.039228291247241,-0.641291,-0.7024021689883454,-0.7325781555799094
01-ai/Yi-6B-200K,3,20,12,-0.6971617707744402,-1.068473,-1.1342699433907673,-1.1448023690151947
01-ai/Yi-6B-Chat,3,21,14,0.3993791009588635,0.532429,0.4978062928034528,0.5142809458417696
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,20,12,-4.703544391860497,-2.626991,-3.158324454468497,-3.4689831284100685
BEE-spoke-data/smol_llama-220M-openhermes,0,20,11,-3.7483124991788603,-1.593182,-2.4955780388978326,-2.835281374077533
BSC-LT/salamandra-2b,0,21,13,-2.0565886406180653,-2.185476,-2.446269498599819,-2.5278796433506945
BSC-LT/salamandra-2b-instruct,0,20,12,-1.113950266013195,-0.538739,-0.6246638557580635,-0.6645448172582297
BSC-LT/salamandra-7b,3,20,14,-0.8208470120591451,-0.409591,-0.4750700719837604,-0.44878708240410675
BSC-LT/salamandra-7b-instruct,2,20,13,0.20173547062022584,-0.343866,-0.36585974538752963,-0.34986889094224555
HuggingFaceTB/SmolLM2-360M,1,22,12,-2.02239568341066,-1.307436,-1.5305615654228357,-1.500209392069362
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,20,14,2.585534735726388,2.245202,2.4320695750005337,2.442638628515043
OpenBMB/MiniCPM4-0.5B,4,21,14,-0.1865002940172271,-0.144039,-0.1727210997134933,-0.1417545943418727
Qwen/Qwen1.5-1.8B,1,20,12,-2.307117419238572,-0.981999,-1.1865203663094779,-1.2269156002491022
Qwen/Qwen1.5-1.8B-Chat,3,20,13,-0.45991192264698033,-0.210608,-0.22144038891054965,-0.22355649436974614
Qwen/Qwen2-0.5B,4,22,12,-1.9395505845234065,-1.776076,-2.0279977712684145,-2.163006026180479
Qwen/Qwen2.5-0.5B-Instruct,4,20,13,0.01157078648737005,-0.542502,-0.5724565813586804,-0.6040662258990933
ai-forever/mGPT,3,21,14,-4.93537066353554,-2.560899,-3.2395175444931166,-3.816109189561744
allenai/OLMo-1B-hf,3,22,14,-4.794179361814159,-1.353326,-2.427866605874195,-2.8350922931366864
allenai/OLMo-2-0425-1B,3,21,13,-1.1556287238050285,-0.663731,-0.9131524020996995,-0.8749759895651176
allenai/OLMo-2-0425-1B-DPO,4,20,12,0.5154540550431206,-0.195816,-0.20927409997299856,-0.19242505220820566
allenai/OLMo-2-0425-1B-Instruct,4,21,14,0.5981598623519119,0.332198,0.3064324687923747,0.3089136970086308
arcee-ai/raspberry-3B,0,20,14,1.1998331878275932,1.064929,1.0560887113012716,1.0839776990069345
google/gemma-2-2b,2,20,14,-1.0959497422951743,-1.269978,-1.5959141420999061,-1.607968062985748
google/gemma-2b,1,20,11,-1.2033749197522197,-1.318032,-1.3720649090723975,-1.3861851118366493
h2oai/h2o-danube-1.8b-chat,3,20,13,-1.162487641378191,-0.400392,-0.43276912133822587,-0.4126620824778216
h2oai/h2o-danube2-1.8b-base,4,22,12,-1.1894865809273183,-1.082743,-1.123796488856814,-1.1334726620341875
h2oai/h2o-danube2-1.8b-chat,1,21,12,-0.5954206064665897,-0.707839,-0.6923236731927431,-0.7415479500061803
ibm-granite/granite-3.0-2b-base,2,20,13,0.6089649359062628,0.488112,0.49880652820047117,0.5114874530862554
ibm-granite/granite-3.1-2b-base,3,21,14,0.8075801654633514,0.867107,0.9407683338029108,0.9671727972518
ibm-granite/granite-3.1-2b-instruct,2,21,14,1.9852873495743393,1.501745,1.5399740132839432,1.5642657215843294
ibm-granite/granite-7b-instruct,1,20,13,0.39924533746931967,0.517897,0.4942162972212578,0.5154675094849924
ibm/PowerLM-3b,0,20,13,0.01831167789020406,-0.146567,-0.16393807007439593,-0.13994600915397448
meta-llama/Llama-3.2-1B,0,20,12,-1.3917146323921206,-0.935484,-0.9459696713420696,-0.9646530391272684
meta-llama/Llama-3.2-1B-Instruct,1,20,13,0.1419580540056735,-0.165842,-0.20163740666133978,-0.1581027155072502
meta-llama/Llama-3.2-3B-Instruct,0,20,11,1.400075942641479,0.509238,0.5766041946417446,0.5308689472407822
microsoft/phi-1_5,2,21,12,-1.0600096495198417,-1.206778,-1.2959960251037432,-1.3240714881837146
nvidia/AceInstruct-1.5B,1,21,14,1.4025474063358103,1.296484,1.3025037291296688,1.320856666688872
openbmb/MiniCPM-1B-sft-bf16,1,20,13,-2.72512412624363,-0.964428,-1.1964258581001603,-1.1965833332092428
openbmb/MiniCPM-2B-sft-bf16,0,20,13,-0.7987692781478232,-0.829208,-0.8258811145590457,-0.8635905828406114
openlm-research/open_llama_3b,2,20,14,-2.1117398176861486,-1.532221,-2.127872228555652,-2.2255338072490436
pankajmathur/orca_mini_3b,0,20,12,-1.009271688896936,-0.64661,-0.747847240402862,-0.7930711115831589
pankajmathur/orca_mini_v9_5_3B-Instruct,4,20,13,1.670734839574156,1.033747,1.1009090540508475,1.1256093432142182
stabilityai/stablelm-2-1_6b-chat,2,20,15,-0.17907810113531641,-0.072656,0.0462164476450804,0.06463681971495783
stabilityai/stablelm-2-zephyr-1_6b,0,20,12,-0.4063172225695399,-0.185342,-0.21778335914835534,-0.17302601210229465
stabilityai/stablelm-zephyr-3b,2,20,13,0.0699816916253507,-0.174958,-0.2263229361823299,-0.18128223015175018
tiiuae/Falcon3-1B-Instruct,1,20,11,0.8024518181038065,0.706131,0.6922574330693283,0.7195205152054147
tiiuae/Falcon3-3B-Base,1,20,14,1.399790402397609,1.014728,0.8341056464694323,0.8583925376578296
tiiuae/Falcon3-3B-Instruct,4,20,14,2.7921884786998756,2.409072,2.534294325287705,2.548521355745055
utter-project/EuroLLM-1.7B,2,20,14,-2.0930947351004088,-1.117358,-1.5227600492383289,-1.5582937472073695
utter-project/EuroLLM-1.7B-Instruct,0,21,11,-1.0033613594557214,-0.877487,-0.8968793501908235,-0.9243757767239895
