model,mean_scenarios,online_correctness_sd,online_correctness_mean,full_correctness,online_scaffolding_sd,online_scaffolding_mean,full_scaffolding,batch_correctness_sd,batch_correctness_mean,batch_scaffolding_sd,batch_scaffolding_mean,mwle_correctness_sd,mwle_correctness_mean,mwle_scaffolding_sd,mwle_scaffolding_mean
01-ai/Yi-6B,16.625,0.17962684439606322,-0.93757875,-1.0764379849473793,0.24116596771258997,-0.1984395,-0.1807095779368858,0.1821528855673415,-1.0591570059571942,0.23877273216338651,-0.24904901597774298,0.20744250483714372,-1.1031903922862978,0.2490276761023888,-0.23748587807618507
01-ai/Yi-6B-Chat,15.125,0.19146186782685998,-0.6795755,-0.2006865821249531,0.20255449446935106,-0.5819013749999999,-0.8688124670178065,0.24843638539074256,-0.8369116603778193,0.15782090260618933,-0.6998628295847971,0.28393026183820297,-0.8534372828013013,0.2322648504182298,-0.6973379017580033
EleutherAI/pythia-1.4b,18.125,0.1953294320273046,-2.088597875,-2.4266290843658664,0.1254019804527998,0.622283625,0.8648959591697944,0.22801671359090916,-2.666465174630651,0.21070762480911928,0.5082956723405743,0.3680413831868694,-3.243003495674226,0.23377365199661665,0.554205029387921
EleutherAI/pythia-160m,16.0,0.1962170056340285,-2.193663625,-5.567074474400868,0.13597601853428973,1.2711142500000001,1.3596834143935017,0.15970266058285298,-2.9195561642119907,0.21996318807296597,1.4632735322125825,0.3902344231399495,-4.1908701546043154,0.6669096764624193,2.0094364540022696
EleutherAI/pythia-1b,15.375,0.3118873423649707,-1.679283625,-2.6196449337895764,0.0886971764508847,0.7193571249999999,0.905024861191201,0.3309868992281145,-2.1159740503144704,0.10391683546277418,0.6744374103295927,0.5300857145389304,-2.437184682255333,0.12430635139032224,0.7467981378615647
EleutherAI/pythia-2.8b,14.75,0.18772831846143878,-1.6110678749999998,-2.6497883046910102,0.23760346088164944,0.65854375,0.6898321737924007,0.24524684572403016,-1.9936023552385078,0.31375278709001164,0.6779056331036096,0.4249469655117174,-2.2719232696601104,0.3901139031735474,0.7651336479218325
EleutherAI/pythia-410m,16.75,0.1930041625062382,-2.153876625,-3.661881100928148,0.1858817882822306,0.9649080000000001,1.1568238084019324,0.16809566235233037,-2.8808316554831253,0.22713316568891745,0.9069543946231181,0.31331028779220876,-3.8777186825715915,0.2980758311835692,1.0540133621343188
EleutherAI/pythia-6.9b,17.75,0.09395591228261997,-1.7294458750000001,-2.4117680338294094,0.2603707920122942,0.47290112500000003,0.29530280501442685,0.1531003854343718,-2.093293537021682,0.2884283846486307,0.4262298598195725,0.2173379452597656,-2.349326646962579,0.30417360831150697,0.46771964402091754
EleutherAI/pythia-70m,17.5,0.29125562320912796,-2.0429612500000003,-5.650241870042656,0.15788348865099663,0.235971125,0.6431475714260015,0.28526958455103285,-2.8075347685791545,0.15977997579861997,0.14249377950398742,0.6441141628211001,-3.970559105759412,0.15079233546436896,0.16264660866398395
HuggingFaceH4/zephyr-7b-beta,8.625,0.23870494559497507,1.064149,1.0054888195499254,0.35405161342309965,0.0036380000000000023,0.43432908123455405,0.2849533528436206,1.0289061388632614,0.40782981629042137,-0.01231157169326079,0.22286447817588453,1.1635579092215487,0.463506292636966,0.03501874954119758
HuggingFaceTB/SmolLM2-1.7B,15.5,0.1116045280073097,-0.414914625,-0.7090900181197136,0.1137479991230615,-0.6407769999999999,-0.300065077540701,0.12804317253320419,-0.5212399710877597,0.16184364201656357,-0.7329904793507729,0.12986085516494017,-0.47349551782728144,0.16776093800854314,-0.7450115228852512
HuggingFaceTB/SmolLM2-1.7B-Instruct,9.0,0.5494265242553907,0.7361048750000001,0.27392689539098863,0.3099026114983292,-0.756220375,-0.8218635436399626,0.2618272251251646,0.2654440418257315,0.2659039887965235,-0.9268780973150038,0.2654973625255743,0.47059715856895357,0.335874516343295,-1.0055796356146058
HuggingFaceTB/SmolLM2-135M,19.25,0.2952688405326312,-1.976049375,-3.897434945974825,0.09062985065147892,-0.034195875,0.17008940706442735,0.2489935660811841,-2.77843513747872,0.09807930598507014,-0.14706148080822734,0.41873073668205557,-3.957894502523666,0.08497786465691069,-0.14323433199330757
HuggingFaceTB/SmolLM2-360M,17.625,0.2086741676082221,-1.839256375,-3.289958275073107,0.061681717052011246,0.15812262500000002,0.3037204422489006,0.19699142250104512,-2.4532053942255514,0.07664919571846122,0.06999795740997761,0.39817556015323036,-3.0469177426280174,0.07763243581289864,0.07032210925632798
HuggingFaceTB/SmolLM2-360M-Instruct,17.25,0.1481766208077374,-1.459858,-1.4269824737447385,0.18411525237317383,-0.69822175,-0.9029442230334234,0.0521273221820866,-1.7638179189661236,0.13945650562411507,-0.823478759758627,0.068602196854887,-1.9513789739500642,0.16986233172369194,-0.8756577762210931
LLM360/Amber,17.75,0.2235099086638834,-1.9984112500000002,-4.705663354494597,0.2289549613192243,0.22566675,0.4327544840197636,0.15671497315886262,-2.7588930086620187,0.22050879753378175,0.1250712840016284,0.20188648437620138,-3.7226449887401247,0.22937015196211416,0.14262833783770618
Qwen/Qwen2-0.5B,17.625,0.12207521628180716,-1.671351,-2.547626248914333,0.3916664086525037,-0.182728,-0.4795553393145313,0.1771749779223025,-2.1189394750114277,0.33882587696574723,-0.297939840542305,0.39054754106934386,-2.491199734720251,0.35697805684624134,-0.30414046471017653
Qwen/Qwen2-1.5B,18.875,0.12604285251527556,-0.47025124999999995,-0.6066263585153504,0.23384721091822838,-1.260831625,-1.235721275127876,0.18962967988611823,-0.5786697159459463,0.16778746741866876,-1.3769952231179123,0.19485344540079746,-0.5745209740053483,0.15877526687568871,-1.4557800355937855
Qwen/Qwen2-7B,8.25,0.1384005411504955,1.4093035,1.4000029746284615,0.08660055824435761,-0.196430625,0.06705082725535279,0.18128841489764452,1.3794657379500548,0.08792404548202491,-0.2562394219384482,0.1812937397823142,1.5215829668450533,0.10732899016273396,-0.2124480737728176
Qwen/Qwen2.5-0.5B,16.375,0.18305906527671437,-0.768585625,-1.3148494976067986,0.14186533132230542,-0.90881075,-1.0230083034815325,0.2154540286798477,-0.8899439359196901,0.10942639002622331,-1.0610195108889893,0.2535970059747766,-0.9185179976713083,0.1346810386818968,-1.1488735724696157
Qwen/Qwen2.5-0.5B-Instruct,17.375,0.23853883450970828,-0.7089265,-0.7141714557949322,0.1659278125280972,-0.767638875,-1.1537197071759302,0.27133278001633276,-0.8479848302615363,0.1822524881738884,-0.8802378503716752,0.3079186436879198,-0.873242380115431,0.21359738528467187,-0.9263215828091198
Qwen/Qwen2.5-1.5B,10.0,0.15977198139281962,0.65671675,0.7985370722805768,0.13792233014403207,-1.0453961250000001,-1.5522275644508734,0.2850619073325096,0.3885852974734735,0.24450762041845475,-1.0391784980766248,0.2134839642629705,0.5950928409414118,0.21922532156153954,-1.2203386588196716
Qwen/Qwen2.5-1.5B-Instruct,10.5,0.3143145301634325,1.326913125,1.2000026464765947,0.2359834802417322,-1.2268585,-1.33397774862969,0.2725528168552115,1.157275450607734,0.2792525299227126,-1.378684181462284,0.22458786424234853,1.2790557032529155,0.28226757196571034,-1.483761463383714
Qwen/Qwen2.5-3B,9.25,0.10141661073481752,1.50803325,1.4003991304491994,0.14695235629357692,-0.842963625,-0.763748593550442,0.14210777665508653,1.5093911205966921,0.1293042039510683,-0.9181745190739303,0.19871507312148168,1.5878494306789306,0.13648567771749448,-1.0130274740210967
Qwen/Qwen2.5-3B-Instruct,8.375,0.08835703290874762,1.91285375,2.1999967083103074,0.15444290442622924,0.124726875,0.43929731658706567,0.12115930149886647,2.0877508829954103,0.08020977393563389,-0.02713727604116892,0.24419654816060016,2.307305216301784,0.09022395785379755,-0.18316370703311224
Qwen/Qwen2.5-7B,8.25,0.2655904928267153,1.7022672500000002,2.0010729980160478,0.5187738862625388,1.02346175,1.0364979165136339,0.23372881283174196,1.7610290820040424,0.37733871074291053,1.151178759065028,0.2805556039477782,1.7987085076719391,0.5065675640232635,1.1210649919241022
Qwen/Qwen2.5-7B-Instruct,8.875,0.4173528125210731,2.1413295000000003,2.5999998341534654,0.45588051064504215,1.152562625,1.3817210578354644,0.19182250039944515,2.404963909140706,0.3728311154041178,1.552068990929595,0.18198106586392052,2.606080124754982,0.9199906846116959,1.7332323572753312
Qwen/Qwen2.5-Coder-7B,8.75,0.1899619385784541,1.477756375,1.799192746729845,0.2891975845096005,-0.25015725,-0.02385874334580764,0.26910739833326525,1.509858834503281,0.27727461352662075,-0.30351604857360737,0.2669113502490959,1.6686068907981093,0.2629617229068449,-0.2622772902201179
Qwen/Qwen2.5-Math-7B,9.75,0.2995542412297813,1.9851440000000002,2.200001181418534,0.13395544932084696,-1.1057385,-1.5720505155781277,0.28946847125252023,2.0383826608271542,0.07489926980318688,-1.1573581173726348,0.2803956495548636,2.230798014963833,0.1016886520904794,-1.2602488160593766
Qwen/Qwen3-0.6B,9.25,0.25290059383023894,1.54606825,1.035719842485933,0.29772019259950167,-1.2730103750000001,-1.7173866553953046,0.3171930891754958,1.5495222542626186,0.2234854222335107,-1.34930353604721,0.3628818008653304,1.7084944019957442,0.24676854792639602,-1.4729689579996057
Qwen/Qwen3-1.7B,8.375,0.08689696570328276,2.47679075,2.7998853428108523,0.4865596845202421,-1.10960275,-2.0085599376067043,0.12067590531689992,2.5321166497507264,0.4260795615468927,-1.4428818754221269,0.11079073761406795,2.737086869251872,0.6413957907080464,-1.8698421998971997
Qwen/Qwen3-4B,7.875,0.19971239847649508,3.5280886249999996,3.798622150572502,0.1486889530432889,-1.4018898750000002,-2.020403062111902,0.09155982963575532,3.6994894389149207,0.13620625891148438,-1.462042532752325,0.27167663097671674,3.9414907162679484,0.1325915522201248,-1.5357915982817236
TinyLlama/TinyLlama-1.1B-Chat-v1.0,17.875,0.17788057632158716,-1.403677,-2.37823157574973,0.14911934519852718,-1.05286075,-1.1447663025940684,0.19513081418905934,-1.8875493634090958,0.21841708621977995,-1.3338087657578024,0.36883131374890804,-2.2010588522851506,0.20140161935714196,-1.4899873577613292
allenai/OLMo-2-0425-1B,12.25,0.4164040215947128,-0.3224925,-0.7801299558495197,0.17586947682687684,-0.030573124999999996,-0.28785866426683554,0.41675668815576267,-0.43002613623324215,0.16258299655544853,-0.039633655757968046,0.4753742656233314,-0.39345456253916605,0.18585011074906282,-0.027726691683836093
