model,mean_scenarios,online_correctness_sd,online_correctness_mean,full_correctness,online_scaffolding_sd,online_scaffolding_mean,full_scaffolding,online_presentation_sd,online_presentation_mean,full_presentation,batch_correctness_sd,batch_correctness_mean,batch_scaffolding_sd,batch_scaffolding_mean,batch_presentation_sd,batch_presentation_mean,mwle_correctness_sd,mwle_correctness_mean,mwle_scaffolding_sd,mwle_scaffolding_mean,mwle_presentation_sd,mwle_presentation_mean
01-ai/Yi-6B,39.375,0.12101321692691257,-0.8148655,-0.9923172756922604,0.25001882384354457,0.08775987500000001,-0.17015148335073033,0.05941329534708541,-0.5322655000000001,-0.680349169356456,0.12965868897910743,-0.8961571156764563,0.23940780055751154,0.051321176863194484,0.06058557910873167,-0.5542528073380377,0.14238454201858333,-0.9128271691226848,0.2838701113155881,0.10529423976001606,0.06550118331585464,-0.589656811200465
01-ai/Yi-6B-Chat,29.75,0.2436274253803079,-0.34942475,-0.1744442852438011,0.25967690302795027,-0.68046325,-0.8357337794257187,0.20383279764119014,0.665477375,0.4965032088533607,0.26199313541742236,-0.44042859119251787,0.2578040535167349,-0.7595245383310814,0.18651032509211202,0.625735296069413,0.27822054273035146,-0.40197225614889087,0.30531374939337586,-0.8071895011001726,0.19922869630359397,0.717225476364441
EleutherAI/pythia-1.4b,42.25,0.11460003902533965,-1.7349878749999998,-2.354283349340263,0.11431014853130932,0.8543725,0.908438318123277,0.06932797651516671,-1.31733125,-1.7702459350680497,0.08691866374402547,-2.0068718852143226,0.14045337428628116,0.7321687646093714,0.06743738444078781,-1.376214423360653,0.11685331888542111,-2.166495696664928,0.182607943681607,0.8989473796368654,0.0747441176046707,-1.4901558896097877
EleutherAI/pythia-160m,50.0,0.15012004076441424,-2.475958875,-5.512182275072141,0.07447253209059279,1.3837113749999999,1.4589790629581332,0.13719528977223494,-2.84486075,-4.7988725558838174,0.033134803875951274,-3.410098988575822,0.046897550292810924,1.3355783252968045,0.023392569141607627,-3.519609624399695,0.07300779809129002,-6.230160864703632,0.040185988096174866,1.5080095925922767,0.05260078529059384,-5.88309457276651
EleutherAI/pythia-1b,49.375,0.1043522246449944,-2.227470875,-2.5195297599847772,0.13481650717711646,1.05572325,0.9748922248323614,0.058193377286423216,-1.796312,-2.0674798431643087,0.04960316769452742,-2.904359691614954,0.13940353192673588,0.9256672599975475,0.06767130041141113,-1.8993901137888929,0.08491960652973389,-3.6968279328102263,0.1313139229776975,1.1196386577227755,0.08154429402051885,-2.0797930623152263
EleutherAI/pythia-2.8b,50.0,0.13122386847524867,-2.213683125,-2.5611359068252004,0.1261702232152559,0.56903425,0.7322525863309202,0.08280801883715354,-2.149608375,-2.4565075294060637,0.17083242253994402,-2.8990828555417925,0.16935129140793242,0.5241350217290426,0.04499639705738456,-2.393422559598169,0.43269241618117826,-3.876860717894141,0.16872815885213208,0.578677631338467,0.060681240426745164,-2.728699557975684
EleutherAI/pythia-410m,49.875,0.1437257734093276,-2.241532125,-3.5243702622843207,0.13077690392366448,1.204574875,1.2206041958319112,0.1301133836983632,-2.46936825,-3.5922331619644323,0.0722484542618129,-2.8315276966240788,0.1269126899471703,1.2157188643522847,0.06737109863866725,-2.8842808861958065,0.12352289665796551,-3.528943219332664,0.14315833813911757,1.3402258277315133,0.11904998674965345,-3.5192140347951617
EleutherAI/pythia-6.9b,42.125,0.14423356052158723,-1.534906375,-2.3386678281678845,0.21626922730693215,-0.01838075,0.3763292238394216,0.13175131326758907,-1.245129625,-1.4522670770816644,0.12352828145475685,-1.8243283916815587,0.248999012719388,-0.17719132650069136,0.07751617168717038,-1.3457484028349311,0.13119448993479985,-1.9822143290931464,0.27141386462689226,-0.1432343549839823,0.07706823863439796,-1.4610159009014065
EleutherAI/pythia-70m,50.0,0.1351851745416611,-2.410980125,-5.607486027894256,0.32942441144896956,0.925388,0.736442209651821,0.09012481762524893,-2.883851375,-4.805000056863303,0.0604376137096819,-3.3647223412671003,0.3148472299194398,0.8988301961987073,0.01321650224218735,-3.509842500244085,0.17069252008097444,-6.077837734815937,0.39968288216914133,1.029179629959125,0.03746587271700679,-5.889848526323146
HuggingFaceH4/zephyr-7b-beta,27.0,0.12378485981431656,1.0658245000000002,1.0000300037948608,0.09312082238339271,-0.275613875,0.4307431537463351,0.08972945107063511,0.43946625000000006,0.4557421094311218,0.13371393197046388,0.9974498543580657,0.11404903490457459,-0.3143462522250441,0.10836293314021626,0.39485749324328057,0.12274036302743956,1.0528602285521296,0.12063773787954393,-0.30653680378666637,0.10740489372532211,0.48547384992610243
HuggingFaceTB/SmolLM2-1.7B,34.375,0.07044575736825817,-0.35924625,-0.5656147550754214,0.19023296729138292,-0.503288375,-0.19062647413092856,0.09983360472305905,0.25027849999999996,0.2239306006707184,0.08813074946196556,-0.42485912552245153,0.2149365888360629,-0.5605454226845303,0.1262102616425717,0.19459679656732928,0.09457360429067789,-0.39314293416256124,0.2337964843689953,-0.5651753826844436,0.1260265568302316,0.2607480809599776
HuggingFaceTB/SmolLM2-1.7B-Instruct,22.625,0.18326339155212504,0.42033374999999995,0.351627828908971,0.2641517568342285,-0.648840125,-0.7521171472344641,0.10888273523720081,0.8408273749999999,0.9956711669045001,0.1857456319350758,0.3743638583594693,0.20889800485075014,-0.6746411639594543,0.11485928238650947,0.7704850563342476,0.1661050783679995,0.46073139333055324,0.24776769339677515,-0.6972939437041354,0.11894385617799273,0.9205939297223041
HuggingFaceTB/SmolLM2-135M,48.75,0.1149527628304748,-2.1331211249999997,-3.7980892270676057,0.20364777986540727,0.244466875,0.2415417821669337,0.09877623224712258,-1.63809325,-1.910231179441098,0.044548032321170404,-2.665482428575877,0.1801011008037543,0.14744650074669252,0.07208703309045807,-1.7395791599661408,0.06087467745927474,-3.199981993761903,0.18842917019926453,0.2011872091473681,0.07910716641199682,-1.901670605607832
HuggingFaceTB/SmolLM2-360M,42.625,0.14809795039469442,-1.631702125,-3.1319756602321047,0.1071285243596885,0.083420625,0.3728271578862907,0.08700103589146223,-1.04577425,-2.000471858570348,0.12274588806223319,-1.8773865087939745,0.11768915314231185,0.040641443320184364,0.11327895113361638,-1.1101875677432353,0.13865193567513914,-2.033757181179567,0.12348089930760858,0.07086722729799512,0.12817064572354797,-1.1999015618402546
