model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_correctness,theta_full_scaffolding
01-ai/Yi-6B,18,71,True,True,-1.217857,-1.3769857310569136,-1.457883764677448,0.288833,54,-0.098398,-0.11439292409862745,-0.10729711779191003,0.280791,35,-1.0764379849474093,-0.18070957793689096
01-ai/Yi-6B-Chat,13,48,True,True,-0.577552,-0.7933512141013676,-0.7999745622122247,0.29067,38,-0.675874,-0.8902935718001986,-0.8998457569823827,0.293879,19,-0.2006865821249641,-0.8688124670178587
EleutherAI/pythia-1.4b,19,96,True,True,-2.053127,-2.45604239130077,-2.8207154141169593,0.294576,72,0.98556,1.0537838249802733,1.1572239832886626,0.210202,51,-2.4266290843658433,0.8648959591697851
EleutherAI/pythia-160m,22,110,True,True,-2.538906,-3.1466909773978826,-4.907592492481292,0.297464,84,1.403975,1.4203553307614585,1.5322509694110664,0.210108,54,-5.567074474400885,1.3596834143935057
EleutherAI/pythia-1b,21,93,True,True,-2.261692,-2.814723945152456,-3.4315348227768867,0.291759,71,0.954442,0.9772840160459167,1.1221046903169853,0.221293,44,-2.619644933789572,0.9050248611911991
EleutherAI/pythia-2.8b,17,73,True,True,-1.967163,-2.371278132618241,-2.700459736951551,0.298396,60,1.06634,1.2174472139549553,1.3582094347766884,0.245469,35,-2.649788304691011,0.689832173792401
EleutherAI/pythia-410m,22,99,True,True,-2.347037,-2.9290760878433386,-4.190430428843339,0.298189,75,1.34211,1.3066065314917896,1.4164018145275161,0.212778,46,-3.6618811009281433,1.1568238084019313
EleutherAI/pythia-6.9b,17,74,True,True,-1.778106,-2.051820761796539,-2.294264110495918,0.296879,60,0.250477,0.1912613796977624,0.2170538641714968,0.264765,34,-2.4117680338294223,0.29530280501442807
EleutherAI/pythia-70m,26,106,True,True,-2.476202,-3.1212308678101217,-4.741874350966975,0.299331,82,0.11235,0.11681594453789271,0.12119356808479148,0.228099,47,-5.650241870042652,0.643147571426001
HuggingFaceH4/zephyr-7b-beta,10,46,True,True,1.100092,1.0533102207540763,1.1115220873216534,0.15544,39,-0.292375,-0.3396506471461294,-0.3255669186927473,0.26482,17,1.0054888195497507,0.434329081234487
HuggingFaceTB/SmolLM2-1.7B,13,48,True,True,-0.30765,-0.4518100731284888,-0.40639594317072547,0.26871,37,-0.833998,-1.1773048541740463,-1.227948933572766,0.296494,21,-0.7090900181197279,-0.30006507754071055
HuggingFaceTB/SmolLM2-1.7B-Instruct,14,49,True,True,0.293047,0.2522450852203897,0.3389819098759442,0.236973,36,-0.770117,-0.8595673123550482,-0.8688071094982381,0.297696,22,0.2739268953909822,-0.8218635436399548
HuggingFaceTB/SmolLM2-135M,34,156,True,True,-2.807687,-3.40902299535135,-5.005278521184161,0.298941,121,-0.002844,-0.008279507376449228,0.0055100398439249625,0.206544,70,-3.8974349459747986,0.17008940706442643
HuggingFaceTB/SmolLM2-360M,16,76,True,True,-1.965761,-2.5373464019686383,-3.002345942375161,0.296981,63,0.493067,0.34545738781658364,0.40257674246216735,0.263839,30,-3.2899582750731042,0.3037204422489006
HuggingFaceTB/SmolLM2-360M-Instruct,21,75,True,True,-1.470731,-1.5710623947778453,-1.712107599349853,0.292312,62,-0.740549,-0.8392063448378434,-0.8693075529991832,0.290482,23,-1.4269824737447632,-0.9029442230334417
LLM360/Amber,46,208,True,True,-2.957591,-3.3963807831282815,-4.313398836178239,0.298825,158,0.432638,0.4381589787826317,0.4526359081106355,0.185075,91,-4.705663354494697,0.4327544840197725
Qwen/Qwen2-0.5B,24,95,True,True,-2.027225,-2.19490555200833,-2.423180949402017,0.299649,72,-0.593466,-0.5524323510809067,-0.5555489544381205,0.262248,40,-2.5476262489143364,-0.47955533931453165
Qwen/Qwen2-1.5B,17,63,True,True,-0.459073,-0.49348518762402427,-0.4838898262982063,0.293667,49,-1.321863,-1.4138752026309556,-1.5198364867336185,0.249147,27,-0.6066263585154013,-1.2357212751279838
Qwen/Qwen2-7B,10,45,True,True,1.253344,1.2386741521038536,1.3002403292378122,0.115592,39,0.433561,-0.03384547817345477,0.30699043420261424,0.216724,15,1.400002974628372,0.06705082725537043
Qwen/Qwen2.5-0.5B,22,85,True,True,-1.227311,-1.281113578158487,-1.3624355706593179,0.291308,66,-0.971779,-1.0010420693194324,-1.117885703124638,0.263081,30,-1.3148494976067986,-1.0230083034815325
Qwen/Qwen2.5-0.5B-Instruct,18,74,True,True,-0.853481,-0.913500900174135,-0.960784023632414,0.281888,58,-0.618507,-0.6669827259006396,-0.6942137291089726,0.27937,30,-0.7141714557949151,-1.1537197071759064
Qwen/Qwen2.5-1.5B,14,61,True,True,0.840681,0.7906347825041891,0.8614883247926763,0.170198,50,-0.95579,-1.068105143612823,-1.2344744950860855,0.299436,24,0.7985370722805765,-1.5522275644508725
Qwen/Qwen2.5-1.5B-Instruct,18,72,True,True,1.596641,1.5429183393666268,1.5834293221252,0.129889,60,-1.285433,-1.3169841682250532,-1.42470847021476,0.276561,23,1.200002646476694,-1.333977748629789
