model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_online_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation,theta_full_correctness,theta_full_scaffolding,theta_full_presentation
01-ai/Yi-6B,50,227,False,True,-0.870762,-0.9189895304197482,-0.9377290893881857,0.205331,159,-0.152082,-0.17817401988764545,-0.16378298674300623,0.242615,69,-0.615793,-0.6448344772333675,-0.6961065379554485,0.337024,33,-0.9923172756922554,-0.17015148335072788,-0.6803491693564518
01-ai/Yi-6B-Chat,46,210,True,True,-0.470585,-0.489677945162713,-0.4738037086028291,0.200941,141,-0.84644,-0.8874440783125456,-0.9523981087047126,0.237521,72,0.824866,0.7503168626154453,0.8372371850234841,0.299657,31,-0.1744442852438117,-0.8357337794257677,0.49650320885338534
EleutherAI/pythia-1.4b,50,263,False,True,-2.222373,-2.928892418559185,-3.321108335052109,0.222745,183,0.977009,0.9813042517792541,1.0473575419421417,0.18892,91,-1.649825,-1.8155936821018923,-2.0884235390947445,0.359281,36,-2.3542833493403084,0.9084383181232963,-1.7702459350680835
EleutherAI/pythia-160m,50,270,False,True,-2.907673,-3.709878997372271,-5.940729890838234,0.261083,191,1.559314,1.5233545239584294,1.60633824133461,0.182424,94,-2.628419,-3.0784347097472757,-5.193685721889186,0.398038,37,-5.512182275072137,1.4589790629581314,-4.798872555883814
EleutherAI/pythia-1b,50,257,False,True,-2.400205,-2.925565337597284,-3.277532596260497,0.237467,185,1.012281,0.9444722267983562,1.0117075801958215,0.187695,83,-2.536752,-2.7706533385520054,-3.8941903257501616,0.421604,34,-2.5195297599847817,0.9748922248323635,-2.0674798431643127
EleutherAI/pythia-2.8b,50,252,False,True,-2.134936,-2.4220814364210543,-2.607258456679668,0.241379,175,0.812301,0.754291759125112,0.8081060365721731,0.190486,85,-2.100702,-2.280760816456047,-2.78212521174743,0.382525,35,-2.561135906825186,0.7322525863309153,-2.4565075294060517
EleutherAI/pythia-410m,50,249,False,True,-2.729783,-3.2674527631478996,-4.00545478383357,0.276197,171,1.198468,1.2148049961896676,1.2842202478163374,0.184771,86,-2.344222,-2.6538558763961557,-3.5592796477298516,0.395956,36,-3.524370262284327,1.2206041958319132,-3.5922331619644385
EleutherAI/pythia-6.9b,50,223,False,True,-1.58235,-1.856381790821112,-1.9746693723375852,0.233789,154,0.083545,0.019878040494475918,0.04197851282784221,0.212686,69,-0.797891,-0.9136684624686998,-0.9921185168268821,0.310119,36,-2.3386678281679476,0.3763292238394314,-1.4522670770817012
EleutherAI/pythia-70m,50,250,False,True,-2.661477,-3.58177857825822,-6.181106797862985,0.266856,176,0.626881,0.6502295050959714,0.6823940263188275,0.194019,87,-2.585143,-2.9820271432877856,-5.190618370533714,0.422085,32,-5.607486027894252,0.7364422096518208,-4.8050000568633005
HuggingFaceH4/zephyr-7b-beta,43,217,True,True,0.8173,0.796057147720462,0.8199125850958919,0.097981,158,0.155058,0.1746208888310628,0.19556000651397176,0.193931,69,0.532105,0.5110844659083741,0.5924321309646585,0.295519,29,1.000030003794947,0.43074315374636296,0.4557421094311558
HuggingFaceTB/SmolLM2-1.7B,50,229,False,True,-0.441716,-0.5130501420588285,-0.4978540741234942,0.168371,157,-0.486559,-0.4765905103769872,-0.4925497424672046,0.240503,82,0.187864,0.13906599933130415,0.20649688931799495,0.302146,31,-0.5656147550754514,-0.19062647413094133,0.22393060067073328
HuggingFaceTB/SmolLM2-1.7B-Instruct,30,131,True,True,0.568661,0.5181324675573554,0.5500318081887078,0.137976,92,-0.353516,-0.37104358831805345,-0.3859551104056194,0.263516,43,0.859655,0.7470220757404098,0.9427735330015843,0.297316,16,0.35162782890897454,-0.7521171472344771,0.9956711669045188
HuggingFaceTB/SmolLM2-135M,50,235,False,True,-2.517464,-3.1503324534364388,-4.07041892550817,0.282191,162,0.072329,0.06470614556719148,0.08541124330850407,0.214566,79,-1.424993,-1.5411829394316496,-1.7486121296568835,0.347002,34,-3.798089227067563,0.24154178216692906,-1.9102311794410751
HuggingFaceTB/SmolLM2-360M,50,248,False,True,-1.852966,-2.1616064764772616,-2.308422025799723,0.230081,180,0.374935,0.249580697814921,0.2739414963522799,0.206059,74,-1.321182,-1.3853410504598849,-1.557301975121948,0.353495,34,-3.1319756602321216,0.37282715788629234,-2.0004718585703607
HuggingFaceTB/SmolLM2-360M-Instruct,50,225,False,True,-1.057259,-1.0952894465141907,-1.1243864438999247,0.232114,158,-0.904941,-0.9278129875341335,-1.0272219048638156,0.254148,62,-0.217191,-0.2540766664149223,-0.2483805059535098,0.312648,34,-1.3125152217571825,-0.9190125193022437,-0.37646351396172445
LLM360/Amber,50,255,False,True,-2.60625,-3.4619925154912616,-4.800737832572826,0.260721,179,0.667671,0.6472338020276506,0.6797574281128418,0.195533,92,-2.567592,-2.9714326221734324,-5.188844041658952,0.428084,29,-4.604239295332638,0.6576803451420125,-4.517977031392427
Qwen/Qwen2-0.5B,50,228,False,True,-1.734556,-2.0241545231638542,-2.1663164722013373,0.236989,160,-0.191608,-0.28777570711105643,-0.2684105616619818,0.227711,71,-0.982491,-1.0208078999298171,-1.124736059193469,0.362056,35,-2.428848153858341,-0.44595710044788234,-1.4793326464651813
Qwen/Qwen2-1.5B,50,219,False,True,-0.227185,-0.41435271882693847,-0.3920794567465271,0.153183,149,-1.281892,-1.2822393096438727,-1.3750362821607545,0.232842,71,-0.130538,-0.1522185968849567,-0.1273563129348458,0.312723,34,-0.41839668807871383,-1.2152954962021152,0.16830874359300194
Qwen/Qwen2-7B,36,183,True,True,1.170307,1.1726345966549017,1.1744052200169852,0.08341,136,0.028836,0.05211843582651283,0.06243407332168202,0.188407,56,0.908572,0.841510171619909,0.9790867053834578,0.298209,23,1.399990521200188,0.07032810032153461,1.1917618745558798
Qwen/Qwen2.5-0.5B,40,181,True,True,-0.954366,-0.9868109042443537,-1.0122250819474303,0.235656,127,-1.090294,-1.1148292537082185,-1.2313020529645686,0.250443,56,0.891245,0.848614717738285,0.9656791549684108,0.299742,26,-1.191859078601704,-0.944974611195894,0.8086412168126699
Qwen/Qwen2.5-0.5B-Instruct,27,126,True,True,-0.540441,-0.672603539287309,-0.6618684851316216,0.251621,86,-0.548369,-0.7243383644233536,-0.7660156003371584,0.269414,50,1.445842,1.3608648339415486,1.4796418070730697,0.287495,17,-0.5355832487616182,-1.0997990968422418,1.5826621530226246
Qwen/Qwen2.5-1.5B,24,109,True,True,0.886212,0.8164886160747541,0.8726230415213616,0.140652,81,-1.142838,-1.1937532285797485,-1.3166251738300534,0.26498,31,2.10289,2.0579809713007746,2.22507186850259,0.279538,15,0.799630295480438,-1.4952353897763195,1.927685352227555
Qwen/Qwen2.5-1.5B-Instruct,29,145,True,True,1.228296,1.2318662538668925,1.2606331811670795,0.091144,114,-1.152358,-1.1753369162883285,-1.2747044316622005,0.24175,40,2.434014,2.4274094279618574,2.5405760693837647,0.217543,15,1.19999969073582,-1.2394929251604774,2.4042859504648875
Qwen/Qwen2.5-3B,27,122,True,True,1.387477,1.4024244441141114,1.4154963833985212,0.09424,89,-0.440447,-0.5084831683437475,-0.4568693553315283,0.238847,38,2.434956,2.3309816487303108,2.5026410024492645,0.283885,15,1.3999999407299344,-0.45536629398935935,2.450908067537159
Qwen/Qwen2.5-3B-Instruct,22,103,True,True,2.00704,2.0846562832243363,2.114649748751021,0.106166,78,0.468884,0.3611938031606467,0.43508858020721236,0.170374,24,2.674004,2.8200444365114907,3.0261174313861425,0.279064,15,2.0863858187846325,0.4395251158359072,2.742661593376466
Qwen/Qwen2.5-7B,31,147,True,True,1.795922,1.7367539409539359,1.7534911896399485,0.104753,113,0.930539,0.87982370426491,0.9027922845339522,0.141847,46,2.57929,2.5714747765243446,2.6965746715820726,0.254929,15,1.7999741707619281,0.9572732378356756,2.2006022309201425
Qwen/Qwen2.5-7B-Instruct,28,131,True,True,2.422918,2.4311404416447027,2.460146012103859,0.087919,98,1.758006,1.5540428478430608,1.6678691552997151,0.197648,36,2.279232,2.220965473588627,2.3906618922031324,0.224566,15,2.425933203422855,1.2877193623148984,2.7853462223100816
Qwen/Qwen2.5-Coder-7B,24,115,True,True,1.546571,1.569183691284299,1.5742674848271767,0.099896,88,-0.432544,-0.43986810782279623,-0.4300024044924152,0.217939,30,2.061005,2.0555755570471885,2.2387052982953017,0.281945,15,1.6012609176003783,0.11282758273915508,2.3996019792078696
Qwen/Qwen2.5-Math-7B,19,89,True,True,2.079437,2.2644935981811587,2.3215943417894263,0.129232,62,-0.827923,-0.9276410449206266,-1.0332900389938748,0.234089,24,1.982018,2.024197500739556,2.2172878152085063,0.283795,15,2.199999965718998,-1.3855565437558883,2.5251023423004066
Qwen/Qwen3-0.6B,44,208,True,True,1.387841,1.388089960253209,1.3930473191532275,0.081904,149,-1.343838,-1.4141273621000428,-1.4681367266183314,0.22105,65,0.324446,0.29752800344126945,0.3740494463094495,0.292485,31,1.0064594786229855,-1.589217189748363,0.3027296556598062
Qwen/Qwen3-1.7B,25,117,True,True,2.716158,2.7858208208877517,2.8080044070609786,0.084291,87,-1.622181,-1.6852964858112636,-1.7916242408208132,0.230299,30,2.095321,2.0147009448640287,2.218636878907788,0.270451,15,2.684762853610056,-1.6291815161533179,2.2236398122961254
Qwen/Qwen3-4B,25,118,True,True,3.936191,3.826116601066127,3.8613816468680593,0.162347,88,-1.530723,-1.368838191513916,-1.488830775434047,0.215105,39,2.261902,2.094512434009718,2.289014055033878,0.24571,15,3.766983962287317,-1.6946306355602339,2.386003732396439
TinyLlama/TinyLlama-1.1B-Chat-v1.0,50,207,False,True,-2.028507,-2.1514218534020633,-2.3316398936369143,0.278143,145,-0.928535,-0.9261625795343751,-1.023657160444932,0.23948,59,-1.135272,-1.2028957621049923,-1.3623661569294327,0.362606,31,-2.282089373560311,-1.1054047389357895,-1.8603811649278925
