model,scenarios,criteria,precision_reached,mwle_ok,theta_online_conceptual_understanding,theta_batch_conceptual_understanding,theta_mwle_conceptual_understanding,final_se_conceptual_understanding,scorable_evals_conceptual_understanding,theta_online_quantitative_procedural,theta_batch_quantitative_procedural,theta_mwle_quantitative_procedural,final_se_quantitative_procedural,scorable_evals_quantitative_procedural,theta_full_conceptual_understanding,theta_full_quantitative_procedural
01-ai/Yi-1.5-6B,17,25,True,True,0.127934,0.12856832107325264,0.12619275773754654,0.190844,20,0.375116,0.3342221001777078,0.3976384184467591,0.199177,15,0.006522861440420097,0.31602068214902423
01-ai/Yi-1.5-6B-Chat,23,36,True,True,1.198229,1.1878929497180963,1.2009141189917039,0.099414,31,0.674963,0.3947732302087702,0.5105555567620449,0.145077,15,1.3998502739263228,0.8449435704113716
01-ai/Yi-6B,23,38,True,True,-1.216454,-1.4431509742935313,-1.449688288720225,0.174016,34,0.372796,-0.07255649767355872,0.1156223619188596,0.155117,15,-1.2228242651405745,-0.8086055421792853
01-ai/Yi-6B-200K,22,33,True,True,-1.020401,-1.0324239167311924,-1.0695787386123234,0.207041,24,-0.272881,-0.6036062048232282,-0.496047877598574,0.23623,15,-0.8361178127044461,-0.9901290183559575
01-ai/Yi-6B-Chat,17,27,True,True,0.407174,0.4510597964175841,0.43301606359650774,0.172098,21,0.238885,0.2103320728402508,0.26532362715176844,0.23286,15,0.36444796173883093,0.019391262374195327
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,50,89,False,True,-2.24817,-3.592050944752299,-4.35887288684546,0.133253,66,-1.574268,-2.3464650672077636,-3.417073193309047,0.314058,28,-4.643802289634604,-2.504749077801772
BEE-spoke-data/smol_llama-220M-openhermes,30,50,True,True,-2.146576,-3.190048096169983,-3.6928761030770447,0.168414,35,-1.242855,-2.0541308201707142,-2.8735802751226305,0.299802,18,-4.189312827639286,-2.505949844054141
BSC-LT/salamandra-2b,41,69,True,True,-1.73453,-2.3730154042092138,-2.476246060866092,0.15111,49,-1.451868,-2.308941550031303,-3.2863492139875503,0.298826,25,-2.0897143491524597,-2.447022700555983
BSC-LT/salamandra-2b-instruct,25,36,True,True,-1.10081,-1.166533024347511,-1.1837180655207657,0.197405,27,-0.433598,-0.5890954705109211,-0.5439208004607866,0.270165,15,-1.183294371673964,-1.2210040663702681
BSC-LT/salamandra-7b,50,88,False,True,-0.990153,-1.1499810931637477,-1.1608604353608396,0.130677,65,-1.331843,-1.5719746363130902,-1.7104127113464014,0.311178,31,-0.9652671883717905,-1.4499649445627236
BSC-LT/salamandra-7b-instruct,17,26,True,True,0.185027,0.16139903663614294,0.19022862359300646,0.172656,18,-0.427892,-0.5214748273222185,-0.4728598285638512,0.297963,15,0.19926530632560036,-0.39207012869364477
HuggingFaceTB/SmolLM2-360M,32,57,True,True,-1.786789,-1.9443993012262601,-2.0189955554632375,0.192482,38,-1.075168,-1.3362227348385614,-1.4179531964474383,0.291228,22,-2.1598322855305048,-1.5645890225515955
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,23,36,True,True,1.963707,2.158352291087903,2.154524310435595,0.095221,27,1.697175,2.147227474235418,2.074002544642696,0.131721,15,2.2048078962434614,1.9964928781394669
OpenBMB/MiniCPM4-0.5B,17,26,True,True,0.010972,-0.008245250429549138,0.02289917443970088,0.19447,21,0.099131,0.03972670330640278,0.1390007746755207,0.224968,15,-0.3815784204510024,0.023359074060712793
Qwen/Qwen1.5-1.8B,31,48,True,True,-1.631198,-1.806114851740729,-1.872623069281863,0.18513,33,-0.889393,-1.1615761029929663,-1.2020943465080294,0.299679,18,-2.549073977659976,-1.3649698474190781
Qwen/Qwen1.5-1.8B-Chat,21,34,True,True,-0.324994,-0.3406733451998066,-0.31370988968152025,0.20054,23,-0.683638,-0.8863632202358468,-0.8468920722689044,0.299744,16,-0.45501032381445633,-0.8270662843081394
Qwen/Qwen2-0.5B,27,53,True,True,-2.146618,-2.248560160322927,-2.366496768187183,0.19908,32,-0.739754,-0.8227184735042937,-0.8225254401932937,0.294538,25,-2.086940410929363,-0.9669308749222638
Qwen/Qwen2.5-0.5B-Instruct,20,30,True,True,-0.223336,-0.261354184178481,-0.22347886968157737,0.184965,20,-0.333884,-0.4106224610372241,-0.3352518541824116,0.275736,16,-0.2018761156916082,-0.10769376073988815
ai-forever/mGPT,50,89,False,True,-2.296398,-3.702075204525821,-4.4998605548054575,0.136373,65,-1.775968,-2.3559842072362267,-3.418527530070724,0.354836,28,-5.085499303166763,-2.5038316513397896
allenai/OLMo-1B-hf,50,88,False,True,-2.294317,-3.706660438294114,-4.5106589610956185,0.136818,64,-1.555297,-2.336452865153926,-3.3539431817675673,0.306425,28,-5.0854993031667535,-2.503831651339786
allenai/OLMo-2-0425-1B,22,34,True,True,-0.970544,-1.156112380933127,-1.1578663264329283,0.191336,24,-0.584979,-0.7607932065237737,-0.7254601423657697,0.295817,17,-1.3186675093115379,-0.808663963065306
allenai/OLMo-2-0425-1B-DPO,19,30,True,True,-0.033879,-0.06375208263221727,-0.022078064408814182,0.177857,22,0.078838,0.0402816015561618,0.11346380647215258,0.254922,16,0.2000632493219934,-0.13353944250927122
allenai/OLMo-2-0425-1B-Instruct,16,26,True,True,0.108788,0.10075294469583096,0.13365471468035986,0.173115,17,-0.123111,-0.14015135882435398,-0.10054208543522267,0.29999,17,0.20086938113832872,0.006350731179973757
arcee-ai/raspberry-3B,18,27,True,True,1.042652,1.17120474166242,1.1891797907357935,0.135489,20,1.001879,0.936825582180452,0.9750708945555279,0.163817,15,1.186410116868141,0.8662577441942382
google/gemma-2-2b,18,26,True,True,-0.56037,-0.7498192174779938,-0.6998705887617133,0.204028,19,-0.32593,-0.4598356563097692,-0.39759409631910964,0.289628,15,-1.240722498061298,-0.522838655915313
google/gemma-2b,25,40,True,True,-1.348519,-1.389416636710503,-1.4000461799078607,0.200433,33,0.022401,-0.11919974870510296,-0.003629625731597704,0.198932,15,-1.340204442676348,-0.6198710307454199
h2oai/h2o-danube-1.8b-chat,50,89,False,True,-0.896177,-0.9339398806356836,-0.950083750548371,0.138321,67,-1.308027,-1.5409203951635178,-1.6746295977320291,0.310244,30,-1.2157398637570251,-1.6770402696759679
h2oai/h2o-danube2-1.8b-base,25,40,True,True,-0.900689,-0.9296643325210129,-0.9633866816342458,0.18847,29,-0.600078,-0.7193383432554041,-0.6971500364077443,0.298058,17,-1.2930649166550952,-1.124383200733692
h2oai/h2o-danube2-1.8b-chat,30,49,True,True,-0.998245,-1.0475746371613934,-1.069552968243202,0.174827,33,-0.803962,-0.9045485685940045,-0.8858242986875087,0.292266,20,-0.6566186089978276,-0.9561108566104168
ibm-granite/granite-3.0-2b-base,22,38,True,True,0.760137,0.7388730393612922,0.7764784871378958,0.143434,36,0.267894,-0.09055567447574905,0.11550531786454754,0.16748,15,0.7948091788689096,0.12999628053953557
ibm-granite/granite-3.1-2b-base,22,30,True,True,1.15921,1.119197682438316,1.1554116034674196,0.117656,24,0.022324,-0.013480122018321206,0.08482875726619314,0.242433,15,0.9764725625004896,0.1319461444089818
ibm-granite/granite-3.1-2b-instruct,20,29,True,True,1.479561,2.1279379593267826,1.9672357915542686,0.121397,19,1.38767,1.3575418355363431,1.4054732188691652,0.15397,16,2.1983669421278673,1.1191826389574115
ibm-granite/granite-7b-instruct,19,28,True,True,0.267979,0.24354931361562912,0.2447804779492129,0.174493,20,-0.083929,-0.16907793329712076,-0.09321976111310742,0.239857,16,0.22039453107971377,-0.046629800343746454
