model,scenarios,criteria,precision_reached,mwle_ok,theta_online_conceptual_understanding,theta_batch_conceptual_understanding,theta_mwle_conceptual_understanding,final_se_conceptual_understanding,scorable_evals_conceptual_understanding,theta_online_quantitative_procedural,theta_batch_quantitative_procedural,theta_mwle_quantitative_procedural,final_se_quantitative_procedural,scorable_evals_quantitative_procedural,theta_full_conceptual_understanding,theta_full_quantitative_procedural
01-ai/Yi-1.5-6B,17,30,True,True,0.434772,0.5162494999403214,0.47250624444406625,0.193494,26,0.323919,0.28041409585418275,0.3648508463276962,0.200124,15,0.006522861440420097,0.31602068214902423
01-ai/Yi-1.5-6B-Chat,17,30,True,True,1.077604,1.0713993651717066,1.0965721074856771,0.178101,26,0.714936,0.6883704671319497,0.7220676899420636,0.158133,15,1.3998502739263228,0.8449435704113716
01-ai/Yi-6B,36,64,True,True,-1.045255,-1.0964080740601885,-1.1124636994528083,0.150387,58,0.65066,0.16589464694964193,0.3684742892011581,0.147842,15,-1.2228242651405745,-0.8086055421792853
01-ai/Yi-6B-200K,17,33,True,True,-0.956245,-1.0273094791902637,-1.0621922658091536,0.293278,18,-0.894001,-1.1328141398789908,-1.166442572613206,0.29955,19,-0.8361178127044461,-0.9901290183559575
01-ai/Yi-6B-Chat,15,29,True,True,0.460173,0.3847368286461724,0.44703339488033694,0.201577,24,0.250739,0.19451088374725822,0.27156273061826386,0.211886,16,0.36444796173883093,0.019391262374195327
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,36,64,True,True,-0.92325,-1.9512128597314031,-2.779052521397204,0.28424,25,-1.682256,-2.4480308091243383,-3.567425448823346,0.299309,45,-4.643802289634604,-2.504749077801772
BEE-spoke-data/smol_llama-220M-openhermes,18,35,True,True,-1.095688,-1.8813315942987043,-2.6836658986773885,0.299984,19,-1.374112,-2.241077738647409,-3.177719748078566,0.297049,22,-4.189312827639286,-2.505949844054141
BSC-LT/salamandra-2b,19,31,True,True,-1.405013,-1.843122728692537,-1.9861522327854537,0.284824,17,-1.257882,-2.1225527939622326,-2.969394416093314,0.290816,16,-2.0897143491524597,-2.447022700555983
BSC-LT/salamandra-2b-instruct,14,25,True,True,-0.508433,-0.4966495885126102,-0.5500068810570211,0.278007,17,-0.458008,-0.5806176064608458,-0.5182890195362321,0.289033,15,-1.183294371673964,-1.2210040663702681
BSC-LT/salamandra-7b,18,34,True,True,-0.433884,-0.7182523294216212,-0.6225118583360959,0.277015,15,-1.229995,-1.614022782803108,-1.7879540328000283,0.299916,23,-0.9652671883717905,-1.4499649445627236
BSC-LT/salamandra-7b-instruct,16,27,True,True,0.305052,0.27656418248258713,0.30853935726634896,0.207749,20,-0.040928,-0.1123162823791597,-0.016769991663175048,0.250545,16,0.19926530632560036,-0.39207012869364477
HuggingFaceTB/SmolLM2-360M,19,37,True,True,-1.398603,-1.7436300637314166,-1.8781955168943405,0.275353,19,-1.137684,-1.3780156495963256,-1.477289861125345,0.297477,21,-2.1598322855305048,-1.5645890225515955
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,16,26,True,True,1.340964,1.8238571058933362,1.7039279838450285,0.150235,16,1.789959,1.8721321790909111,1.9042708713643293,0.15862,15,2.2048078962434614,1.9964928781394669
OpenBMB/MiniCPM4-0.5B,15,25,True,True,0.068479,0.044744039502678926,0.08690644327609584,0.221852,15,-0.07844,-0.11907374546472267,-0.04779621238939554,0.238395,16,-0.3815784204510024,0.023359074060712793
Qwen/Qwen1.5-1.8B,20,36,True,True,-1.219272,-1.4037134456245268,-1.3148560321997185,0.290652,16,-1.064538,-1.2799332560307124,-1.3449569587138812,0.299244,23,-2.549073977659976,-1.3649698474190781
Qwen/Qwen1.5-1.8B-Chat,15,27,True,True,-0.23651,-0.22648563612764483,-0.24284317290227123,0.273446,18,-0.45068,-0.5516812139256835,-0.48921183816002245,0.29454,16,-0.45501032381445633,-0.8270662843081394
Qwen/Qwen2-0.5B,15,28,True,True,-1.142073,-1.283338610723892,-1.3347997360613288,0.288022,18,-0.561285,-0.7087889603606328,-0.641779026520957,0.293587,15,-2.086940410929363,-0.9669308749222638
Qwen/Qwen2.5-0.5B-Instruct,16,27,True,True,-0.38336,-0.5209119791996066,-0.4113064522045352,0.264049,15,-0.178946,-0.23843792666420735,-0.1798672828685145,0.279494,17,-0.2018761156916082,-0.10769376073988815
ai-forever/mGPT,26,42,True,True,-0.735216,-1.7518943176190716,-2.7695277841644326,0.28427,18,-1.452497,-2.220709034200829,-3.1289626793338554,0.297685,30,-5.085499303166763,-2.5038316513397896
allenai/OLMo-1B-hf,34,63,True,True,-0.882669,-1.9554936013831266,-2.8580797043470856,0.284994,24,-1.692262,-2.4472098822600783,-3.566701020686977,0.299996,44,-5.0854993031667535,-2.503831651339786
allenai/OLMo-2-0425-1B,15,25,True,True,-0.638962,-0.7460452164905749,-0.7087519525282848,0.29484,15,-0.505496,-0.5983790820568529,-0.5724108538221836,0.291873,16,-1.3186675093115379,-0.808663963065306
allenai/OLMo-2-0425-1B-DPO,18,29,True,True,0.286151,0.189371182371555,0.2239502464483625,0.204324,20,-0.085238,-0.2245397737367904,-0.12599053596063142,0.2137,16,0.2000632493219934,-0.13353944250927122
allenai/OLMo-2-0425-1B-Instruct,12,24,True,True,0.213883,0.15054377385176573,0.22162525247874543,0.235007,15,-0.237415,-0.3031839885669513,-0.2263789508536217,0.263714,15,0.20086938113832872,0.006350731179973757
arcee-ai/raspberry-3B,13,25,True,True,0.456126,0.5257528158298445,0.5155240892044183,0.171766,20,1.088915,0.9920114773325637,1.0292300876381764,0.19697,15,1.186410116868141,0.8662577441942382
google/gemma-2-2b,16,28,True,True,-0.472522,-0.5607532563741325,-0.5451000500403269,0.29875,15,-0.828091,-1.040890748026653,-1.0583310629376141,0.298247,15,-1.240722498061298,-0.522838655915313
google/gemma-2b,15,25,True,True,-0.706124,-0.9512557038436968,-0.9065179673910705,0.242949,18,0.159115,0.08414883826417388,0.1552032453455425,0.25819,15,-1.340204442676348,-0.6198710307454199
h2oai/h2o-danube-1.8b-chat,17,27,True,True,-0.504221,-0.5658482296225195,-0.536841528217304,0.296573,15,-0.859373,-1.1338145090678067,-1.1700264476101079,0.296183,15,-1.2157398637570251,-1.6770402696759679
h2oai/h2o-danube2-1.8b-base,16,28,True,True,-0.732876,-0.905420429983629,-0.8802516336090564,0.282927,16,-0.627272,-0.7954349777528551,-0.7660912120978901,0.274636,16,-1.2930649166550952,-1.124383200733692
h2oai/h2o-danube2-1.8b-chat,17,28,True,True,-0.876396,-1.2978578179071922,-1.2751924554110685,0.277124,17,-0.619056,-0.7607857348123318,-0.7233301761857932,0.28257,16,-0.6566186089978276,-0.9561108566104168
ibm-granite/granite-3.0-2b-base,17,31,True,True,0.767571,0.7285500690411959,0.784003843216854,0.196194,25,0.243168,0.1781435529142656,0.24780894306868842,0.190456,15,0.7948091788689096,0.12999628053953557
ibm-granite/granite-3.1-2b-base,15,27,True,True,1.276433,1.1681035747403978,1.182866615583913,0.244573,15,-0.167476,-0.20388300526040304,-0.15189221734566571,0.25338,16,0.9764725625004896,0.1319461444089818
ibm-granite/granite-3.1-2b-instruct,16,26,True,True,1.578766,2.169604433235098,2.0740962458581613,0.150005,18,1.351844,1.308152020869339,1.3406329352265804,0.148396,15,2.1983669421278673,1.1191826389574115
ibm-granite/granite-7b-instruct,13,23,True,True,0.415283,0.5150795310321215,0.49712046274489324,0.252993,15,-0.432263,-0.6148401265437395,-0.5567859143776976,0.270583,16,0.22039453107971377,-0.046629800343746454
ibm/PowerLM-3b,16,28,True,True,0.122367,0.1192449790744689,0.15818096039000337,0.223483,17,0.007727,-0.03102491898521688,0.03949395503952013,0.241901,16,0.027527533159130375,-0.0463574420311155
meta-llama/Llama-3.2-1B,23,41,True,True,-0.902563,-1.1565784024184238,-1.1917392241773537,0.285142,21,-1.311693,-1.8909947167361103,-2.230933942207034,0.298403,24,-1.3926493126244708,-1.4379788157815172
meta-llama/Llama-3.2-1B-Instruct,14,27,True,True,-0.212035,-0.272837999166368,-0.18904736904039415,0.264843,20,0.306299,0.22648755130826226,0.282386094901023,0.250696,16,-0.00811709660974204,0.29953384158131446
meta-llama/Llama-3.2-3B-Instruct,15,26,True,True,1.339234,1.5024928592946631,1.451933457851423,0.152377,15,1.329816,1.326022454924594,1.354540363735565,0.149377,16,1.399964636540114,1.1269162029424729
microsoft/phi-1_5,17,28,True,True,-0.53429,-0.6023860623120101,-0.5742441375251252,0.260919,20,-0.328055,-0.4442390945492993,-0.3708405454026854,0.259723,15,-1.1728751936109842,-0.6425569578057233
nvidia/AceInstruct-1.5B,17,27,True,True,1.441421,1.4830160672054138,1.502574761844366,0.144216,18,1.238106,1.2132675908076986,1.244126891621505,0.14585,15,1.4000523675960894,1.0471954243134354
openbmb/MiniCPM-1B-sft-bf16,31,55,True,True,-1.298476,-1.9828629842247891,-2.790523189179013,0.253647,23,-1.640707,-2.4134076572989827,-3.4708055680854932,0.298279,37,-2.7498182086737866,-2.512919142913989
openbmb/MiniCPM-2B-sft-bf16,17,31,True,True,-0.710856,-0.6808691540459053,-0.8256743744657781,0.280728,17,-1.083082,-1.5663372765522303,-1.7862726688157946,0.294588,19,-0.8231452943130785,-1.8668816374918131
openlm-research/open_llama_3b,36,64,True,True,-1.330173,-2.110539424781981,-2.85578577846297,0.29133,28,-1.374969,-1.6562801653571118,-1.7977943272113428,0.299927,42,-2.257453200651558,-1.704544269991054
pankajmathur/orca_mini_3b,17,30,True,True,-0.770084,-0.9039080718445166,-0.9011572368431958,0.288093,17,-1.000189,-1.4501149890280771,-1.536329511133356,0.292427,18,-1.1315466365914812,-1.770334380293431
pankajmathur/orca_mini_v9_5_3B-Instruct,17,30,True,True,0.901423,1.1314184351278431,1.151417594345883,0.16269,26,0.671494,0.6384394522316452,0.7038265573572163,0.16029,15,1.0261949057286956,0.7786286511632987
stabilityai/stablelm-2-1_6b-chat,18,29,True,True,-0.184288,-0.22581140613008513,-0.17624261396975827,0.2122,23,0.070093,0.008756784470932984,0.10564893750163463,0.221222,15,-0.16552401207658335,-0.23989688365417794
stabilityai/stablelm-2-zephyr-1_6b,20,34,True,True,-0.439245,-0.694178878156437,-0.6141245786832965,0.250032,15,-0.584248,-0.6752244610226102,-0.6607068647107521,0.263684,23,-0.40906397114903814,-0.7504484537352621
stabilityai/stablelm-zephyr-3b,15,25,True,True,-0.135351,-0.1397306923335113,-0.1400712969039992,0.290021,16,-0.012634,-0.07818278732218756,0.005665839382313719,0.285503,15,0.01876174913965684,-0.12416494847754614
tiiuae/Falcon3-1B-Instruct,14,27,True,True,0.33481,0.3663985104152452,0.28630514387178496,0.272077,15,-0.297512,-0.35074451771365167,-0.2948735310171059,0.26674,17,0.919767465108813,0.1244078994103852
tiiuae/Falcon3-3B-Base,16,28,True,True,1.144581,1.254987763990452,1.2404543433751536,0.186304,21,1.047564,1.015822770843219,1.0444197866258293,0.19324,15,1.3714646681596045,1.013032889512372
tiiuae/Falcon3-3B-Instruct,15,30,True,True,1.363914,2.37739213738432,2.6993189950180763,0.172411,19,2.381971,2.4589581458933685,2.4911343432563657,0.156149,17,2.4108794795357054,2.215960619487737
utter-project/EuroLLM-1.7B,16,29,True,True,-0.805391,-1.7658865862656299,-2.612088996407417,0.280062,15,-1.28616,-2.1679797689639346,-3.0803552594418147,0.291832,17,-2.197766048598003,-2.4038184978620993
utter-project/EuroLLM-1.7B-Instruct,20,34,True,True,-0.849947,-0.8367776882828679,-0.9511028228159184,0.250205,18,-1.165833,-1.620096499575061,-1.822681414259631,0.297694,22,-1.0397797481576927,-1.622735497061941
