model,n_admin,theta_overall,se_posterior_overall,se_param_overall,se_total_overall,bar_inflation_overall
01-ai/Yi-6B,25,-0.24190897713035736,0.28121399728842505,0.09608828993560144,0.29717717229572416,1.0567652220772161
01-ai/Yi-6B-Chat,33,-0.876342379824363,0.3294658341306521,0.10910035694954774,0.34705997139676753,1.0534020084739297
EleutherAI/pythia-1.4b,38,-1.4364303217890004,0.40327981831466214,0.1790321888370118,0.44123365295462036,1.0941129035382189
EleutherAI/pythia-160m,30,-2.017481283956771,0.563182800896534,0.35960353229485365,0.6681987486254377,1.1864686697848872
EleutherAI/pythia-1b,35,-2.368729742142958,0.5485749752823342,0.3401946046298375,0.6454973838252678,1.1766803316047194
EleutherAI/pythia-2.8b,45,-2.3979017879469176,0.5356301859965575,0.2874120130914202,0.6078695266420003,1.134867941602356
EleutherAI/pythia-410m,31,-1.8152559464246316,0.5611527003722465,0.2849679451263502,0.6293640304979295,1.1215557371111897
EleutherAI/pythia-6.9b,33,-1.9284982833919582,0.49541656697805986,0.24453942903459247,0.5524826759174363,1.115188132055147
EleutherAI/pythia-70m,45,-2.554736347724912,0.5399723377022678,0.346728378334888,0.6417091972431074,1.1884112433865746
HuggingFaceH4/zephyr-7b-beta,15,0.3310511062567391,0.2630841732902213,0.17869935890045968,0.3180357575921841,1.2088745347723482
HuggingFaceTB/SmolLM2-1.7B,15,0.41534947157242696,0.2537803715900882,0.12095802867337226,0.28113221392247384,1.1077776116450997
HuggingFaceTB/SmolLM2-1.7B-Instruct,24,0.3559911161055765,0.22263364748862985,0.17373663680075482,0.2824007081452327,1.268454752149067
HuggingFaceTB/SmolLM2-135M,31,-1.9391206907045822,0.5582385596080404,0.28465604498466646,0.6266253692435155,1.122504632577678
HuggingFaceTB/SmolLM2-360M,41,-1.5371672358554536,0.42131484667029345,0.16085201214826514,0.4509762408785617,1.0704019676559848
HuggingFaceTB/SmolLM2-360M-Instruct,19,-0.1364433770712878,0.29099318342462793,0.11155434839134933,0.311643073795356,1.0709634848751595
LLM360/Amber,41,-2.2355197198850796,0.5441735753331456,0.2088041068902387,0.5828585035367408,1.0710893177418843
Qwen/Qwen2-0.5B,47,-1.2651567824833256,0.3495605987328791,0.14476035872057996,0.3783492746701121,1.0823567531397673
Qwen/Qwen2-1.5B,28,-0.46513561905006406,0.30708430446406537,0.08296106408677402,0.31809323822204805,1.0358498744414693
Qwen/Qwen2-7B,16,1.4147871017901403,0.18075649879859454,0.15085945813025373,0.2354389261895324,1.3025198416343913
Qwen/Qwen2.5-0.5B,25,-1.1877769826926177,0.4783655603774905,0.2755395351746494,0.5520467777276962,1.1540270108325983
Qwen/Qwen2.5-0.5B-Instruct,30,-0.0409854986360864,0.25149530434177125,0.07077314527582058,0.26126371006741933,1.0388413046168576
Qwen/Qwen2.5-1.5B,18,0.7391956293406783,0.25065418221749197,0.09020590871865157,0.26639186367244283,1.0627864307538077
Qwen/Qwen2.5-1.5B-Instruct,16,1.528235996435761,0.24750368656419544,0.14688369105957433,0.28780704223863596,1.1628394155817432
Qwen/Qwen2.5-3B,17,1.3534176483668636,0.17875201445244088,0.12216610153162231,0.21651059797210917,1.2112344503379817
Qwen/Qwen2.5-3B-Instruct,15,1.3726203907529189,0.18690038209495552,0.14484223454597278,0.23645512414729133,1.2651398648674743
Qwen/Qwen2.5-7B,15,1.481042489380408,0.20584532394707278,0.13121131938555938,0.24410798374034104,1.1858806362932315
Qwen/Qwen2.5-7B-Instruct,17,2.232841472917927,0.20079836420862673,0.1689045259169675,0.2623903998702999,1.3067357441103449
Qwen/Qwen2.5-Coder-7B,15,1.071601220706433,0.2444769678571473,0.10082357335058452,0.2644510933155795,1.081701461014943
Qwen/Qwen2.5-Math-7B,16,1.8649341925981628,0.22233089005916085,0.08770542757322428,0.23900474200379532,1.0749956604779374
Qwen/Qwen3-0.6B,16,0.9506365717999491,0.2100213601417365,0.14811231303465455,0.2569946088700315,1.223659387295627
Qwen/Qwen3-1.7B,15,2.2144445250988682,0.17310349600261057,0.13640713984013356,0.22038994561388586,1.2731686574981833
Qwen/Qwen3-4B,17,2.249399964570488,0.22929994705005632,0.201514856997402,0.3052649722910279,1.3312910718831887
TinyLlama/TinyLlama-1.1B-Chat-v1.0,22,-0.3680792010897911,0.35310426030859166,0.13504876142623637,0.37804865640660357,1.0706431468037572
allenai/OLMo-2-0425-1B,33,-0.4454050471112777,0.28088823230672944,0.10016702959508798,0.2982140722137412,1.0616823273966565
