bank,skill,metric,value
2_skills,correctness,theta_mae_mwle_insample,0.37432961329375725
2_skills,correctness,theta_mae_mwle_oos,0.5516977019350895
2_skills,scaffolding,theta_mae_mwle_insample,0.30723168877076396
2_skills,scaffolding,theta_mae_mwle_oos,0.32426998092786563
3_skills,correctness,theta_mae_mwle_insample,0.35699534785312187
3_skills,correctness,theta_mae_mwle_oos,0.46687843629215603
3_skills,scaffolding,theta_mae_mwle_insample,0.31391535721042013
3_skills,scaffolding,theta_mae_mwle_oos,0.27530158398520305
3_skills,presentation,theta_mae_mwle_insample,0.386045201618268
3_skills,presentation,theta_mae_mwle_oos,0.3869446351706419
2_skills,correctness,passrate_mae_raw,0.019279812100737356
2_skills,correctness,passrate_mae_calibrated,0.018688838676266972
2_skills,scaffolding,passrate_mae_raw,0.07709021510527318
2_skills,scaffolding,passrate_mae_calibrated,0.0615256356752752
3_skills,correctness,passrate_mae_raw,0.015220958330157517
3_skills,correctness,passrate_mae_calibrated,0.015248896136879487
3_skills,scaffolding,passrate_mae_raw,0.07312349631882703
3_skills,scaffolding,passrate_mae_calibrated,0.06153744913861061
3_skills,presentation,passrate_mae_raw,0.027942992136961373
3_skills,presentation,passrate_mae_calibrated,0.028602913469055753
