model,fold,criteria_administered,scenarios_administered,theta_ref_correctness,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,theta_ref_scaffolding,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,theta_ref_presentation,theta_online_presentation,theta_batch_presentation,theta_mwle_presentation
01-ai/Yi-1.5-6B,2,216,38,0.9998990398360003,0.603455,0.5435103866224231,0.5911394111654611,-0.8216835181441767,-0.268028,-0.363485019304579,-0.3910595122149968,-0.5917975377803194,-0.460671,-0.4819960617626478,-0.4931489828698082
01-ai/Yi-1.5-6B-Chat,4,157,24,1.724895389209645,1.919867,1.6006659449387464,1.6528716575143325,-0.7102076043115433,-0.061848,-0.9744074072684901,-1.1818375798806033,0.12938994087895841,-0.455248,-0.4713078274283099,-0.48656316349344825
01-ai/Yi-6B,4,175,35,-0.5886625333289772,-0.503347,-0.5693718631252989,-0.54992730534828,0.02974019541683975,-0.242485,-0.28766175604400784,-0.3047581257219501,-0.41174955919028666,-0.132782,-0.1821764171602724,-0.1548938987537904
01-ai/Yi-6B-200K,1,211,37,-1.495855368920461,-0.89884,-0.9547595207823741,-1.008620671853771,1.007558714510517,0.91733,0.9423297449679271,1.037562195289321,-1.5979778052965998,-1.1613,-1.2155556414765956,-1.2915153262578059
01-ai/Yi-6B-Chat,1,199,41,-0.18226710694957618,-0.72281,-0.806884057487116,-0.8226511227242743,-0.6290664056064946,-0.663719,-0.7141545312599366,-0.738744282965638,0.6536635879272584,0.30408,0.2794607546741657,0.35270220974192373
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2,297,50,-3.6532677455451807,-2.554983,-3.3212267055421543,-5.321230868416552,2.8234794818174103,1.871729,1.9886658405459112,2.236315964194091,-2.7025381613304216,-2.206482,-2.3456960877316457,-2.7053514363468665
BEE-spoke-data/smol_llama-220M-openhermes,2,281,50,-3.5974662370556785,-3.061503,-3.406842864799331,-4.4710007453962755,1.0706040798828387,1.453048,1.6386706675957212,1.7947702308364466,-2.42298331519254,-1.806847,-2.1450706317916852,-2.4531442646468244
BSC-LT/salamandra-2b,0,246,40,-2.6402411067663825,-2.03299,-2.455908361812558,-2.716879298217913,1.1392561953080436,1.479211,1.2992802840009767,1.380181891832269,-2.1159148972538278,-1.681392,-1.861960629303291,-2.048821387495144
BSC-LT/salamandra-2b-instruct,2,259,44,-1.8531610222016623,-1.666645,-1.9330133311692874,-2.107312889638499,0.31898424602095476,0.146261,0.14563862799948116,0.2151395271416315,-1.6133197493073188,-1.079545,-1.1337747316339721,-1.206804206658084
BSC-LT/salamandra-7b,4,271,47,-0.6016677472825055,-0.270088,-0.31896643781913575,-0.30308696505305205,0.7122220901295298,0.029875,0.06478040911350239,0.06926991550830125,-1.1326448757063792,-1.126127,-1.1650132005853784,-1.2297887887640682
BSC-LT/salamandra-7b-instruct,1,213,40,-0.41093308272021967,-0.743496,-0.8013159461539405,-0.8423125106058383,-0.05742017051997033,-0.151917,-0.23149121915013016,-0.20989264513413877,-0.9109298991475467,-0.923244,-0.9755247043796942,-1.0312267346127622
EleutherAI/pythia-1.4b,3,181,33,-1.736161262594855,-1.432757,-1.8132027635836712,-2.0281069711035316,0.8985509290257487,0.549186,0.5604631549845558,0.6166501481736361,-1.236596496814621,-0.509771,-0.5510465100122028,-0.550019722971045
EleutherAI/pythia-160m,0,316,50,-5.130741624989284,-2.624592,-3.6392360807332906,-6.027180228441073,1.6530557871105853,1.509925,1.5335347062883098,1.5459204249199132,-4.539003988049164,-2.669381,-3.236670908243073,-5.413638624768069
EleutherAI/pythia-1b,1,253,48,-2.411061631967889,-2.620761,-3.2004612516084174,-3.8934336128249263,0.7744293911054776,0.680078,0.6576317840315545,0.7234474001764872,-1.4049136632005248,-1.212319,-1.2815142112666942,-1.361908033125661
EleutherAI/pythia-2.8b,1,278,50,-2.441160767525229,-2.222977,-2.7268556771488246,-3.3519550721548628,0.7207352956807456,0.415741,0.44761448343546006,0.4971780478031916,-1.764211221556844,-2.017976,-2.1345369140403188,-2.3904526458468403
EleutherAI/pythia-410m,1,274,50,-3.509331243152378,-2.400952,-3.15488604129331,-4.129522673997151,0.9981820989008146,0.53036,0.4713796209189983,0.5336557171061417,-2.780754491963706,-1.943625,-2.3094187631150707,-2.6758269711155447
