model,fold,criteria_administered,scenarios_administered,theta_ref_overall,theta_online_overall,theta_batch_overall,theta_mwle_overall
01-ai/Yi-1.5-6B,2,51,12,0.5859175385197658,0.659419,0.6863520197668977,0.703547243139084
01-ai/Yi-1.5-6B-Chat,4,60,12,1.5999988596033405,1.407456,1.417231039028838,1.4240189230957963
01-ai/Yi-6B,4,57,12,-0.5139425366203857,-0.388444,-0.479150028564878,-0.4636385577554517
01-ai/Yi-6B-200K,1,58,12,-1.4373871094112944,-1.284906,-1.71439485201269,-1.8928331859623333
01-ai/Yi-6B-Chat,1,54,12,-0.01101989966842175,-0.349915,-0.38461758412246333,-0.3544672447093576
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2,56,12,-4.218293428652073,-1.295377,-1.8888314730294735,-2.0275214304932008
BEE-spoke-data/smol_llama-220M-openhermes,2,52,12,-3.6795176724385996,-1.712327,-2.1903557905259374,-2.4774558557871367
BSC-LT/salamandra-2b,0,54,12,-2.659374319857368,-1.826305,-2.167747250794658,-2.3820852820798923
BSC-LT/salamandra-2b-instruct,2,54,12,-1.9454243509082492,-1.312564,-2.5179216492582372,-3.247268366382861
BSC-LT/salamandra-7b,4,58,12,-0.5876222107033403,-1.044406,-1.2040446149137631,-1.2345227952524447
BSC-LT/salamandra-7b-instruct,1,55,13,-0.34464364539986164,-0.719212,-0.7499873698535502,-0.783756873042083
EleutherAI/pythia-1.4b,3,53,13,-1.569914559371265,-1.752983,-2.3327957711838194,-2.856562223203656
EleutherAI/pythia-160m,0,55,12,-4.967054252003988,-2.070073,-3.060493675841638,-4.513463562484408
EleutherAI/pythia-1b,1,68,16,-2.385487580928051,-2.467999,-3.364594200766338,-4.565359144435112
EleutherAI/pythia-2.8b,1,59,14,-2.4039847964774,-1.806153,-2.0815640568293747,-2.354096573828784
EleutherAI/pythia-410m,1,77,17,-3.3590041975108065,-2.514636,-3.2026688609688048,-4.201909124446897
EleutherAI/pythia-6.9b,4,49,12,-1.530312663848993,-1.190811,-1.2964667867029818,-1.3418812071225659
EleutherAI/pythia-70m,3,56,12,-3.746069334858032,-1.898561,-2.5388068231228997,-3.5030868970036018
HuggingFaceH4/zephyr-7b-beta,3,49,12,1.1999706968957278,1.123113,1.0901445406919275,1.1189270912946834
HuggingFaceTB/SmolLM2-1.7B,0,62,12,-0.8052212566127835,-0.380441,-0.43186655937208396,-0.4243533818357532
HuggingFaceTB/SmolLM2-1.7B-Instruct,0,47,12,-0.00011758837513981553,-0.086706,-0.11357846745582081,-0.08926210955084786
HuggingFaceTB/SmolLM2-135M,1,84,19,-3.3192102763468148,-2.712517,-3.6301265099136995,-5.8227479580101065
HuggingFaceTB/SmolLM2-360M,3,49,12,-2.2381148619755833,-1.061033,-1.2227330648563512,-1.2448610154079123
HuggingFaceTB/SmolLM2-360M-Instruct,4,61,12,-0.7629345273926067,-0.988728,-1.0281129843822427,-1.0459494178563806
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3,48,12,1.799962233506145,1.31136,1.3128453730802592,1.3269847720888117
LLM360/Amber,1,70,16,-3.896561585491657,-2.343218,-2.8874137727687557,-3.4762489614567746
OpenBMB/MiniCPM4-0.5B,1,56,13,-0.5932182850104812,-1.222861,-1.3661936168178381,-1.4661858689244711
Qwen/Qwen1.5-1.8B,3,53,12,-2.276132184043791,-1.508655,-2.11814808560458,-2.4461045057012587
Qwen/Qwen1.5-1.8B-Chat,0,55,12,-1.740633389124866,-1.375395,-1.7565904441699258,-1.8868749994805931
Qwen/Qwen2-0.5B,0,60,12,-2.3853665304068232,-1.72834,-2.0470451282899127,-2.2174038058722956
Qwen/Qwen2-1.5B,2,55,12,-0.6178106281179602,-0.03452,-0.21405248264369986,-0.17023539578046934
Qwen/Qwen2-7B,4,45,12,1.4000001015579953,1.376997,1.4080929682113204,1.4022022365052653
Qwen/Qwen2.5-0.5B,2,58,12,-1.2075203967571349,-1.594823,-2.1255958586056374,-2.3467566218330607
Qwen/Qwen2.5-0.5B-Instruct,0,55,12,-0.8090016898216273,-0.86003,-0.940492651025727,-0.9522723479239176
Qwen/Qwen2.5-1.5B,1,56,12,0.805640644957041,0.724952,0.6882830840274805,0.7215249403203692
Qwen/Qwen2.5-1.5B-Instruct,3,45,12,1.1999999503993508,0.987938,0.9651178061642405,1.0074998801119983
Qwen/Qwen2.5-3B,1,59,12,1.599956261370779,1.455225,1.4535446394565943,1.466466669995342
Qwen/Qwen2.5-3B-Instruct,3,44,12,1.8000000000006933,1.780955,1.7616436053226743,1.7908363710930264
Qwen/Qwen2.5-7B,3,42,12,1.799999956567719,1.404084,1.3810645869868963,1.3947649724180053
Qwen/Qwen2.5-7B-Instruct,1,40,12,2.403270748339831,2.254532,2.337033751320712,2.3815293307197503
Qwen/Qwen2.5-Coder-7B,2,61,12,1.2357231989300965,1.664072,1.6441329848988562,1.6856306434387185
Qwen/Qwen2.5-Math-7B,3,35,12,1.8000000001319298,2.009984,1.8936524473644998,1.9635883914927224
Qwen/Qwen3-0.6B,1,56,12,1.186035049657292,1.155034,1.143242640836969,1.1813624973196017
Qwen/Qwen3-1.7B,3,42,12,2.199999999999976,2.183729,2.1791397305152542,2.207372106223627
Qwen/Qwen3-4B,1,44,12,2.800000000000102,2.455036,2.5242903024413965,2.554936657372624
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,59,12,-1.4077125495294498,-0.768914,-0.9357172043655884,-0.9218258375750422
ai-forever/mGPT,0,60,12,-4.985237604088779,-2.42974,-3.2745407979716044,-4.770038789318862
allenai/OLMo-1B-hf,3,53,12,-5.0458631569641685,-1.62563,-2.7139330729518014,-4.851448949567375
allenai/OLMo-2-0425-1B,2,50,12,-0.7901140030139756,-0.740048,-1.0495747077067001,-1.0692920771935774
allenai/OLMo-2-0425-1B-DPO,1,54,12,0.38126575415405484,-0.175209,-0.23330611912063273,-0.193203764616401
allenai/OLMo-2-0425-1B-Instruct,2,55,12,3.576681722173899e-05,0.102371,0.0007657298550785697,0.017120108030901054
allenai/OLMo-2-1124-7B,0,50,12,0.6003318065172067,0.491724,0.44444101013256476,0.4826387697167169
arcee-ai/raspberry-3B,3,41,12,1.000001400746226,1.002425,1.0054062604364726,1.0457783047467106
bigscience/bloom-1b1,4,40,12,-2.958848153061049,-1.44138,-2.0864817292542006,-2.543546813982994
bigscience/bloom-1b7,0,55,12,-3.946264172961581,-2.260288,-3.136207321944046,-4.666008002932674
bigscience/bloom-3b,2,45,12,-2.948556474725306,-1.628002,-2.609931276287612,-3.5431564310946264
bigscience/bloom-560m,0,56,12,-4.416240152721874,-2.023788,-2.9880575865730856,-4.4667157876170185
bigscience/bloom-7b1,4,48,12,-1.7044481906683973,-1.198012,-1.4075018540309872,-1.4773463230990997
bigscience/bloomz-1b7,0,54,12,-4.853839175759281,-2.049023,-3.0170039751813658,-4.494990664929139
bigscience/bloomz-3b,1,89,20,-4.285236624294839,-2.762992,-3.3956128207485925,-4.421052626080414
bigscience/bloomz-7b1,0,56,12,-4.875937315117405,-2.172131,-3.0504906536124863,-4.299496732080568
deepseek-ai/deepseek-coder-6.7b-base,3,44,12,-0.25116878901738826,-0.50356,-0.5482362512052681,-0.5414948266494444
deepseek-ai/deepseek-llm-7b-base,4,56,12,-1.2959892245880444,-1.450309,-1.7214057223406471,-1.8430491181788982
