model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_overall,theta_cat_overall,theta_batch_overall,theta_mwle_overall,final_se_overall,scorable_evals_overall
01-ai/Yi-6B,12,72,precision_reached,True,72,0,0.08193979933110368,-0.7492336744252458,-0.410552,-0.4898885839460777,-0.4647351448445126,0.175008,72
01-ai/Yi-6B-Chat,12,63,precision_reached,True,63,0,0.11865357643758766,-3.003807124305868e-08,-0.391674,-0.42499190109559914,-0.41482464802424,0.205314,63
EleutherAI/pythia-1.4b,12,53,precision_reached,True,53,0,0.06802533737262462,-1.583250988910285,-1.434482,-1.805931177071875,-1.9660471739219527,0.268397,53
EleutherAI/pythia-160m,12,53,precision_reached,True,53,0,0.04298704877376688,-5.034733428739247,-1.533442,-2.513671861720094,-3.734363055406585,0.259648,53
EleutherAI/pythia-1b,12,46,precision_reached,True,46,0,0.06344827586206897,-1.8387806548999857,-1.708435,-2.620458930568862,-3.8523981757552854,0.281122,46
EleutherAI/pythia-2.8b,12,55,precision_reached,True,55,0,0.05953693495038589,-1.8964633481718485,-1.53747,-1.9219418014577316,-2.1310833412069714,0.277592,55
EleutherAI/pythia-410m,12,51,precision_reached,True,51,0,0.055907463508675294,-2.720728497572852,-1.392704,-2.345799186786931,-3.2723964510119825,0.252159,51
EleutherAI/pythia-6.9b,12,50,precision_reached,True,50,0,0.05853119823302043,-1.6126781701301296,-1.334013,-1.6903423667743287,-1.821768501326267,0.269555,50
EleutherAI/pythia-70m,12,48,precision_reached,True,48,0,0.03271927412702777,-5.206087066836102,-1.750004,-2.640875226227905,-3.984397081968116,0.286689,48
HuggingFaceH4/zephyr-7b-beta,12,45,precision_reached,True,45,0,0.24400446179587285,1.0666666666343312,1.102567,1.0389954562115167,1.0669670563430198,0.122237,45
HuggingFaceTB/SmolLM2-1.7B,12,60,precision_reached,True,60,0,0.09682804674457429,-0.26670240202683565,0.080993,0.02547222527644753,0.06780345593465781,0.144444,60
HuggingFaceTB/SmolLM2-1.7B-Instruct,12,63,precision_reached,True,63,0,0.1501122334455668,0.26835231714369656,0.682561,0.5641773696263044,0.5836455394121102,0.146784,63
HuggingFaceTB/SmolLM2-135M,12,54,precision_reached,True,54,0,0.040892193308550186,-2.845935527462306,-1.508986,-2.5591661736937965,-3.7068315551118163,0.250977,54
HuggingFaceTB/SmolLM2-360M,12,58,precision_reached,True,58,0,0.04424778761061947,-2.3881478136787444,-1.40984,-1.8028277046345984,-1.9624779390334037,0.261311,58
HuggingFaceTB/SmolLM2-360M-Instruct,12,60,precision_reached,True,60,0,0.06244796003330558,-0.9587625556225337,-0.588085,-0.9337487015674532,-0.9178675111447606,0.170437,60
LLM360/Amber,12,61,precision_reached,True,61,0,0.03648424543946932,-3.752367487047027,-1.670724,-2.376344405436072,-2.910366108893629,0.267992,61
Qwen/Qwen2-0.5B,12,64,precision_reached,True,64,0,0.03968914793227866,-1.7866637319164351,-1.295197,-1.5422354316565934,-1.6195530786174395,0.254854,64
Qwen/Qwen2-1.5B,12,63,precision_reached,True,63,0,0.09474854126146151,-0.2666725696788534,-0.263899,-0.29069793861400195,-0.2599662060915414,0.198304,63
Qwen/Qwen2-7B,12,47,precision_reached,True,47,0,0.27932960893854747,1.3333331743565529,1.267478,1.3123525563525553,1.299489383985065,0.100624,47
Qwen/Qwen2.5-0.5B,12,64,precision_reached,True,64,0,0.06343906510851419,-0.8059513395697094,-0.746643,-0.8792207069879224,-0.8815539951225705,0.216718,64
Qwen/Qwen2.5-0.5B-Instruct,12,67,precision_reached,True,67,0,0.0848872808238241,-0.26673847155832037,-0.207917,-0.24186272286360655,-0.20997677388668737,0.18049,67
Qwen/Qwen2.5-1.5B,12,55,precision_reached,True,55,0,0.18015037593984962,0.7999738833706029,1.117144,1.0827905776155495,1.1110931509715076,0.121018,55
Qwen/Qwen2.5-1.5B-Instruct,12,51,precision_reached,True,51,0,0.232420220276758,1.0666666666666778,1.015827,1.0052739218201625,1.0374472252448985,0.105451,51
Qwen/Qwen2.5-3B,12,54,precision_reached,True,54,0,0.27180925666199157,1.3333326556238578,1.083623,1.0675976114391181,1.1010260914048782,0.095981,54
Qwen/Qwen2.5-3B-Instruct,12,47,precision_reached,True,47,0,0.3739424703891709,1.6000000000201438,1.517879,1.5494982134735429,1.5252749248738318,0.09882,47
Qwen/Qwen2.5-7B,12,45,precision_reached,True,45,0,0.356341189674523,1.5999999999999996,1.402387,1.3871188406873227,1.4172965417373078,0.100474,45
Qwen/Qwen2.5-7B-Instruct,12,39,precision_reached,True,39,0,0.47922515440763613,2.1333333344745573,2.18591,2.1668032192889632,2.226633280162781,0.105784,39
Qwen/Qwen2.5-Coder-7B,12,46,precision_reached,True,46,0,0.32567908148977875,1.5932292181172703,1.312408,1.3108279409651,1.3002588088018252,0.106338,46
Qwen/Qwen2.5-Math-7B,12,49,precision_reached,True,49,0,0.3443080357142857,1.6000000000000234,1.718986,1.683425456728617,1.7085170403157135,0.115953,49
Qwen/Qwen3-0.6B,12,56,precision_reached,True,56,0,0.19950262503453992,0.9261093138019013,1.165865,1.1157781905255464,1.1683104733648864,0.095289,56
Qwen/Qwen3-1.7B,12,37,precision_reached,True,37,0,0.4359612724757953,2.1346751386810694,2.384069,2.382688636228923,2.3843433530487057,0.101634,37
Qwen/Qwen3-4B,12,37,precision_reached,True,37,0,0.5638827433628318,2.666666666666666,2.684721,2.7375444944137084,2.770081625035643,0.101074,37
TinyLlama/TinyLlama-1.1B-Chat-v1.0,12,52,precision_reached,True,52,0,0.038034425319267075,-1.6771279969851713,-0.737699,-1.0703380612295352,-1.0700090274615552,0.214673,52
allenai/OLMo-2-0425-1B,12,54,precision_reached,True,54,0,0.0980011104941699,-0.2715289342137961,-0.562029,-0.598023931054636,-0.5847003352829244,0.230316,54
