model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding
01-ai/Yi-6B,50,236,max_scenarios_reached,False,236,0,0.08193979933110368,-1.0704346703763623,-0.753748,-0.8043667018359539,-0.8167879262921958,0.237892,166,0.06297062464348907,-0.569649,-0.5434948983315717,-0.5780893335346412,0.239971,104
01-ai/Yi-6B-Chat,50,250,max_scenarios_reached,False,250,0,0.11865357643758766,-0.20101842941183268,-0.406858,-0.45887607578305784,-0.454451615340742,0.228098,170,-0.7662038966888817,-0.567467,-0.5532521348714268,-0.5787101373707898,0.228763,126
EleutherAI/pythia-1.4b,50,247,max_scenarios_reached,False,247,0,0.06802533737262462,-2.4050538814660434,-2.598286,-3.2329168935922548,-3.6930044269443316,0.240161,202,1.2239202146278805,1.291746,1.3192490359756508,1.3973963338458615,0.236262,82
EleutherAI/pythia-160m,50,247,max_scenarios_reached,False,247,0,0.04298704877376688,-5.905746395609428,-3.066594,-4.010521067169338,-6.1098835659483175,0.259057,202,1.8460324088623938,1.93237,2.0374457355915063,2.221634966447708,0.257305,80
EleutherAI/pythia-1b,50,241,max_scenarios_reached,False,241,0,0.06344827586206897,-2.628970270212859,-2.728896,-3.2321279740717785,-3.6937892185264327,0.255047,196,1.119802726830886,0.875768,0.8850277100530837,0.9571712658277874,0.250607,78
EleutherAI/pythia-2.8b,50,256,max_scenarios_reached,False,256,0,0.05953693495038589,-2.628843696421378,-2.510019,-2.8442986897475517,-3.0959753378113875,0.244583,211,0.990706262686823,1.270562,1.2643585663207204,1.349689685103203,0.246876,81
EleutherAI/pythia-410m,50,243,max_scenarios_reached,False,243,0,0.055907463508675294,-3.7524347791206836,-2.989862,-3.925991730752483,-5.71689116652208,0.255326,201,1.4646678321988662,1.263155,1.2766164849655057,1.3648150623016035,0.254472,74
EleutherAI/pythia-6.9b,50,240,max_scenarios_reached,False,240,0,0.05853119823302043,-2.3886528441452617,-2.161189,-2.3995037726414097,-2.577196715156387,0.244929,185,0.7290093698361134,0.592327,0.5842283490661793,0.6386537927557079,0.243718,91
EleutherAI/pythia-70m,50,236,max_scenarios_reached,False,236,0,0.03271927412702777,-6.124541847468202,-2.890805,-3.9574281223643144,-6.636491992066707,0.253303,191,0.9971778051884745,0.917207,0.9122676437593563,0.984357004434272,0.250279,76
HuggingFaceH4/zephyr-7b-beta,13,55,precision_reached,True,55,0,0.24400446179587285,1.0735464455197932,1.225511,1.178262830899966,1.2571170973434316,0.187565,44,0.5360821953414793,0.550985,0.4305340601950322,0.6040386021740255,0.195116,23
HuggingFaceTB/SmolLM2-1.7B,50,272,max_scenarios_reached,False,272,0,0.09682804674457429,-0.6069972196331872,-0.52605,-0.5826150160945178,-0.5719009408423433,0.216809,192,-0.18819606251454446,0.077801,0.07197086051887179,0.08882617597703166,0.222266,137
HuggingFaceTB/SmolLM2-1.7B-Instruct,50,250,max_scenarios_reached,False,250,0,0.1501122334455668,0.27856196391447186,0.682895,0.5779576482734191,0.619871946002336,0.183087,166,-0.8346740715995998,-0.495895,-0.6975011635966787,-0.7308353380450374,0.20398,133
HuggingFaceTB/SmolLM2-135M,50,246,max_scenarios_reached,False,246,0,0.040892193308550186,-3.958219784214156,-2.626688,-3.617902546081838,-4.807038358392118,0.246034,194,0.5376924207367975,0.542073,0.538740539449038,0.5835305915119321,0.245952,90
HuggingFaceTB/SmolLM2-360M,50,245,max_scenarios_reached,False,245,0,0.04424778761061947,-3.3626953593895825,-2.262304,-2.6350720202869455,-2.8746287218698323,0.243958,192,0.721182210978731,1.038928,1.0318386810543176,1.108374561743918,0.243709,87
HuggingFaceTB/SmolLM2-360M-Instruct,50,246,max_scenarios_reached,False,246,0,0.06244796003330558,-1.4417475102104975,-1.348987,-1.444466868050905,-1.5175063564059084,0.247133,180,-0.7969806893750886,-0.58571,-0.6007300682897491,-0.6358930000792646,0.254755,105
LLM360/Amber,50,244,max_scenarios_reached,False,244,0,0.03648424543946932,-4.861662345638008,-2.81405,-3.621924348193769,-4.6274897631666745,0.259215,194,0.8492859278878826,0.874483,0.8618647676658069,0.9314676661585533,0.255039,81
Qwen/Qwen2-0.5B,50,240,max_scenarios_reached,False,240,0,0.03968914793227866,-2.6083602519009004,-1.828352,-2.0271319841360596,-2.162845146467967,0.242192,185,-0.4505447588279179,-0.135278,-0.1923690033819471,-0.18902932809536604,0.243826,88
Qwen/Qwen2-1.5B,50,246,max_scenarios_reached,False,246,0,0.09474854126146151,-0.5418715254070714,-0.201713,-0.2474766773546715,-0.23307716790204616,0.237159,178,-1.2219625577040523,-1.144333,-1.1270367537759214,-1.2249952611600727,0.244102,116
Qwen/Qwen2-7B,13,57,precision_reached,True,57,0,0.27932960893854747,1.5999978882255521,1.316146,1.267345687363314,1.3471909574633614,0.18471,49,0.06225360553423992,0.472846,0.009982371079431411,0.4908652456931844,0.179218,22
Qwen/Qwen2.5-0.5B,50,239,max_scenarios_reached,False,239,0,0.06343906510851419,-1.3358899498761034,-0.999222,-1.0523482459295532,-1.0873540069156742,0.244471,171,-1.0203081208488862,-0.796341,-0.8043705202668261,-0.873966249528216,0.247688,108
Qwen/Qwen2.5-0.5B-Instruct,50,258,max_scenarios_reached,False,258,0,0.0848872808238241,-0.6581753317485411,-0.639512,-0.6740269230567232,-0.6747261150022138,0.237363,183,-1.2111990036393765,-1.103487,-1.1218231860260188,-1.2096724287500116,0.245594,125
Qwen/Qwen2.5-1.5B,50,276,max_scenarios_reached,False,276,0,0.18015037593984962,0.8000020550034199,0.866942,0.8241149504996502,0.8620648848782372,0.177134,201,-1.548036599732023,-1.376623,-1.3540957201916923,-1.4328527379554261,0.223705,131
Qwen/Qwen2.5-1.5B-Instruct,50,261,max_scenarios_reached,False,261,0,0.232420220276758,1.333330512805253,1.529584,1.4691557493223673,1.5060916183147737,0.14645,193,-1.502620468122803,-1.448399,-1.4446394316799227,-1.5054321194463594,0.208681,125
Qwen/Qwen2.5-3B,50,258,max_scenarios_reached,False,258,0,0.27180925666199157,1.5999999492839896,1.836757,1.8262248058946078,1.882957102064318,0.146478,194,-0.813440741239356,-0.773905,-0.7865927587534841,-0.8382090809620613,0.218664,122
Qwen/Qwen2.5-3B-Instruct,12,73,precision_reached,True,73,0,0.3739424703891709,2.1335492025443554,2.011889,1.911022843951969,2.0182853736504742,0.144456,59,0.26297339361657296,0.305348,0.22169573508569268,0.3029678468854338,0.148848,31
Qwen/Qwen2.5-7B,12,63,precision_reached,True,63,0,0.356341189674523,2.133333333396608,2.166468,2.198195331358323,2.267543886258363,0.185956,50,0.32649586352898047,0.237274,0.16488800659179267,0.17296250319633358,0.197149,29
Qwen/Qwen2.5-7B-Instruct,14,77,precision_reached,True,77,0,0.47922515440763613,2.6666666666669614,2.496015,2.491693468947739,2.5639165738914174,0.19335,67,0.26913600322726344,0.118571,0.25525713553411544,0.25920610073923034,0.193276,29
Qwen/Qwen2.5-Coder-7B,15,62,precision_reached,True,62,0,0.32567908148977875,2.1333330966362034,2.27791,1.827573168277568,2.064807468420573,0.195683,47,-0.0012135858725835,0.125149,0.182548590234083,0.23938150392490043,0.179823,28
Qwen/Qwen2.5-Math-7B,41,207,precision_reached,True,207,0,0.3443080357142857,2.399997985047545,2.347966,2.231164474451452,2.3031682235893567,0.129772,161,-1.7477606086199375,-1.054298,-1.4478788770935025,-1.536614681255273,0.199997,89
Qwen/Qwen3-0.6B,50,278,max_scenarios_reached,False,278,0,0.19950262503453992,1.0666851157389936,1.681579,1.6130404119588293,1.6509278012142306,0.138387,207,-1.8906368779003944,-1.901963,-2.021441764897343,-2.0800676018777207,0.205252,136
Qwen/Qwen3-1.7B,50,289,max_scenarios_reached,False,289,0,0.4359612724757953,2.6670964015420706,2.959271,2.9235175695753353,2.9954745752470164,0.120915,229,-2.597354718870633,-2.566313,-2.725687445497307,-3.0286049270468856,0.267254,131
