model,cat_scenarios,random_scenarios,cat_minus_random_scenarios,cat_precision_reached,random_precision_reached,cat_minus_random_online_instruction_following,cat_minus_random_eap_instruction_following,cat_minus_random_mwle_instruction_following
01-ai/Yi-1.5-6B,5,23,-18,True,True,-1.432134,-1.9115634602850367,-2.5075127902392698
01-ai/Yi-1.5-6B-Chat,8,11,-3,True,True,1.544117,1.564478360967506,1.653690338120481
01-ai/Yi-6B,4,14,-10,True,True,0.5241340000000001,-0.18545646519356906,0.12338815995624763
01-ai/Yi-6B-200K,7,25,-18,True,True,0.9744419999999998,0.009138880001680505,0.3650293759360639
01-ai/Yi-6B-Chat,5,30,-25,True,True,-0.2294909999999999,0.049031227775252706,0.30368984795451914
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,5,30,-25,True,True,0.755522,0.0003436096011100176,3.1462729388174964
BEE-spoke-data/smol_llama-220M-openhermes,7,28,-21,True,True,0.1642729999999999,-0.13595748356535786,-0.8062653808350984
BSC-LT/salamandra-2b,7,36,-29,True,True,0.713258,0.2224361726899775,-0.2272972378731235
BSC-LT/salamandra-2b-instruct,4,11,-7,True,True,-0.162209,-0.00012506663273865922,-0.1811388094677879
BSC-LT/salamandra-7b,4,17,-13,True,True,0.06637999999999988,-0.003621430464466391,-0.08959455978849773
BSC-LT/salamandra-7b-instruct,5,26,-21,True,True,0.15052500000000002,1.0150968232754907,0.29593812570620626
HuggingFaceTB/SmolLM2-360M,5,23,-18,True,True,0.42408599999999996,0.0010489505897419704,-0.5600108013508622
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,52,-48,True,True,-1.9016869999999997,-0.3504552726141834,-0.6548811037178743
OpenBMB/MiniCPM4-0.5B,5,17,-12,True,True,-0.23952800000000002,-0.0007578027411740304,-0.3366841681767213
Qwen/Qwen1.5-1.8B,8,20,-12,True,True,-0.43566700000000025,-1.4922649065146627,-1.3672423943511012
Qwen/Qwen1.5-1.8B-Chat,6,18,-12,True,True,0.651366,0.30134266490731987,0.8985282776696691
Qwen/Qwen2-0.5B,6,14,-8,True,True,0.005861000000000116,-5.785964177595915e-05,-0.01563993090579241
Qwen/Qwen2.5-0.5B-Instruct,4,18,-14,True,True,0.6719520000000001,0.021679213881956583,0.6790876459941315
ai-forever/mGPT,4,37,-33,True,True,1.0520209999999999,0.0004871455555019999,1.4079410315166703
allenai/OLMo-1B-hf,6,66,-60,True,True,1.571533,0.006373368265540247,1.7624541897959012
allenai/OLMo-2-0425-1B,7,26,-19,True,True,0.3273809999999999,-0.026212962420005148,-0.36919967948401355
allenai/OLMo-2-0425-1B-DPO,3,22,-19,True,True,-0.5753290000000001,-0.005342922880974488,-0.5379209782829643
allenai/OLMo-2-0425-1B-Instruct,5,19,-14,True,True,-0.1649020000000001,0.44381378980236885,0.6157391488867818
arcee-ai/raspberry-3B,5,27,-22,True,True,-0.44793700000000003,-6.665276694794997e-06,-0.43262568020737513
google/gemma-2-2b,6,23,-17,True,True,0.627168,5.091460665562764e-05,0.6275156875775914
