scope,repeat,outer_fold,policy_id,policy_role,n_models,n_inner_folds,replay_success_rate,mwle_convergence_rate,nominal_precision_rate,nominal_precision_lower_95_ci,recovery_n,recovery_correlation,recovery_correlation_lower_95_ci,recovery_slope,recovery_mae,recovery_bias,disjoint_n_cells,disjoint_log_loss,disjoint_brier,disjoint_accuracy,disjoint_pass_rate_mae,disjoint_pass_rate_bias,mean_scenario_count,p90_scenario_count,mean_random_scenario_count,scenario_reduction_vs_random,scenario_reduction_lower_95_ci,scenario_reduction_upper_95_ci,paired_ci_favors_cat,fit_cache_keys,bootstrap_unit,n_families,all_gates_pass,gate_status,failed_gates,gate_checks,applied_gate_names,applied_gate_checks,diagnostic_only_gate_names,diagnostic_gate_checks,diagnostic_failures,inference_unit,n_inference_rows,n_unique_tutor_models,expected_unique_tutor_models,inference_scope_complete,model_repeat_rows_treated_as_independent,gate_scope_contract_sha256,sensitivity_can_promote
outer_panel,0,0.0,primary_floor15_se0p20_trace,primary,11,1,1.0,1.0,1.0,0.7411670330319683,11,0.9736081877504722,0.9662312428369857,1.0873565560805103,0.42478908830301626,0.00712427008681033,4499,0.48755647289541004,0.15319205208074937,0.784174260946877,0.05744065673924585,-0.03364742779837698,23.363636363636363,30.0,41.36363636363637,0.4351648351648352,0.3921852387843705,0.48529411764705876,True,"[""791b0aea9db4a4bea10b82007c6d15a2dc47a593319a96fd98d91cb5f09cc1f1""]",tutor_family,4,False,fail,"[""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random""]","{""absolute_disjoint_pass_rate_bias"": false, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_rate"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": false, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_rate"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""paired_ci_favors_cat""]","{""nominal_precision_lower_95_ci"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true}","[""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,11,11,11,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,0.0,sensitivity_floor12_se0p20_trace,sensitivity,11,1,1.0,1.0,1.0,0.7411670330319683,11,0.9736081877504722,0.9662312428369857,1.0873565560805103,0.42478908830301626,0.00712427008681033,4499,0.48755647289541004,0.15319205208074937,0.784174260946877,0.05744065673924585,-0.03364742779837698,23.363636363636363,30.0,41.36363636363637,0.4351648351648352,0.3921852387843705,0.48529411764705876,True,"[""791b0aea9db4a4bea10b82007c6d15a2dc47a593319a96fd98d91cb5f09cc1f1""]",tutor_family,4,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": false, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": true, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,11,11,11,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,0.0,sensitivity_floor15_se0p20_dopt,sensitivity,11,1,1.0,1.0,1.0,0.7411670330319683,11,0.9688074891410461,0.9597772571985057,1.1386921011000233,0.4341790704695173,0.07490292886855893,4499,0.4949080016036346,0.15504551001651765,0.7843965325627917,0.06830714597887916,-0.02596356908630002,26.363636363636363,32.0,41.36363636363637,0.3626373626373627,0.2952243125904487,0.44256756756756754,True,"[""791b0aea9db4a4bea10b82007c6d15a2dc47a593319a96fd98d91cb5f09cc1f1""]",tutor_family,4,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": true, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""recovery_slope"", ""scenario_reduction_vs_random"", ""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,11,11,11,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,1.0,primary_floor15_se0p20_trace,primary,10,1,1.0,1.0,0.9,0.5958499732047616,10,0.9863034517702937,0.9606897519655166,1.0987363848768763,0.4666858981271404,0.13737847548156293,4119,0.36965959764038075,0.11784942958976194,0.8346686088856519,0.07040004835854638,0.060255824986479155,27.7,41.9,46.3,0.40172786177105835,0.30000000000000004,0.5025125628140703,True,"[""c7a6844437b828ff737a0802db95e251f7c65784461e0ee733f989e16ca932d6""]",tutor_family,5,False,fail,"[""nominal_precision_rate"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random""]","{""absolute_disjoint_pass_rate_bias"": false, ""disjoint_pass_rate_mae"": false, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_rate"": false, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": false, ""disjoint_pass_rate_mae"": false, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_rate"": false, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""paired_ci_favors_cat""]","{""nominal_precision_lower_95_ci"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true}","[""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,10,10,10,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,1.0,sensitivity_floor12_se0p20_trace,sensitivity,10,1,1.0,1.0,0.9,0.5958499732047616,10,0.9863034517702937,0.9606897519655166,1.0987363848768763,0.4666858981271404,0.13737847548156293,4119,0.36965959764038075,0.11784942958976194,0.8346686088856519,0.07040004835854638,0.060255824986479155,27.7,41.9,46.3,0.40172786177105835,0.30077120822622105,0.5026086470488028,True,"[""c7a6844437b828ff737a0802db95e251f7c65784461e0ee733f989e16ca932d6""]",tutor_family,5,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": false, ""disjoint_pass_rate_mae"": false, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,10,10,10,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,1.0,sensitivity_floor15_se0p20_dopt,sensitivity,10,1,1.0,1.0,0.9,0.5958499732047616,10,0.9896333750402871,0.9720918264188046,1.0928727995667529,0.42602314486854553,0.1384236591540227,4119,0.3636955464942923,0.11605142605152931,0.8351541636319495,0.06554724121404969,0.05856020134357478,28.3,34.699999999999996,46.3,0.3887688984881209,0.33712121212121215,0.4639830508474576,True,"[""c7a6844437b828ff737a0802db95e251f7c65784461e0ee733f989e16ca932d6""]",tutor_family,5,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": false, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,10,10,10,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,2.0,primary_floor15_se0p20_trace,primary,10,1,1.0,1.0,0.9,0.5958499732047616,10,0.9926562214167499,0.9557022382267278,1.0976872679063503,0.4397219050777104,-0.2343983331050315,4109,0.3385633810861428,0.10529266411644224,0.8486249695789729,0.04721817315317868,-0.013212852284624935,30.7,42.8,46.2,0.3354978354978355,0.10666666666666669,0.4560143626570916,True,"[""02540cdfaf15e3bfe0673e0c481641b25c9914130845101eb4ecfe6f01c68859""]",tutor_family,4,False,fail,"[""nominal_precision_rate"", ""scenario_reduction_vs_random""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_rate"": false, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_rate"": false, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""paired_ci_favors_cat""]","{""nominal_precision_lower_95_ci"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true}","[""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,10,10,10,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,2.0,sensitivity_floor12_se0p20_trace,sensitivity,10,1,1.0,1.0,0.9,0.5958499732047616,10,0.9926562214167499,0.9557022382267278,1.0976872679063503,0.4397219050777104,-0.2343983331050315,4109,0.3385633810861428,0.10529266411644224,0.8486249695789729,0.04721817315317868,-0.013212852284624935,30.7,42.8,46.2,0.3354978354978355,0.10666666666666669,0.4560143626570916,True,"[""02540cdfaf15e3bfe0673e0c481641b25c9914130845101eb4ecfe6f01c68859""]",tutor_family,4,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""scenario_reduction_vs_random"", ""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,10,10,10,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,2.0,sensitivity_floor15_se0p20_dopt,sensitivity,10,1,1.0,1.0,0.8,0.4901624715366418,10,0.9902263861436148,0.9504692100741453,1.1043298381787507,0.4926476793987263,-0.24745551206501956,4109,0.34407899028979394,0.10677563145756234,0.8481382331467511,0.055598615428234986,-0.012410996938320993,32.3,50.0,46.2,0.30086580086580095,0.05333333333333323,0.4506283662477558,True,"[""02540cdfaf15e3bfe0673e0c481641b25c9914130845101eb4ecfe6f01c68859""]",tutor_family,4,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""recovery_slope"", ""scenario_reduction_vs_random"", ""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,10,10,10,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
outer_panel,0,3.0,primary_floor15_se0p20_trace,primary,10,1,1.0,1.0,1.0,0.7224672001371106,10,0.9670122216700525,0.9406983995638304,1.1820077805768707,0.43614728100268,0.040856165058558346,4116,0.3866434692887464,0.12183873800636573,0.8250728862973761,0.045053816787456936,0.021573038515314273,22.4,31.299999999999997,41.1,0.45498783454987834,0.40986717267552186,0.5117647058823529,True,"[""804642e36d2f7825432b7d36d78a828d89a7b119a295e832726e37b47abd7e55""]",tutor_family,4,False,fail,"[""recovery_slope"", ""scenario_reduction_vs_random""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_rate"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_rate"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""paired_ci_favors_cat""]","{""nominal_precision_lower_95_ci"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true}","[""nominal_precision_lower_95_ci""]",unique_outer_test_tutor_within_panel; confidence intervals diagnostic only,10,10,10,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
