scope,repeat,outer_fold,policy_id,policy_role,n_models,n_inner_folds,replay_success_rate,mwle_convergence_rate,nominal_precision_rate,nominal_precision_lower_95_ci,recovery_n,recovery_correlation,recovery_correlation_lower_95_ci,recovery_slope,recovery_mae,recovery_bias,disjoint_n_cells,disjoint_log_loss,disjoint_brier,disjoint_accuracy,disjoint_pass_rate_mae,disjoint_pass_rate_bias,mean_scenario_count,p90_scenario_count,mean_random_scenario_count,scenario_reduction_vs_random,scenario_reduction_lower_95_ci,scenario_reduction_upper_95_ci,paired_ci_favors_cat,fit_cache_keys,bootstrap_unit,n_families,all_gates_pass,gate_status,failed_gates,gate_checks,applied_gate_names,applied_gate_checks,diagnostic_only_gate_names,diagnostic_gate_checks,diagnostic_failures,inference_unit,n_inference_rows,n_unique_tutor_models,expected_unique_tutor_models,inference_scope_complete,model_repeat_rows_treated_as_independent,gate_scope_contract_sha256,sensitivity_can_promote
repetition,0,,primary_floor15_se0p20_trace,primary,52,1,1.0,1.0,0.9423076923076923,0.8435748863103923,52,0.9853213597050601,0.9725066140677757,1.102316839504784,0.4021291796905931,0.007748785953722444,21349,0.39669405278616293,0.12540337322805212,0.8212094243290083,0.04996124868717262,0.00937069779377789,25.903846153846153,41.9,43.53846153846154,0.40503533568904593,0.35604320950970164,0.4469936230354536,True,"[""02540cdfaf15e3bfe0673e0c481641b25c9914130845101eb4ecfe6f01c68859"", ""1834683c2d86e7b3554506b89bc6de7e4cb0bbdef2f8edd9ea3e1963886772e0"", ""791b0aea9db4a4bea10b82007c6d15a2dc47a593319a96fd98d91cb5f09cc1f1"", ""804642e36d2f7825432b7d36d78a828d89a7b119a295e832726e37b47abd7e55"", ""c7a6844437b828ff737a0802db95e251f7c65784461e0ee733f989e16ca932d6""]",tutor_family,22,False,fail,"[""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_slope"", ""scenario_reduction_vs_random""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}",[],{},[],52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,0,,sensitivity_floor12_se0p20_trace,sensitivity,52,1,1.0,1.0,0.9423076923076923,0.8435748863103923,52,0.9853213597050601,0.9718078187029496,1.102316839504784,0.4021291796905931,0.007748785953722444,21349,0.39669405278616293,0.12540337322805212,0.8212094243290083,0.04996124868717262,0.00937069779377789,25.903846153846153,41.9,43.53846153846154,0.40503533568904593,0.35296933206272196,0.44569672373255825,True,"[""02540cdfaf15e3bfe0673e0c481641b25c9914130845101eb4ecfe6f01c68859"", ""1834683c2d86e7b3554506b89bc6de7e4cb0bbdef2f8edd9ea3e1963886772e0"", ""791b0aea9db4a4bea10b82007c6d15a2dc47a593319a96fd98d91cb5f09cc1f1"", ""804642e36d2f7825432b7d36d78a828d89a7b119a295e832726e37b47abd7e55"", ""c7a6844437b828ff737a0802db95e251f7c65784461e0ee733f989e16ca932d6""]",tutor_family,22,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_slope"", ""scenario_reduction_vs_random""]",52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,0,,sensitivity_floor15_se0p20_dopt,sensitivity,52,1,1.0,1.0,0.9230769230769231,0.8182643761570466,52,0.9826747641149408,0.9679180926278297,1.1104199750271058,0.43355530078745247,0.024097131699556625,21349,0.3991817824666155,0.12599098616959822,0.8209283807204084,0.05552020529819561,0.011105161298520754,28.057692307692307,43.8,43.53846153846154,0.35556537102473507,0.30485159134088136,0.40127199523403717,True,"[""02540cdfaf15e3bfe0673e0c481641b25c9914130845101eb4ecfe6f01c68859"", ""1834683c2d86e7b3554506b89bc6de7e4cb0bbdef2f8edd9ea3e1963886772e0"", ""791b0aea9db4a4bea10b82007c6d15a2dc47a593319a96fd98d91cb5f09cc1f1"", ""804642e36d2f7825432b7d36d78a828d89a7b119a295e832726e37b47abd7e55"", ""c7a6844437b828ff737a0802db95e251f7c65784461e0ee733f989e16ca932d6""]",tutor_family,22,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_slope"", ""scenario_reduction_vs_random""]",52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,1,,primary_floor15_se0p20_trace,primary,52,1,1.0,1.0,0.9423076923076923,0.8435748863103923,52,0.9852488976213489,0.9749805529195648,1.088997478427971,0.405675066773982,-0.0016940805825984818,21351,0.3890373036501437,0.1230640624314814,0.8245515432532434,0.04927537274171545,0.00850453341176165,26.115384615384617,37.0,43.36538461538461,0.3977827050997782,0.35296339767987783,0.43747972097089655,True,"[""3320b384dcaf25ceaf4511b8f9691b89ec01273d0a9797e481e72de7d825ccbd"", ""620df20816a9007e3d3b58c03a6a7400dbdb0e12cd51a16a010a99d298e6e67a"", ""9209752fddbed015b211fc1cba2e86ad796ff3b37c3c6cb0dd308f2e6f9f8bfa"", ""c5a81f423c37fbc9f5ab1e81095492647afed4f6645cbf90c89cacd10a0a97f4"", ""da7452d82d4234787d34e32f11c9ab0fc3c4d9a50b56794c8764021a8edf3408""]",tutor_family,22,False,fail,"[""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""scenario_reduction_vs_random""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}",[],{},[],52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,1,,sensitivity_floor12_se0p20_trace,sensitivity,52,1,1.0,1.0,0.9423076923076923,0.8435748863103923,52,0.9852488976213489,0.9747203316830386,1.088997478427971,0.405675066773982,-0.0016940805825984818,21351,0.3890373036501437,0.1230640624314814,0.8245515432532434,0.04927537274171545,0.00850453341176165,26.115384615384617,37.0,43.36538461538461,0.3977827050997782,0.350754010487376,0.4372651390908809,True,"[""3320b384dcaf25ceaf4511b8f9691b89ec01273d0a9797e481e72de7d825ccbd"", ""620df20816a9007e3d3b58c03a6a7400dbdb0e12cd51a16a010a99d298e6e67a"", ""9209752fddbed015b211fc1cba2e86ad796ff3b37c3c6cb0dd308f2e6f9f8bfa"", ""c5a81f423c37fbc9f5ab1e81095492647afed4f6645cbf90c89cacd10a0a97f4"", ""da7452d82d4234787d34e32f11c9ab0fc3c4d9a50b56794c8764021a8edf3408""]",tutor_family,22,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""scenario_reduction_vs_random""]",52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,1,,sensitivity_floor15_se0p20_dopt,sensitivity,52,1,1.0,1.0,0.9423076923076923,0.8435748863103923,52,0.9849656212179627,0.9719471475110352,1.0866825687849009,0.38930728545914545,0.013084243947850297,21351,0.38907550968101523,0.12324701031445569,0.8240831811156386,0.049085893960718656,0.010650709682170734,27.884615384615383,38.9,43.36538461538461,0.3569844789356984,0.3065511135874117,0.3972089476258194,True,"[""3320b384dcaf25ceaf4511b8f9691b89ec01273d0a9797e481e72de7d825ccbd"", ""620df20816a9007e3d3b58c03a6a7400dbdb0e12cd51a16a010a99d298e6e67a"", ""9209752fddbed015b211fc1cba2e86ad796ff3b37c3c6cb0dd308f2e6f9f8bfa"", ""c5a81f423c37fbc9f5ab1e81095492647afed4f6645cbf90c89cacd10a0a97f4"", ""da7452d82d4234787d34e32f11c9ab0fc3c4d9a50b56794c8764021a8edf3408""]",tutor_family,22,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""scenario_reduction_vs_random""]",52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,2,,primary_floor15_se0p20_trace,primary,52,1,1.0,1.0,0.9615384615384616,0.8701881084254424,52,0.9822166528842335,0.9678277795516083,1.1023220318316993,0.44890531528272865,0.06556387129212894,21341,0.3996283991772139,0.1260437675241515,0.8208612529872077,0.059282005536811413,0.01744281917195423,25.75,39.9,43.28846153846154,0.4051532652154598,0.3501550079491256,0.4528777989326693,True,"[""8802aee095c6b5bceb4dacfe2eddfeb20992e0db996071a3a37e7c8318ef1443"", ""967612357e73a5578e290a74a2170d503cc12bc6a579de37d9b9c4d814aef56a"", ""cf1223746f82e391fdb42bbf9b458b6a6ddf1d8e7db1b639c10be8fe98e4cbc0"", ""d204db28ad2caebe3566c3c66651a4cc5d5f3fce979e7053b633d95b67465d51"", ""e5b9b0e2fbaee19de1e04adffb488a8d5932f6aa4733eafe5fd58d5edce41296""]",tutor_family,22,False,fail,"[""nominal_precision_lower_95_ci"", ""recovery_slope"", ""scenario_reduction_vs_random""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": true, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": true, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}",[],{},[],52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,2,,sensitivity_floor12_se0p20_trace,sensitivity,52,1,1.0,1.0,0.9615384615384616,0.8701881084254424,52,0.9822166528842335,0.9682395861537181,1.1023220318316993,0.44890531528272865,0.06556387129212894,21341,0.3996283991772139,0.1260437675241515,0.8208612529872077,0.059282005536811413,0.01744281917195423,25.75,39.9,43.28846153846154,0.4051532652154598,0.3537667005023777,0.45321913509812867,True,"[""8802aee095c6b5bceb4dacfe2eddfeb20992e0db996071a3a37e7c8318ef1443"", ""967612357e73a5578e290a74a2170d503cc12bc6a579de37d9b9c4d814aef56a"", ""cf1223746f82e391fdb42bbf9b458b6a6ddf1d8e7db1b639c10be8fe98e4cbc0"", ""d204db28ad2caebe3566c3c66651a4cc5d5f3fce979e7053b633d95b67465d51"", ""e5b9b0e2fbaee19de1e04adffb488a8d5932f6aa4733eafe5fd58d5edce41296""]",tutor_family,22,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": true, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": false, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_lower_95_ci"", ""recovery_slope"", ""scenario_reduction_vs_random""]",52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,2,,sensitivity_floor15_se0p20_dopt,sensitivity,52,1,1.0,1.0,0.9423076923076923,0.8435748863103923,52,0.9792242451171863,0.9629332047782759,1.0967538162141226,0.4755899192549565,0.01339761491245338,21341,0.40114712135630287,0.12659375910844986,0.8204395295440701,0.06235081297433919,0.009780013529075364,27.576923076923077,40.0,43.28846153846154,0.3629498000888495,0.3167064532725645,0.40608822561176333,True,"[""8802aee095c6b5bceb4dacfe2eddfeb20992e0db996071a3a37e7c8318ef1443"", ""967612357e73a5578e290a74a2170d503cc12bc6a579de37d9b9c4d814aef56a"", ""cf1223746f82e391fdb42bbf9b458b6a6ddf1d8e7db1b639c10be8fe98e4cbc0"", ""d204db28ad2caebe3566c3c66651a4cc5d5f3fce979e7053b633d95b67465d51"", ""e5b9b0e2fbaee19de1e04adffb488a8d5932f6aa4733eafe5fd58d5edce41296""]",tutor_family,22,,diagnostic_only_non_promotable,[],{},[],{},"[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""scenario_reduction_vs_random""]",52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
repetition,3,,primary_floor15_se0p20_trace,primary,52,1,1.0,1.0,0.9423076923076923,0.8435748863103923,52,0.9847744684361869,0.9746178230051119,1.0870254582582652,0.38554157034475234,-0.04136088517769516,21352,0.3935027542435874,0.12389823633330085,0.8234357437242413,0.051762113819557816,0.002461988110743293,25.75,37.9,43.23076923076923,0.40435943060498225,0.35261451479379,0.4461142133446733,True,"[""1010fbc69a3c6356016ef567c548a3aa2b89b1655d2bf25861eead8f3bc730c0"", ""68ecfc06f85de54f0bcb03c7d699f0c6ba1fab68e658d421c5634eca79104558"", ""83fca64d948b2ed81df26de8116ef2f691744665a319d0af991b4479201421f5"", ""c8466093b1e8d4263e07b118eb194923fd4ce6b021f1935f611364a03826e004"", ""e899f858184e811088a8ffd0530c3f5289fd53cbdd26ba8820703e38e86a35c7""]",tutor_family,22,False,fail,"[""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""scenario_reduction_vs_random""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}","[""replay_success_rate"", ""mwle_convergence_rate"", ""nominal_precision_rate"", ""nominal_precision_lower_95_ci"", ""recovery_correlation_lower_95_ci"", ""recovery_slope"", ""disjoint_pass_rate_mae"", ""absolute_disjoint_pass_rate_bias"", ""scenario_reduction_vs_random"", ""paired_ci_favors_cat"", ""inference_scope_complete""]","{""absolute_disjoint_pass_rate_bias"": true, ""disjoint_pass_rate_mae"": true, ""inference_scope_complete"": true, ""mwle_convergence_rate"": true, ""nominal_precision_lower_95_ci"": false, ""nominal_precision_rate"": false, ""paired_ci_favors_cat"": true, ""recovery_correlation_lower_95_ci"": true, ""recovery_slope"": true, ""replay_success_rate"": true, ""scenario_reduction_vs_random"": false}",[],{},[],52_unique_out_of_fold_tutors_once_per_repetition,52,52,52,True,False,14e6ad95d3e6031d1e35c654920bca6b7edcf12e680967e268a9541d596d3e68,False
