model,model_family,arm_id,repeats,theta_reference,theta_mwle,mwle_convergence_rate,honest_target_rate,nominal_precision_rate,scenarios_mean,scenarios_median,final_eap_se_mean,eval_pass_rate_mae
01-ai/Yi-1.5-6B,yi,eap_1601,5,-0.9186728971724485,-1.810797380270604,1.0,1.0,1.0,30.4,31.0,0.19758148052762625,0.25523577020290894
01-ai/Yi-1.5-6B-Chat,yi,eap_1601,5,2.5706364539654123,3.462183840300001,1.0,1.0,1.0,34.4,35.0,0.1974096589337989,0.05250492689160426
01-ai/Yi-6B,yi,eap_1601,5,-1.6684224111879538,-1.5876698938043432,1.0,1.0,1.0,27.6,28.0,0.19859528972200483,0.03301565779193925
01-ai/Yi-6B-200K,yi,eap_1601,5,-2.775939384083245,-3.209289863791482,1.0,0.4,0.4,49.4,50.0,0.20151799728704808,0.03712876949367617
01-ai/Yi-6B-Chat,yi,eap_1601,5,2.023833514979657,1.682033765251577,1.0,1.0,1.0,21.6,22.0,0.19534917876280883,0.03592233215632727
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,eap_1601,5,-5.242647005800191,-5.862962360091547,1.0,0.0,0.0,50.0,50.0,0.3468770509334723,0.0077570495428601685
BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,eap_1601,5,-3.2102725838300747,-4.059142294093077,1.0,0.0,0.0,50.0,50.0,0.24175047687702259,0.005520406119306494
BSC-LT/salamandra-2b,salamandra,eap_1601,5,-2.2594449915713284,-1.671607156499824,1.0,1.0,1.0,29.2,28.0,0.1947376872709571,0.06907616736097436
BSC-LT/salamandra-2b-instruct,salamandra,eap_1601,5,0.5661025688478052,0.7277925405182908,1.0,1.0,1.0,17.4,18.0,0.19461766655405358,0.07065685855350302
BSC-LT/salamandra-7b,salamandra,eap_1601,5,-0.898348243175918,-0.9831696817713613,1.0,1.0,1.0,22.8,23.0,0.19671397297949816,0.020742403715603243
BSC-LT/salamandra-7b-instruct,salamandra,eap_1601,5,1.1980525377460365,1.3685636064868933,1.0,1.0,1.0,20.2,20.0,0.1965361083854355,0.01852075813231231
HuggingFaceTB/SmolLM2-360M,smollm,eap_1601,5,-3.736248665178123,-3.8248727405526424,1.0,0.0,0.0,50.0,50.0,0.23051300928517465,0.02954412679104495
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,eap_1601,5,3.749585016057604,3.685071304644571,1.0,1.0,1.0,38.2,38.0,0.19832979191821565,0.03708108213681314
OpenBMB/MiniCPM4-0.5B,minicpm,eap_1601,5,0.8769739693043119,1.2232627410997279,1.0,1.0,1.0,21.8,22.0,0.19877508793274873,0.05308173688799715
Qwen/Qwen1.5-1.8B,qwen,eap_1601,5,-1.9204076936799919,-3.2047953649579894,1.0,0.2,0.2,49.0,50.0,0.20523421099153327,0.04305067400282953
Qwen/Qwen1.5-1.8B-Chat,qwen,eap_1601,5,1.2855197261707207,1.8864385651681244,1.0,1.0,1.0,21.8,22.0,0.19761152700332307,0.07613586614696868
Qwen/Qwen2-0.5B,qwen,eap_1601,5,-0.8999043095748192,-1.458708970198693,1.0,1.0,1.0,27.0,26.0,0.19645447664495325,0.06488991362940515
Qwen/Qwen2.5-0.5B-Instruct,qwen,eap_1601,5,0.9925394108264134,1.3638839118041381,1.0,1.0,1.0,18.2,18.0,0.19731033385888436,0.0934221340753569
ai-forever/mGPT,mgpt,eap_1601,5,-5.266543952489931,-5.955164853768942,1.0,0.0,0.0,50.0,50.0,0.35342561629917374,0.0033738347456569507
allenai/OLMo-1B-hf,olmo,eap_1601,5,-4.815510767854896,-5.410721182027506,1.0,0.0,0.0,50.0,50.0,0.32157662704224943,0.00595647560218915
allenai/OLMo-2-0425-1B,olmo,eap_1601,5,-2.2988741072220114,-2.775109520752035,1.0,1.0,1.0,44.0,43.0,0.1958630017563907,0.022206407622118247
allenai/OLMo-2-0425-1B-DPO,olmo,eap_1601,5,1.9075893642829862,2.143529876242181,1.0,1.0,1.0,26.2,24.0,0.19554725716267737,0.07881386148171263
allenai/OLMo-2-0425-1B-Instruct,olmo,eap_1601,5,1.9017835899594053,1.9625136245738666,1.0,1.0,1.0,24.6,25.0,0.19522666302778252,0.03938748752084276
arcee-ai/raspberry-3B,raspberry,eap_1601,5,2.3129363345425626,2.6632022353051767,1.0,1.0,1.0,28.0,29.0,0.1995618627153973,0.015163604414233122
google/gemma-2-2b,gemma,eap_1601,5,-1.5191015654146511,-1.5666383889311504,1.0,1.0,1.0,28.8,28.0,0.19807177367818576,0.02860880395086912
google/gemma-2b,gemma,eap_1601,5,-2.396981269917352,-2.0197389086419095,1.0,1.0,1.0,32.0,31.0,0.19706745803768175,0.009470139833725893
h2oai/h2o-danube-1.8b-chat,danube,eap_1601,5,1.1968695542918342,1.522153779533595,1.0,1.0,1.0,19.4,19.0,0.19672517071283863,0.11094416219511771
h2oai/h2o-danube2-1.8b-base,danube,eap_1601,5,-0.6418174405629621,-0.8137638054511491,1.0,1.0,1.0,21.4,21.0,0.19727022705576383,0.02227823352401957
h2oai/h2o-danube2-1.8b-chat,danube,eap_1601,5,1.4900303813316076,1.850524343798631,1.0,1.0,1.0,20.8,21.0,0.19691674548000257,0.03636575105919777
ibm-granite/granite-3.0-2b-base,granite,eap_1601,5,0.8088889687870783,1.089759486075583,1.0,1.0,1.0,19.8,19.0,0.1966836436566772,0.06888160029555578
