candidate_id,minimum_scenarios,conditional_se_target,selector,outer_folds_shortlisted,shortlist_fraction_all_folds
floor_00__se_0p20__selector_trace,0,0.2,trace,0,0.0
floor_00__se_0p20__selector_dopt,0,0.2,dopt,0,0.0
floor_00__se_0p25__selector_trace,0,0.25,trace,0,0.0
floor_00__se_0p25__selector_dopt,0,0.25,dopt,0,0.0
floor_00__se_0p30__selector_trace,0,0.3,trace,0,0.0
floor_00__se_0p30__selector_dopt,0,0.3,dopt,0,0.0
floor_00__se_0p35__selector_trace,0,0.35,trace,0,0.0
floor_00__se_0p35__selector_dopt,0,0.35,dopt,0,0.0
floor_05__se_0p20__selector_trace,5,0.2,trace,0,0.0
floor_05__se_0p20__selector_dopt,5,0.2,dopt,0,0.0
floor_05__se_0p25__selector_trace,5,0.25,trace,0,0.0
floor_05__se_0p25__selector_dopt,5,0.25,dopt,0,0.0
floor_05__se_0p30__selector_trace,5,0.3,trace,0,0.0
floor_05__se_0p30__selector_dopt,5,0.3,dopt,0,0.0
floor_05__se_0p35__selector_trace,5,0.35,trace,0,0.0
floor_05__se_0p35__selector_dopt,5,0.35,dopt,0,0.0
floor_08__se_0p20__selector_trace,8,0.2,trace,0,0.0
floor_08__se_0p20__selector_dopt,8,0.2,dopt,0,0.0
floor_08__se_0p25__selector_trace,8,0.25,trace,0,0.0
floor_08__se_0p25__selector_dopt,8,0.25,dopt,1,0.2
floor_08__se_0p30__selector_trace,8,0.3,trace,0,0.0
floor_08__se_0p30__selector_dopt,8,0.3,dopt,0,0.0
floor_08__se_0p35__selector_trace,8,0.35,trace,0,0.0
floor_08__se_0p35__selector_dopt,8,0.35,dopt,0,0.0
floor_12__se_0p20__selector_trace,12,0.2,trace,1,0.2
floor_12__se_0p20__selector_dopt,12,0.2,dopt,0,0.0
floor_12__se_0p25__selector_trace,12,0.25,trace,0,0.0
floor_12__se_0p25__selector_dopt,12,0.25,dopt,0,0.0
floor_12__se_0p30__selector_trace,12,0.3,trace,0,0.0
floor_12__se_0p30__selector_dopt,12,0.3,dopt,0,0.0
floor_12__se_0p35__selector_trace,12,0.35,trace,0,0.0
floor_12__se_0p35__selector_dopt,12,0.35,dopt,0,0.0
floor_15__se_0p20__selector_trace,15,0.2,trace,1,0.2
floor_15__se_0p20__selector_dopt,15,0.2,dopt,0,0.0
floor_15__se_0p25__selector_trace,15,0.25,trace,0,0.0
floor_15__se_0p25__selector_dopt,15,0.25,dopt,0,0.0
floor_15__se_0p30__selector_trace,15,0.3,trace,0,0.0
floor_15__se_0p30__selector_dopt,15,0.3,dopt,0,0.0
floor_15__se_0p35__selector_trace,15,0.35,trace,0,0.0
floor_15__se_0p35__selector_dopt,15,0.35,dopt,0,0.0
floor_20__se_0p20__selector_trace,20,0.2,trace,0,0.0
floor_20__se_0p20__selector_dopt,20,0.2,dopt,0,0.0
floor_20__se_0p25__selector_trace,20,0.25,trace,0,0.0
floor_20__se_0p25__selector_dopt,20,0.25,dopt,0,0.0
floor_20__se_0p30__selector_trace,20,0.3,trace,0,0.0
floor_20__se_0p30__selector_dopt,20,0.3,dopt,0,0.0
floor_20__se_0p35__selector_trace,20,0.35,trace,0,0.0
floor_20__se_0p35__selector_dopt,20,0.35,dopt,0,0.0
