model,family,fold,fit_grid,ridge,quadrature_method,quadrature_nodes_requested,quadrature_nodes_effective,linear_bound,fit_cache_sha256,n_items_before_policy,n_items_after_policy,n_nonpositive_items,theta_full,theta_reference,se_full,se_reference,theta_heldout,se_heldout,posterior_tail_mass_full,posterior_tail_mass_heldout,observed_pass_rate,predicted_pass_rate_reference,theta_online,theta_eap,theta_mwle,mwle_converged,predicted_pass_rate_online,predicted_pass_rate_eap,predicted_pass_rate_mwle,scenario_order,criterion_order,scenarios_administered,criteria_administered
01-ai/Yi-1.5-6B,yi,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,-0.7887487355360707,-0.7887487355360707,0.03663316508206081,0.03663316508206081,-0.9333441329652081,0.042624694319953804,0.0,0.0,0.29180642069956875,0.2762346546472815,-0.594641,-0.6875012001407853,-0.6171331166373737,True,0.31523652236620164,0.29625102336956577,0.3105879976856506,"[""ifb_0320"", ""ifb_0217"", ""ifb_0132"", ""ifb_0433""]","[""ifb_0320_c01"", ""ifb_0320_c02"", ""ifb_0320_c03"", ""ifb_0320_c04"", ""ifb_0320_c05"", ""ifb_0217_c01"", ""ifb_0217_c02"", ""ifb_0132_c01"", ""ifb_0132_c02"", ""ifb_0132_c03"", ""ifb_0433_c01"", ""ifb_0433_c02"", ""ifb_0433_c03"", ""ifb_0433_c04"", ""ifb_0433_c05""]",4,15
01-ai/Yi-1.5-6B-Chat,yi,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,1.7152586537487569,1.7152586537487569,0.04842767341657269,0.04842767341657269,1.6885444178598776,0.05400196034578698,0.0,0.0,0.7665388302972196,0.7494510801447936,1.280235,1.6104418975617856,1.5197351041143867,True,0.6914521276707201,0.7363522397990919,0.7245596672466121,"[""ifb_0320"", ""ifb_0282"", ""ifb_0373""]","[""ifb_0320_c01"", ""ifb_0320_c02"", ""ifb_0320_c03"", ""ifb_0320_c04"", ""ifb_0320_c05"", ""ifb_0282_c01"", ""ifb_0282_c02"", ""ifb_0282_c03"", ""ifb_0282_c04"", ""ifb_0282_c05"", ""ifb_0373_c01"", ""ifb_0373_c02"", ""ifb_0373_c03"", ""ifb_0373_c04"", ""ifb_0373_c05"", ""ifb_0373_c06"", ""ifb_0373_c07""]",3,17
01-ai/Yi-6B,yi,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,-1.3812225236206372,-1.3812225236206372,0.04532459470067128,0.04532459470067128,-1.4033293485279859,0.050879193719019326,0.0,0.0,0.17249640632486823,0.1773626726056115,-1.221347,-2.053955485071862,-2.1458729179964022,True,0.20081568267676025,0.10175994006625093,0.09414870388269665,"[""ifb_0035"", ""ifb_0132"", ""ifb_0233"", ""ifb_0360""]","[""ifb_0035_c01"", ""ifb_0035_c02"", ""ifb_0035_c03"", ""ifb_0035_c04"", ""ifb_0132_c01"", ""ifb_0132_c02"", ""ifb_0132_c03"", ""ifb_0233_c01"", ""ifb_0233_c02"", ""ifb_0360_c01"", ""ifb_0360_c02"", ""ifb_0360_c03"", ""ifb_0360_c04"", ""ifb_0360_c05"", ""ifb_0360_c06""]",4,15
01-ai/Yi-6B-200K,yi,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,-2.338909815604868,-2.338909815604868,0.06853037870068747,0.06853037870068747,-2.337484163505321,0.07544017969573409,0.0,5.652131314742477e-294,0.08049832295160518,0.08006358211155346,-0.372691,-0.7748790245507879,-0.6699526221873795,True,0.3624716008871845,0.27893054549305624,0.2997957874239659,"[""ifb_0410"", ""ifb_0320"", ""ifb_0052"", ""ifb_0387""]","[""ifb_0410_c01"", ""ifb_0410_c02"", ""ifb_0410_c03"", ""ifb_0410_c04"", ""ifb_0410_c05"", ""ifb_0320_c01"", ""ifb_0320_c02"", ""ifb_0320_c03"", ""ifb_0320_c04"", ""ifb_0320_c05"", ""ifb_0052_c01"", ""ifb_0052_c02"", ""ifb_0052_c03"", ""ifb_0387_c01"", ""ifb_0387_c02"", ""ifb_0387_c03"", ""ifb_0387_c04"", ""ifb_0387_c05""]",4,18
01-ai/Yi-6B-Chat,yi,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,1.1754237783327588,1.1754237783327588,0.043253656536730516,0.043253656536730516,1.2041685669140156,0.0489271294072441,0.0,0.0,0.6952563488260661,0.6759943193989422,1.168202,0.9396382614288668,1.0313027425713939,True,0.6749045756175858,0.6385855511390367,0.6535933793026648,"[""ifb_0313"", ""ifb_0265""]","[""ifb_0313_c01"", ""ifb_0313_c02"", ""ifb_0313_c03"", ""ifb_0313_c04"", ""ifb_0313_c05"", ""ifb_0313_c06"", ""ifb_0313_c07"", ""ifb_0313_c08"", ""ifb_0313_c09"", ""ifb_0313_c10"", ""ifb_0265_c01"", ""ifb_0265_c02"", ""ifb_0265_c03"", ""ifb_0265_c04"", ""ifb_0265_c05"", ""ifb_0265_c06"", ""ifb_0265_c07"", ""ifb_0265_c08""]",2,18
BSC-LT/salamandra-2b,salamandra,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,-1.805110518991432,-1.805110518991432,0.05074015735359544,0.05074015735359544,-1.8350648236223277,0.05887930576800261,0.0,0.0,0.10541447053186392,0.12559996125555306,-0.7891,-1.7692276603324217,-1.9500684913225201,True,0.2761665773475787,0.12944293151620415,0.11111857213268955,"[""ifb_0320"", ""ifb_0052"", ""ifb_0433"", ""ifb_0313""]","[""ifb_0320_c01"", ""ifb_0320_c02"", ""ifb_0320_c03"", ""ifb_0320_c04"", ""ifb_0320_c05"", ""ifb_0052_c01"", ""ifb_0052_c02"", ""ifb_0052_c03"", ""ifb_0433_c01"", ""ifb_0433_c02"", ""ifb_0433_c03"", ""ifb_0433_c04"", ""ifb_0433_c05"", ""ifb_0313_c01"", ""ifb_0313_c02"", ""ifb_0313_c03"", ""ifb_0313_c04"", ""ifb_0313_c05"", ""ifb_0313_c06"", ""ifb_0313_c07"", ""ifb_0313_c08"", ""ifb_0313_c09"", ""ifb_0313_c10""]",4,23
BSC-LT/salamandra-2b-instruct,salamandra,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,0.20890418410523262,0.20890418410523262,0.0306682654813626,0.0306682654813626,0.20432602097003738,0.03649786465845248,0.0,0.0,0.4839482510781025,0.4940455303509163,0.126205,0.12385629758470079,0.13401259600208934,True,0.4751046322034819,0.4745619204598004,0.47690739993410075,"[""ifb_0035"", ""ifb_0320"", ""ifb_0052"", ""ifb_0209""]","[""ifb_0035_c01"", ""ifb_0035_c02"", ""ifb_0035_c03"", ""ifb_0035_c04"", ""ifb_0320_c01"", ""ifb_0320_c02"", ""ifb_0320_c03"", ""ifb_0320_c04"", ""ifb_0320_c05"", ""ifb_0052_c01"", ""ifb_0052_c02"", ""ifb_0052_c03"", ""ifb_0209_c01"", ""ifb_0209_c02"", ""ifb_0209_c03""]",4,15
BSC-LT/salamandra-7b,salamandra,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,-0.8168073445595312,-0.8168073445595312,0.03692094284476146,0.03692094284476146,-0.8596986310462095,0.04163283124658067,0.0,0.0,0.2587446094873023,0.2708282150254992,-0.853948,-1.3912073247808459,-1.2843681496002217,True,0.2637724927813225,0.17597398184479818,0.19129385504047033,"[""ifb_0052"", ""ifb_0387"", ""ifb_0233"", ""ifb_0433""]","[""ifb_0052_c01"", ""ifb_0052_c02"", ""ifb_0052_c03"", ""ifb_0387_c01"", ""ifb_0387_c02"", ""ifb_0387_c03"", ""ifb_0387_c04"", ""ifb_0387_c05"", ""ifb_0233_c01"", ""ifb_0233_c02"", ""ifb_0433_c01"", ""ifb_0433_c02"", ""ifb_0433_c03"", ""ifb_0433_c04"", ""ifb_0433_c05""]",4,15
BSC-LT/salamandra-7b-instruct,salamandra,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,0.5814343132658015,0.5814343132658015,0.03412045013947123,0.03412045013947123,0.5473150700406486,0.03930895333138788,0.0,0.0,0.5979875419262098,0.5732111869255181,0.358096,0.366313414830173,0.33182236078235877,True,0.526967089867625,0.5287306867743045,0.521294965911748,"[""ifb_0052"", ""ifb_0378"", ""ifb_0035"", ""ifb_0320""]","[""ifb_0052_c01"", ""ifb_0052_c02"", ""ifb_0052_c03"", ""ifb_0378_c01"", ""ifb_0378_c02"", ""ifb_0378_c03"", ""ifb_0378_c04"", ""ifb_0378_c05"", ""ifb_0035_c01"", ""ifb_0035_c02"", ""ifb_0035_c03"", ""ifb_0035_c04"", ""ifb_0320_c01"", ""ifb_0320_c02"", ""ifb_0320_c03"", ""ifb_0320_c04"", ""ifb_0320_c05""]",4,17
arcee-ai/raspberry-3B,raspberry,0,61,0.01,normal_trapezoid,401,401,8.0,b2fb9aa8d29d5b9ee015ac30a713e7077bc73e78e1680500128f2ba133c8786a,2093,2087,6,1.5660889004919127,1.5660889004919127,0.046450334903526014,0.046450334903526014,1.5167759529342337,0.05122950095848767,0.0,0.0,0.7407762338284619,0.7306535675004718,0.605739,1.042217419937442,0.8816981548718628,True,0.5780174831733198,0.655339699617605,0.6287707542650746,"[""ifb_0410"", ""ifb_0320"", ""ifb_0052"", ""ifb_0209""]","[""ifb_0410_c01"", ""ifb_0410_c02"", ""ifb_0410_c03"", ""ifb_0410_c04"", ""ifb_0410_c05"", ""ifb_0320_c01"", ""ifb_0320_c02"", ""ifb_0320_c03"", ""ifb_0320_c04"", ""ifb_0320_c05"", ""ifb_0052_c01"", ""ifb_0052_c02"", ""ifb_0052_c03"", ""ifb_0209_c01"", ""ifb_0209_c02"", ""ifb_0209_c03""]",4,16
