fold,estimator,n,r,slope,mae,bias
pooled,online,52,0.8797726315171088,0.4260827843423198,0.8863903772770941,0.2998560115019083
pooled,eap,52,0.9105518486934978,0.5754711924737346,0.7337878118618136,0.32173318030280995
pooled,mwle,52,0.9018534481296193,0.6211168880084585,0.7212502598205923,0.33541796580458494
0,online,11,0.9535569973855079,0.5675900995745649,0.5392959357686652,0.010822601866985354
0,eap,11,0.940471921301365,0.7719658598736601,0.43439058165230127,-0.0570157879497077
0,mwle,11,0.9290826452103981,0.8070640521957125,0.4455389466922071,-0.12405396281460403
1,online,10,0.9684536018915832,0.3517039687185333,1.293531293078869,0.5186290029282483
1,eap,10,0.9708583739564334,0.48642621436014993,1.1035718871233728,0.5657220508626792
1,mwle,10,0.9660831613269166,0.5391623166857066,1.028009305803184,0.5593989826558123
2,online,10,0.9188720724610441,0.41127930595006895,1.2620877426345563,0.4963267283931092
2,eap,10,0.9477427945577991,0.6000166904552676,0.8885465211471721,0.5677449973198374
2,mwle,10,0.9420045311727898,0.6469883808283734,0.8825968758612092,0.6318027673238921
3,online,10,0.9590144421650142,0.6025512628968192,0.48123363878233444,0.1799897665573641
3,eap,10,0.9618127658525285,0.6518679075275575,0.4580230126145347,0.19320957654348453
3,mwle,10,0.9621718658789493,0.6598714083205016,0.45224761415392417,0.19723354592759348
4,online,11,0.7818459011634542,0.4042527974005134,0.8901379618178162,0.3203644544341071
4,eap,11,0.854891783477532,0.5297432524503219,0.8070232372534739,0.3718666178120808
4,mwle,11,0.8422809889112977,0.590206910673094,0.8159588308066673,0.4474522594296435
