fold,estimator,n,mae,bias,r
pooled,online,52,0.10115330725672361,0.01769647175960053,0.9440117786108544
pooled,eap,52,0.08107723571116579,0.02107312950846744,0.9517622238773901
pooled,mwle,52,0.07768663897060797,0.022183050647306277,0.9497055756666304
pooled,reference,52,0.016218594307056758,0.0006376917826062251,0.998459819626384
0,online,11,0.080761515295329,-0.013021462519029962,0.9650270725873489
0,eap,11,0.058734997545815834,-0.019189185779797117,0.9598197632123379
0,mwle,11,0.05921871329244501,-0.025539852882446958,0.9565444512159578
0,reference,11,0.01668657281534881,-0.008993275003487984,0.9989268500474097
1,online,10,0.1475104033120561,0.051250196003281435,0.9583508526806929
1,eap,10,0.1244987614811314,0.06072050349652378,0.9454624654047373
1,mwle,10,0.11889445094374802,0.061516022137057716,0.9427958971285153
1,reference,10,0.014057682295668112,0.008405176370015283,0.9994571527432801
2,online,10,0.11184436305366505,0.017466834995618418,0.9762339727577325
2,eap,10,0.06777898265057761,0.022489644806417807,0.9893258898107661
2,mwle,10,0.06188948269222098,0.027953198199956453,0.9877173080064063
2,reference,10,0.023250277033558912,-0.008494199500573337,0.9986347869482752
3,online,10,0.07714689863686743,0.027468001931481783,0.9613743723845737
3,eap,10,0.07400670001218944,0.029767983945689264,0.9651630333542218
3,mwle,10,0.07241855183707539,0.030680689087311225,0.9663517291167045
3,reference,10,0.01097685483451609,0.010324709909705706,0.9998112455990517
4,online,11,0.09150715082501124,0.00923657180952188,0.9315764742496361
4,eap,11,0.08246244023069665,0.01610022323016064,0.9474854244313389
4,mwle,11,0.07784313868402502,0.021177992829417177,0.9497595561587827
4,reference,11,0.0160878601236985,0.0027026481765831845,0.9983664950460674
