item,a,b,p_value,point_biserial
8-343,1.8996585930426653,0.08880868212986621,0.4603174603174603,0.5518133864888848
1129,2.0849672956911665,1.3087019698663056,0.14285714285714285,0.3896431602247442
7-999,1.3836572277558534,2.0133962113730703,0.09523809523809523,0.12156425960482295
8-464,1.2758423657108684,0.47841770068556444,0.4126984126984127,0.24917057884994406
9-794,0.9049554527364041,-0.7970405704866944,0.6190476190476191,0.4407809179277382
9-322,0.2000034181083939,5.6621623684740285,0.23809523809523808,0.080060665312578
7-1140,1.1973868716255207,0.9116331162045899,0.30158730158730157,0.3433401932369035
7-511,3.7538117002858162,2.3453470930786935,0.015873015873015872,0.22082597843243013
9-937,0.773908337664333,2.602139818661959,0.12698412698412698,0.20557865068755174
8-201,0.5987637189305298,0.19055252313685075,0.4603174603174603,0.39935747932797694
1618,0.454413609721325,5.879061851346889,0.06349206349206349,0.1347653995326577
7-414,0.4544101493299876,-5.87933425775481,0.9365079365079365,0.09633643596519413
9-675,0.48015304211939136,-2.4547111989320367,0.746031746031746,0.3151875519860668
9-163,0.366037300946362,-5.989439752343075,0.8253968253968254,0.24225886844933048
9-298,0.5172532790811593,-1.9273743653050484,0.7301587301587301,0.1954829936496953
8-395,1.6170942991795039,1.2657789415780565,0.20634920634920634,0.20239240429155228
7-372,1.8919954471394682,-0.9312408967179671,0.746031746031746,0.6007866848349408
9-271,1.0949233808500622,-2.3437642298989037,0.8888888888888888,0.3129548719717132
1426,0.2000034181083939,-5.662346963728781,0.7619047619047619,0.2333621385984443
8-466,0.8494313398504925,3.768336160291773,0.047619047619047616,0.19450480157198677
8-257,1.0584267997889123,2.4004679036979595,0.09523809523809523,0.21929308143494577
9-540,0.6834526190698808,2.4728917777350534,0.15873015873015872,0.22596751252692254
266,0.3118975682594099,-0.3459558060474579,0.5555555555555556,0.19952676400727656
1309,0.7195390157175874,-5.938416052925012,0.9841269841269841,0.0969362244717064
7-1197,0.3461659563525963,-2.540132996500364,0.7142857142857143,0.13274485969517405
1180,1.3217113154178861,3.6564344418748385,0.015873015873015872,0.19277151470552947
1204,0.9822398077978701,-1.3597965003742125,0.7301587301587301,0.3147532485805221
1759,0.454407096562133,5.877036538004874,0.06349206349206349,0.11558565621153181
695,0.8381750646902193,3.80949594345649,0.06349206349206349,0.2475798277521015
7-50,0.6384710035830191,1.604142902432852,0.2698412698412698,0.29170436707148845
508,0.7399353952248771,1.98403211525768,0.20634920634920634,0.269167483644504
163,0.4528099836615879,3.2947168986444106,0.20634920634920634,0.1371972345774212
788,0.5859199607089364,-0.4548363417274284,0.5555555555555556,0.3263607539629502
9-29,0.2000034181083939,0.8882330292381798,0.4444444444444444,0.09591587276454502
9-368,0.4053141607614027,5.942644134905145,0.07936507936507936,0.16787968504647618
9-1180,0.3081838755020923,4.0390022891773745,0.20634920634920634,0.2241522920780318
9-227,0.9963823406285104,-0.21331780955346485,0.5555555555555556,0.3751172548849667
1582,0.7799809817481322,1.9014384568075782,0.19047619047619047,0.34387315265365564
8-125,0.6403098212684962,-0.05998377706987858,0.5079365079365079,0.3989377585487634
1923,0.3660299149723761,5.986695616974292,0.09523809523809523,0.05188399007265663
9-229,1.4929050985522043,-0.16624467147714478,0.5396825396825397,0.555719196773349
1702,0.382403017631112,1.2565457364255188,0.38095238095238093,0.15447652321958757
9-491,0.24819035549226107,5.832741248650623,0.19047619047619047,0.1598168490205868
75,0.8657832999601311,-0.1415252953688583,0.5396825396825397,0.2315391695278645
1215,1.2832160004470383,-0.18102001900725143,0.5396825396825397,0.46270129035793195
8-93,0.40530567917738713,5.936681439624744,0.09523809523809523,0.05188399007265663
9-1139,1.3047700603836137,1.6570492815381814,0.15873015873015872,0.20188474271048745
1545,0.9224539308145868,0.6890518754998222,0.3492063492063492,0.3933973684891791
7-664,0.510678629757082,-4.037772404658771,0.8412698412698413,0.36260415529656453
8-53,3.78077495583024,-0.641505084236587,0.7301587301587301,0.6283938978643941
7-1044,1.2309726383453348,2.577741676423564,0.07936507936507936,0.3283567273940208
7-1122,0.22855138530833946,-5.841869348872418,0.7777777777777778,0.26847789876946615
9-1164,0.9653429620576737,-1.376866800378049,0.746031746031746,0.3219571925876824
8-308,1.3105220062792597,-1.4226660288312112,0.7936507936507936,0.48110864618881155
326,0.2000034181083939,-3.4994954792234303,0.6666666666666666,0.21197828004099337
9-350,2.264277066512685,2.0679535426508084,0.047619047619047616,0.189010306433036
591,1.1447747946974483,-0.3515130567266401,0.5873015873015873,0.4108159603956605
7-391,0.40531570841796327,5.94262320468326,0.07936507936507936,0.1722101747506059
1672,0.31694043468521477,-5.831129445693937,0.8412698412698413,0.2178107535444692
9-464,1.1445056761181265,-0.35156621118829207,0.5873015873015873,0.4903109415875128
9-983,0.5593726447190044,1.0326606040108042,0.38095238095238093,0.26340274133802033
8-491,4.999996530709876,2.243644127685008,0.015873015873015872,0.1974467564028318
44,1.7800609087936474,2.2985235021979897,0.047619047619047616,0.32100889855003
1023,0.9121731394577882,0.22720819572894294,0.4603174603174603,0.3175274437358203
8-49,1.0685593754555212,-1.0786724583296539,0.6984126984126984,0.514022330134751
7-394,0.2000034181083939,1.2466206296788913,0.4126984126984127,0.23124096882565162
9-1166,1.473162597024522,2.875337176748702,0.031746031746031744,0.14509541694233652
7-884,0.9590345648288006,-3.8861420525681334,0.9682539682539683,0.20839865127853477
7-725,0.6047982777020695,0.06290977132808825,0.4603174603174603,0.366121408154616
1300,0.5820624344624987,5.959079406251217,0.031746031746031744,0.08845213318138782
9-988,0.2000034181083939,6.0,0.9841269841269841,0.17637265167998384
9-393,4.0564935487165945,-0.523489639616204,0.6666666666666666,0.6010548043956644
9-124,0.6738349628799422,-2.9199085258053707,0.8571428571428571,0.3012238774197073
28,0.29594447793423956,1.348864310008601,0.4126984126984127,0.2539537779277648
9-18,0.5919216004149588,0.847217804202082,0.36507936507936506,0.3220036356453129
8-378,1.1590701573198778,0.7559190967580877,0.31746031746031744,0.3117433109568248
7-677,1.795932201925625,-2.0739272817474905,0.9047619047619048,0.41928671252878136
9-786,1.6580374175421169,1.9765869652533192,0.09523809523809523,0.2013274198304987
9-463,0.6288870071931836,-0.6775619958753417,0.5873015873015873,0.3087730377469683
7-71,1.1505767384346812,-0.9352298321372283,0.7142857142857143,0.44696549294154286
9-1053,0.40370511512762486,-3.388268327503783,0.7936507936507936,0.16238642733744893
9-73,0.9954543799172897,2.732073815616254,0.09523809523809523,0.09965345107236905
9-1194,1.3183703412111538,1.0305684597327542,0.2857142857142857,0.1368215111487093
8-346,0.9985034563513644,1.5767681725380087,0.19047619047619047,0.19266564946030032
7-807,1.2075309582270395,2.193044180213752,0.09523809523809523,0.3452483396610204
8-463,0.5433583314482299,-1.8447744083513515,0.7301587301587301,0.3360056362032052
9-110,0.2000034181083939,3.9031139671003974,0.31746031746031744,0.09091101371602782
9-942,0.2939833178388189,1.3576544974923683,0.36507936507936506,0.12537019093995952
9-1102,0.723780140381308,-1.445323589709155,0.6825396825396826,0.5264014228386096
1955,1.3753315245748268,1.1850648203487903,0.23809523809523808,0.2521576516354938
8-45,0.732092761053085,0.9391157976572895,0.31746031746031744,0.24974157745968956
9-674,1.031090821697113,-3.2387165828551217,0.9523809523809523,0.24528584688649277
898,0.4525995624204123,4.511375854017189,0.1111111111111111,0.24113945362793693
7-1159,2.253982670532696,2.3252766991357894,0.047619047619047616,0.2962383592567787
568,4.999993593191693,-1.7227184606716976,0.9365079365079365,0.5414109987507376
9-877,4.999995098505475,2.243644203315851,0.015873015873015872,0.11799495098686878
406,2.0767734512504843,-2.141214944358592,0.9523809523809523,0.42701479966628286
7-1132,0.39506032034287003,-4.36991370012306,0.8412698412698413,0.264404829400886
609,0.3015744597007199,-5.654317912830733,0.8253968253968254,0.22833829083515472
9-418,0.5666181865149729,5.350722328964955,0.047619047619047616,0.18901030643303593
7-1050,0.5143145258349664,2.5045935150085055,0.23809523809523808,0.17081217517077116
9-519,0.9329388827592726,-0.977813994006761,0.6984126984126984,0.1706954187002585
473,1.8015313796684986,-2.0708141961948057,0.9206349206349206,0.4968886278315898
8-445,0.2000034181083939,4.74921189846787,0.2698412698412698,0.05775532438056769
7-284,1.0232350714027867,0.7299023676734416,0.3333333333333333,0.3540293281355371
48,4.999993593197655,-1.7227184606714574,0.9523809523809523,0.4628710008078014
9-317,0.8861754381866428,-1.3477032180019388,0.746031746031746,0.35176108812358964
423,0.3858778742314019,3.2619938630725716,0.2222222222222222,0.22339501519793323
8-304,3.7243487937203543,0.762504371657638,0.2222222222222222,0.4516475725030051
9-1087,0.7800025672903297,1.619034259571018,0.25396825396825395,0.19105894308562105
9-908,0.42775049839903945,-0.6024146338987686,0.5396825396825397,0.17258165858348165
1231,0.2000034181083939,-3.1061283959000736,0.5873015873015873,0.11176163451655406
810,1.2233741153974815,0.11162146109399734,0.47619047619047616,0.4355462756134587
7-445,0.5820691888709056,-5.961445994765527,0.9523809523809523,0.19306572142526338
1502,0.7067443191843108,-1.6109603970027013,0.7142857142857143,0.4024359369468368
9-270,0.45441341454731665,-5.87929560797766,0.9206349206349206,0.1493933752335889
9-390,1.64805434110449,-1.0755184371938211,0.7301587301587301,0.467834474633526
7-160,1.3167731254762038,0.10679664123079284,0.4603174603174603,0.38867002682598584
1942,2.06095108015879,1.3147800945418973,0.14285714285714285,0.3156263231472063
9-35,0.2000034181083939,1.608130607367227,0.42857142857142855,0.1245654942189187
7-171,1.4831600804705996,1.5379786334718406,0.15873015873015872,0.38208064835846406
1139,0.2000034181083939,6.0,0.9841269841269841,0.17637265167998384
9-440,0.42009180852207917,-1.151530875054745,0.6190476190476191,0.15787045815021727
9-528,0.8105340030945152,-3.206427502655978,0.8888888888888888,0.4121566123960355
9-633,1.3748939940068563,-0.10420474506350175,0.5396825396825397,0.3474674686394021
9-504,0.36603117166197957,-5.988429552496484,0.873015873015873,0.07362059681275769
7-852,0.2000034181083939,-0.1772946965951816,0.47619047619047616,0.11460135571030251
761,1.7352084634203377,0.9682351557005834,0.23809523809523808,0.22593899201289108
8-318,0.7195942532036702,-5.938094450524597,0.9841269841269841,0.11095020513545409
