item,a,b,p_value,point_biserial
8-343,1.8026529913850253,0.27202689626434484,0.42168674698795183,0.5144379420320959
1129,2.9158901869922675,1.3730120067688347,0.12048192771084337,0.39248916721739463
7-999,1.608227807970949,2.041814702228606,0.08433734939759036,0.2013477443683599
8-464,1.265134939683634,0.6972871795125992,0.3373493975903614,0.29783268213150593
9-794,0.886536251735207,-0.3516577856197254,0.5662650602409639,0.4912090196019968
9-322,0.2936031221878286,5.241860296010085,0.18072289156626506,0.1650501291607588
7-1140,1.590415969837734,1.032512450568939,0.24096385542168675,0.4038597352675107
7-511,3.871638208575604,2.498184022755236,0.012048192771084338,0.193759306696632
9-937,1.2405592810928219,1.9072763139912556,0.13253012048192772,0.3080486626657396
8-201,0.5147194939430907,0.7539610036998016,0.40963855421686746,0.3072374821411541
1618,1.1024994124651457,2.9424839469523216,0.060240963855421686,0.1894757718560194
7-414,0.913746816759158,-2.241696544077111,0.8554216867469879,0.2835315276975322
9-675,0.2760860613698504,-4.473525809249145,0.7710843373493976,0.15973980831864368
9-163,0.8631779096085146,-1.5292553819655426,0.7590361445783133,0.3660751458435052
9-298,0.9576439800206281,-0.8388233677653912,0.6626506024096386,0.3839002085038576
8-395,0.972917906408792,1.7365909706631957,0.1927710843373494,0.14678666230067097
7-372,1.240976302606756,-1.122804512920046,0.7469879518072289,0.5007577036971465
9-271,0.5072815974771618,-4.3474792154850554,0.891566265060241,0.1824091344411699
8-466,1.2399827020462575,3.1872505069817443,0.03614457831325301,0.19189569067630935
8-257,1.2177832383129163,2.411537204686733,0.08433734939759036,0.19291619034014199
9-540,0.681304424558822,2.8387771081833737,0.14457831325301204,0.1585866687555187
1309,1.4295240189504415,-2.9050343445485116,0.963855421686747,0.2511307649471587
7-1197,0.5659500122968091,-1.3820486341450324,0.6746987951807228,0.21610048353523764
1180,1.9764509032026158,3.1131758106582663,0.012048192771084338,0.17233215052645062
1204,0.8028406775732841,-1.4403701549251302,0.7349397590361446,0.3017239639782423
1759,0.44210430258228206,5.2381319291516375,0.0963855421686747,0.19152525769931592
695,0.48386383169967245,5.882892965809595,0.060240963855421686,0.12881582536985992
7-50,1.085140184824611,1.3702865048176138,0.2289156626506024,0.34021919885342117
508,0.7738864063380958,1.859889182102206,0.21686746987951808,0.29662746752142777
163,0.6079177458239217,2.9688185034554486,0.1566265060240964,0.199227964928454
7-49,0.3463894008549854,5.864485306823063,0.12048192771084337,0.1472353492618029
788,0.8508387860519979,-0.09843966868491077,0.5180722891566265,0.39283290506186047
9-29,0.36367492670739865,1.1788196691878172,0.39759036144578314,0.23166193068801041
9-368,0.6480124371136325,4.5177057225511685,0.060240963855421686,0.1845552891039591
648,0.2000034181083939,-3.9626083877553584,0.6867469879518072,0.09994455893844413
9-1180,0.4039904441820284,2.942064715447798,0.24096385542168675,0.25051823050169614
9-227,1.1265554169182108,0.2429559239043625,0.4457831325301205,0.39375773496991023
1582,1.0810692581118992,1.6120671260720292,0.1927710843373494,0.36424136080910435
8-125,0.9963763100383258,0.38276590781192005,0.42168674698795183,0.4176520657381302
1923,0.44641256016291175,5.525250882176733,0.08433734939759036,0.1507775672177098
9-229,1.6907367274272218,0.2801630204599103,0.42168674698795183,0.5930470152967263
1702,0.3507317791002376,1.3681827241501754,0.3855421686746988,0.2473883887938876
75,0.5161981934221714,-0.14893880420182165,0.5180722891566265,0.20096338318015536
1215,1.1487184098795593,0.026553566697890444,0.4939759036144578,0.42527639363823905
8-93,0.6216514065706396,4.364177017422528,0.07228915662650602,0.10241120269809909
7-988,2.1701683265529153,-2.9807114930511505,0.9879518072289156,0.18106612262075164
9-1139,1.5775429295831722,1.495731993149521,0.1566265060240964,0.21213855668813492
1545,0.9889046108999013,0.9517989061315479,0.3132530120481928,0.39190115206469084
7-664,0.8426366047404394,-1.8351925594135634,0.7951807228915663,0.44202490789853377
8-53,2.141216061582271,-0.4969710284693743,0.6506024096385542,0.6156115164335886
7-1044,1.6387375250018377,2.294152509225961,0.060240963855421686,0.3060360385229888
7-1122,0.575187298324924,-1.4656774305342637,0.6867469879518072,0.3491327062344515
9-79,0.2000034181083939,-1.0996261302928025,0.5542168674698795,0.06994962265094842
9-1164,0.4684253225563049,-2.2831993717062886,0.7349397590361446,0.2901645225194072
8-308,0.769598000335655,-2.0788478344047503,0.8072289156626506,0.3494405427599317
326,0.31048287260727914,-1.3697439444107526,0.6024096385542169,0.213011934937401
1184,0.5231469534359481,5.93559167944098,0.04819277108433735,0.06962186231897458
9-350,2.5656287518073757,2.2013332376643207,0.03614457831325301,0.18771658271214178
7-140,0.2034733813207971,0.5991865984839715,0.46987951807228917,0.11650459470979445
591,0.34273487266161645,-0.9479176708601318,0.5783132530120482,0.14697027566888266
7-391,0.7750786642648471,3.1846621265684334,0.0963855421686747,0.2882218596284184
1672,0.27765838165331697,-5.8358088534632016,0.8313253012048193,0.08163922787206673
9-464,0.9447579989049524,-0.09111526241918524,0.5180722891566265,0.46785971337262694
9-983,0.619275078385997,1.183764327702262,0.3373493975903614,0.24139925129023082
9-30,0.34638741634252873,5.862086711846384,0.12048192771084337,0.05858274621062167
