criterion_id,a_content,a_diagnosis,a_scaffolding,b,n_persons,flags
tb_0001_c01,0.38689,0.0,0.0,1.46816,81,low_n
tb_0001_c03,0.540697,0.0,0.0,1.543749,81,low_n
tb_0001_c04,1.607154,2.055354,0.0,2.527128,82,low_n
tb_0001_c05,0.463406,0.0,0.864344,2.824624,82,low_n
tb_0001_c06,0.629755,0.0,0.0,1.435373,80,low_n
tb_0001_c09,0.369935,0.0,0.0,4.183785,82,low_n
tb_0001_c10,0.0,1.434376,0.0,-0.886305,79,low_n
tb_0002_c03,0.515989,0.0,0.0,2.753673,82,low_n
tb_0002_c04,2.187871,-0.017025,0.0,3.532046,82,low_n
tb_0002_c06,9.533167,-8.358951,0.0,18.390325,82,extreme_a|low_n
tb_0002_c07,1.30068,0.0,0.0,1.332206,80,low_n
tb_0002_c08,1.617801,0.397195,0.0,2.639329,82,low_n
tb_0002_c10,0.752761,0.0,0.0,1.571388,81,low_n
tb_0002_c11,0.909242,0.0,0.0,1.306464,82,low_n
tb_0002_c13,1.945692,0.0,0.0,5.139233,82,low_n
tb_0002_c16,0.962522,0.0,0.0,2.148195,82,low_n
tb_0002_c18,0.545653,0.0,0.0,1.970361,82,low_n
tb_0002_c19,1.01184,0.0,0.0,4.592409,82,low_n
tb_0002_c21,1.945692,0.0,0.0,5.139233,82,low_n
tb_0003_c01,0.690144,0.0,0.0,1.623449,79,low_n
tb_0003_c02,0.715097,0.0,0.0,1.601683,82,low_n
tb_0003_c03,4.431301,-4.225903,0.0,7.258947,80,low_n
tb_0003_c04,0.667413,0.399254,0.0,2.195666,82,low_n
tb_0003_c05,2.172392,1.986752,0.0,5.404411,78,low_n
tb_0003_c06,0.772889,0.651373,0.0,3.867853,82,low_n
tb_0003_c07,-0.971619,1.941269,0.0,3.577818,80,low_n
tb_0003_c08,1.318174,2.367796,0.0,4.197925,80,low_n
tb_0003_c09,4.440902,-4.23486,0.0,7.270445,82,low_n
tb_0003_c10,0.772889,0.651373,0.0,3.867853,82,low_n
tb_0004_c01,0.855259,0.0,0.0,0.602511,82,low_n
tb_0004_c02,0.497406,0.0,0.0,1.264323,82,low_n
tb_0004_c03,0.470687,0.0,0.0,1.088477,82,low_n
tb_0004_c04,0.138469,0.333963,0.0,2.390374,82,low_n
tb_0004_c05,0.636214,0.0,0.0,1.250004,81,low_n
tb_0005_c01,0.0,1.753898,0.0,0.137707,81,low_n
tb_0005_c02,0.673185,1.269268,0.0,3.685309,82,low_n
tb_0005_c03,1.178587,0.0,0.0,2.94563,82,low_n
tb_0005_c04,1.572584,0.0,0.0,3.373182,82,low_n
tb_0005_c05,2.393161,0.0,0.0,4.739064,81,low_n
tb_0006_c02,5.736559,4.748266,0.0,19.07608,82,low_n
tb_0006_c03,1.577971,5.661706,0.0,10.056071,82,low_n
tb_0006_c04,0.369935,0.0,0.0,4.183785,82,low_n
tb_0006_c05,1.073669,0.0,0.0,3.917317,82,low_n
tb_0006_c06,0.0,1.820303,0.288567,1.668251,80,low_n
tb_0007_c01,1.073669,0.0,0.0,3.917317,82,low_n
tb_0007_c02,2.475896,0.0,0.0,2.101595,82,low_n
tb_0007_c03,0.861881,0.0,0.0,0.978136,82,low_n
tb_0007_c04,1.402189,0.0,0.390022,1.329305,80,low_n
tb_0007_c05,1.570173,0.0,0.0,3.681129,82,low_n
tb_0007_c06,1.637068,0.0,0.0,0.562592,82,low_n
tb_0007_c07,2.641693,0.0,0.0,0.971686,82,low_n
tb_0007_c08,1.248551,0.0,0.0,2.772148,82,low_n
tb_0009_c01,0.671994,0.0,0.0,1.01073,78,low_n
tb_0009_c03,0.497822,0.168442,0.0,0.78564,79,low_n
tb_0009_c04,0.805394,0.0,0.0,1.07043,82,low_n
tb_0009_c07,1.501334,0.0,0.885313,4.134233,81,low_n
tb_0010_c03,8.877849,7.975028,0.0,25.980041,81,extreme_a|low_n
tb_0010_c04,2.223974,0.0,0.0,3.579251,82,low_n
tb_0010_c07,0.704061,0.0,0.0,2.01201,82,low_n
tb_0011_c01,5.578199,4.749949,0.0,18.702945,81,low_n
tb_0011_c03,0.0,0.0,0.099111,3.594961,75,low_n
tb_0011_c04,1.945692,0.0,0.0,5.139233,82,low_n
tb_0011_c05,1.570173,0.0,0.0,3.681129,82,low_n
tb_0011_c07,0.0,5.954618,0.0,8.263563,74,low_n
tb_0011_c08,5.736559,4.748266,0.0,19.07608,82,low_n
tb_0011_c09,8.445987,0.0,-3.950537,20.023566,82,extreme_a|low_n
tb_0012_c04,-1.371207,1.729734,0.0,3.658172,82,low_n
tb_0013_c02,3.057769,0.0,0.0,2.807374,81,low_n
tb_0013_c03,1.510344,0.0,0.0,1.746093,82,low_n
tb_0013_c04,2.42356,0.0,0.0,4.834091,82,low_n
tb_0013_c10,1.077203,0.0,-0.154791,3.91913,82,low_n
tb_0013_c11,7.04477,0.0,0.0,15.988829,82,extreme_a|low_n
tb_0015_c02,0.6274,1.085712,0.0,1.899671,82,low_n
tb_0015_c03,0.744588,0.0,0.0,2.597279,82,low_n
tb_0015_c06,1.01184,0.0,0.0,4.592409,82,low_n
tb_0016_c01,2.107402,0.0,0.0,2.276691,81,low_n
tb_0016_c02,1.238419,0.0,0.0,2.762448,82,low_n
tb_0016_c03,2.184901,0.0,0.0,3.81241,82,low_n
tb_0016_c04,0.861968,0.0,0.0,2.934791,82,low_n
tb_0016_c05,1.577641,0.0,0.0,2.11202,82,low_n
tb_0016_c06,2.1143,0.0,1.116244,3.565329,82,low_n
tb_0016_c07,2.713255,0.76807,0.0,6.23449,82,low_n
tb_0017_c02,1.51591,1.356341,0.0,2.18225,82,low_n
tb_0017_c05,1.606914,0.0,0.0,3.928143,78,low_n
tb_0017_c07,1.366441,0.0,0.0,1.755255,80,low_n
tb_0017_c08,0.0,0.840385,0.0,2.308687,81,low_n
tb_0017_c09,5.928097,0.0,0.0,14.730861,78,low_n
tb_0017_c10,0.0,0.937712,0.0,1.605334,81,low_n
tb_0017_c11,1.166477,-0.698303,0.0,3.093277,79,low_n
tb_0017_c13,0.0,5.536874,0.0,8.476642,77,low_n
tb_0017_c15,5.736559,4.748266,0.0,19.07608,82,low_n
tb_0017_c18,2.626879,0.888991,0.0,6.099987,81,low_n
tb_0017_c19,1.570173,0.0,0.0,3.681129,82,low_n
tb_0018_c01,1.927106,0.0,0.0,2.406286,82,low_n
tb_0018_c02,1.465292,1.035092,0.0,2.766237,82,low_n
tb_0018_c03,0.388901,0.0,5.975664,9.032347,81,low_n
tb_0018_c04,6.031565,0.0,0.0,14.975875,82,extreme_a|low_n
tb_0019_c01,1.348458,0.0,0.0,1.573017,81,low_n
tb_0019_c02,1.157713,0.0,0.0,1.533773,82,low_n
tb_0019_c03,1.892338,0.0,0.0,0.340813,76,low_n
tb_0019_c04,1.945692,0.0,0.0,5.139233,82,low_n
tb_0019_c05,0.666545,0.0,0.0,2.809446,82,low_n
tb_0019_c06,0.494801,0.0,0.0,2.503785,82,low_n
tb_0019_c07,0.494801,0.0,0.0,2.503785,82,low_n
tb_0019_c08,0.775403,0.0,0.0,3.194836,82,low_n
tb_0019_c09,0.775403,0.0,0.0,3.194836,82,low_n
tb_0019_c10,2.07374,0.0,0.0,0.491202,82,low_n
tb_0019_c11,0.891808,0.0,0.0,2.277852,82,low_n
tb_0019_c12,6.031565,0.0,0.0,14.975875,82,extreme_a|low_n
tb_0020_c02,5.736559,4.748266,0.0,19.07608,82,low_n
tb_0020_c06,0.452329,0.0,0.0,1.24268,81,low_n
tb_0020_c07,0.360376,0.0,0.0,1.716789,82,low_n
tb_0020_c08,0.395764,0.0,0.0,1.970936,82,low_n
tb_0020_c09,0.237131,0.0,0.0,2.34328,82,low_n
tb_0020_c11,0.395764,0.0,0.0,1.970936,82,low_n
tb_0020_c13,0.0,1.100022,-0.650632,-2.410098,80,low_n
tb_0021_c01,1.767713,0.549919,0.0,2.450087,82,low_n
tb_0021_c02,1.249625,0.0,0.0,0.885841,81,low_n
tb_0021_c03,8.445987,0.0,-3.950537,20.023566,82,extreme_a|low_n
tb_0021_c05,0.809392,0.468881,0.0,0.203376,82,low_n
tb_0021_c06,1.819238,1.924814,0.0,3.077309,82,low_n
tb_0021_c07,1.514843,-2.144439,0.0,5.635668,82,low_n
tb_0022_c02,6.812737,0.0,0.0,9.654313,81,extreme_a|low_n
tb_0022_c03,9.533167,-8.358951,0.0,18.390325,82,extreme_a|low_n
tb_0022_c04,9.533167,-8.358951,0.0,18.390325,82,extreme_a|low_n
tb_0022_c06,1.946679,-0.003004,0.0,5.139229,82,low_n
tb_0023_c02,0.607399,0.0,0.0,1.321572,81,low_n
tb_0023_c03,6.031565,0.0,0.0,14.975875,82,extreme_a|low_n
tb_0024_c04,1.211233,0.0,0.0,2.722867,81,low_n
tb_0024_c05,0.0,1.223243,0.53328,0.403928,78,low_n
