criterion_id,a_content,a_diagnosis,a_scaffolding,b,n_persons,flags
tb_0001_c01,0.36781,0.0,0.0,1.487306,81,low_n
tb_0001_c03,0.434306,0.0,0.0,1.587302,81,low_n
tb_0001_c04,1.884408,0.0,0.0,2.29298,82,low_n
tb_0001_c05,0.580864,0.925039,0.0,2.870644,82,low_n
tb_0001_c06,0.635493,0.0,0.0,1.497634,80,low_n
tb_0001_c09,0.297931,0.0,0.0,4.216623,82,low_n
tb_0001_c10,0.73626,0.0,0.898042,-0.183413,79,low_n
tb_0002_c03,0.401541,0.0,0.0,2.783289,82,low_n
tb_0002_c04,1.717556,0.0,0.0,3.403164,82,low_n
tb_0002_c06,1.319839,0.0,0.0,5.557827,82,low_n
tb_0002_c07,1.042686,0.0,0.0,1.332698,80,low_n
tb_0002_c08,1.692067,0.0,0.0,2.892031,82,low_n
tb_0002_c09,0.0,0.0,0.963825,2.762671,80,low_n
tb_0002_c10,0.524513,0.0,0.0,1.590608,81,low_n
tb_0002_c11,0.675239,0.0,0.0,1.316077,82,low_n
tb_0002_c13,0.989637,0.0,0.0,4.126994,82,low_n
tb_0002_c16,0.683999,0.0,0.0,2.099522,82,low_n
tb_0002_c18,0.435069,0.0,0.0,2.005455,82,low_n
tb_0002_c19,0.659269,0.0,0.0,4.426385,82,low_n
tb_0002_c21,0.989637,0.0,0.0,4.126994,82,low_n
tb_0003_c01,0.674106,0.0,0.0,1.675058,79,low_n
tb_0003_c02,0.603678,0.0,0.0,1.641005,82,low_n
tb_0003_c03,0.705799,0.0,0.0,3.290804,80,low_n
tb_0003_c04,0.718679,0.0,0.0,2.294586,82,low_n
tb_0003_c05,1.717726,0.0,0.0,4.150167,78,low_n
tb_0003_c06,0.68029,0.0,0.0,3.715205,82,low_n
tb_0003_c07,0.329624,0.0,0.0,3.451304,80,low_n
tb_0003_c08,1.382164,0.0,0.0,3.18291,80,low_n
tb_0003_c09,0.711279,0.0,0.0,3.299958,82,low_n
tb_0003_c10,0.68029,0.0,0.0,3.715205,82,low_n
tb_0004_c01,0.703421,0.0,0.0,0.648669,82,low_n
tb_0004_c02,0.375732,0.0,0.0,1.314735,82,low_n
tb_0004_c03,0.361613,0.0,0.0,1.141948,82,low_n
tb_0004_c04,0.48078,0.0,0.0,2.560112,82,low_n
tb_0004_c05,0.467081,0.0,0.0,1.290764,81,low_n
tb_0004_c08,0.0,0.0,0.974511,4.833544,82,low_n
tb_0005_c01,1.233112,0.0,0.0,0.554739,81,low_n
tb_0005_c02,1.31113,0.0,0.0,4.143148,82,low_n
tb_0005_c03,1.140277,0.0,0.0,3.182852,82,low_n
tb_0005_c04,1.458788,0.0,0.0,3.62247,82,low_n
tb_0005_c05,1.66163,0.0,0.0,4.115993,81,low_n
tb_0005_c07,0.0,0.0,1.02769,1.811056,78,low_n
tb_0006_c02,8.378259,0.0,0.0,26.321239,82,extreme_a|low_n
tb_0006_c03,5.902193,0.0,0.0,15.071734,82,low_n
tb_0006_c04,0.659269,0.0,0.0,4.426385,82,low_n
tb_0006_c05,1.61751,0.0,0.0,5.281882,82,low_n
tb_0006_c06,1.418734,0.258696,0.0,2.2158,80,low_n
tb_0006_c07,0.0,0.0,3.170402,2.893007,81,low_n
tb_0007_c01,1.61751,0.0,0.0,5.281882,82,low_n
tb_0007_c02,2.057488,0.0,0.0,2.074999,82,low_n
tb_0007_c03,0.65318,0.0,0.0,1.011108,82,low_n
tb_0007_c04,1.110449,0.889853,0.0,1.202991,80,low_n
tb_0007_c05,0.896675,0.0,0.0,3.169151,82,low_n
tb_0007_c06,1.069448,0.0,0.0,0.548942,82,low_n
tb_0007_c07,1.710239,0.0,0.0,0.836797,82,low_n
tb_0007_c08,0.818009,0.0,0.0,2.57439,82,low_n
tb_0009_c01,0.553521,0.0,0.0,1.066736,78,low_n
tb_0009_c03,0.499546,0.0,0.0,0.895328,79,low_n
tb_0009_c04,0.697227,0.0,0.0,1.112554,82,low_n
tb_0009_c05,0.0,0.0,1.551469,3.510741,82,low_n
tb_0009_c07,1.139648,1.333525,0.0,3.864198,81,low_n
tb_0009_c08,0.0,0.0,1.403875,-2.460294,80,low_n
tb_0010_c03,8.201175,0.0,0.0,25.63552,81,extreme_a|low_n
tb_0010_c04,2.417619,0.0,0.0,4.338363,82,low_n
tb_0010_c07,0.53827,0.0,0.0,2.029658,82,low_n
tb_0011_c01,8.378243,0.0,0.0,26.321183,81,extreme_a|low_n
tb_0011_c03,0.0,-5.028143,6.256568,14.82196,75,extreme_a|low_n
tb_0011_c04,5.902193,0.0,0.0,15.071734,82,low_n
tb_0011_c05,2.405238,0.0,0.0,5.575078,82,low_n
tb_0011_c07,5.82277,0.0,0.0,14.88339,74,low_n
tb_0011_c08,8.378259,0.0,0.0,26.321239,82,extreme_a|low_n
tb_0011_c09,8.046403,-1.157135,0.0,26.371787,82,extreme_a|low_n
tb_0011_c11,0.0,0.0,1.737085,4.479521,77,low_n
tb_0012_c01,0.0,0.0,1.05173,2.300389,82,low_n
tb_0012_c04,0.153176,0.0,0.0,3.552397,82,low_n
