model,content_primary,diagnosis_primary,scaffolding_loaded,presentation_proxy
01-ai/Yi-6B,0.039,0.0531,0.1215,0.1822
01-ai/Yi-6B-Chat,0.0616,0.0916,0.1268,0.3107
EleutherAI/pythia-1.4b,0.0317,0.0175,0.1717,0.1706
EleutherAI/pythia-160m,0.0028,0.0023,0.1769,0.0117
EleutherAI/pythia-1b,0.0236,0.0222,0.1699,0.1472
EleutherAI/pythia-2.8b,0.0232,0.028,0.162,0.1051
EleutherAI/pythia-410m,0.0116,0.0117,0.1787,0.0935
EleutherAI/pythia-6.9b,0.0239,0.0292,0.1461,0.1822
EleutherAI/pythia-70m,0.0021,0.0012,0.1725,0.0234
HuggingFaceH4/zephyr-7b-beta,0.1126,0.1674,0.2236,0.3201
HuggingFaceTB/SmolLM2-1.7B,0.0387,0.0624,0.1268,0.2991
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.0644,0.1342,0.1452,0.3738
HuggingFaceTB/SmolLM2-135M,0.0176,0.0064,0.1452,0.1449
HuggingFaceTB/SmolLM2-360M,0.0113,0.0111,0.1461,0.1449
HuggingFaceTB/SmolLM2-360M-Instruct,0.0288,0.0461,0.096,0.2196
LLM360/Amber,0.0049,0.0058,0.1708,0.0864
Qwen/Qwen2-0.5B,0.019,0.0216,0.0977,0.1659
Qwen/Qwen2-1.5B,0.0412,0.0677,0.1136,0.3271
Qwen/Qwen2-7B,0.1221,0.2229,0.2218,0.4089
Qwen/Qwen2.5-0.5B,0.0376,0.0362,0.1004,0.3715
Qwen/Qwen2.5-0.5B-Instruct,0.0287,0.0512,0.0114,0.4602
Qwen/Qwen2.5-1.5B,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-1.5B-Instruct,,,,
Qwen/Qwen2.5-3B,,,,
Qwen/Qwen2.5-3B-Instruct,,,,
Qwen/Qwen2.5-7B,,,,
Qwen/Qwen2.5-7B-Instruct,,,,
Qwen/Qwen2.5-Coder-7B,,,,
Qwen/Qwen2.5-Math-7B,,,,
Qwen/Qwen3-0.6B,,,,
Qwen/Qwen3-1.7B,,,,
Qwen/Qwen3-4B,,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,,,,
allenai/OLMo-2-0425-1B,0.0,0.0,,
allenai/OLMo-2-1124-7B,,,,
bigscience/bloom-1b1,,,,
bigscience/bloom-1b7,,,,
bigscience/bloom-3b,,,,
bigscience/bloom-560m,,,,
bigscience/bloom-7b1,,0.0,,
bigscience/bloomz-1b7,,,,
bigscience/bloomz-3b,,0.0,,
bigscience/bloomz-7b1,,0.0,0.0,
deepseek-ai/deepseek-coder-6.7b-base,,,,
deepseek-ai/deepseek-llm-7b-base,,,,
deepseek-ai/deepseek-math-7b-base,,,,
facebook/opt-1.3b,,,,
facebook/opt-2.7b,,,,
facebook/opt-6.7b,,,,
google/gemma-2-2b,,,,
h2oai/h2o-danube2-1.8b-base,,,,
h2oai/h2o-danube3-4b-base,,,,
ibm-granite/granite-3.0-2b-base,,,,
ibm-granite/granite-3.1-2b-base,,,,
ibm-granite/granite-3.1-2b-instruct,,,,
lmsys/vicuna-7b-v1.5,,,,
meta-llama/Llama-3.2-1B,0.0,0.0,0.0,0.0
meta-llama/Llama-3.2-1B-Instruct,,,,
meta-llama/Llama-3.2-3B,,,,
meta-llama/Llama-3.2-3B-Instruct,,,,
microsoft/Phi-3-mini-4k-instruct,,,,
microsoft/Phi-3.5-mini-instruct,,,,
microsoft/phi-1_5,,,,
microsoft/phi-2,,,,
mistralai/Mistral-7B-Instruct-v0.3,,,,
mistralai/Mistral-7B-v0.1,0.0,0.0,0.0,0.0
mistralai/Mistral-7B-v0.3,0.0,0.0,0.0,0.0
nvidia/Nemotron-Mini-4B-Instruct,,,,
openai-community/gpt2,,0.0,0.0,
openai-community/gpt2-large,,,,
openai-community/gpt2-medium,,,,
openai-community/gpt2-xl,,,,
openbmb/MiniCPM-2B-sft-bf16,,,,
stabilityai/stablelm-2-1_6b,,,,
stabilityai/stablelm-2-zephyr-1_6b,,,,
stabilityai/stablelm-3b-4e1t,,,,
stabilityai/stablelm-zephyr-3b,,,,
tiiuae/Falcon3-1B-Base,,,,
tiiuae/Falcon3-3B-Base,,,,
tiiuae/Falcon3-7B-Base,,,,
togethercomputer/RedPajama-INCITE-7B-Base,,,,
togethercomputer/RedPajama-INCITE-Base-3B-v1,,,,
