model,sd_floor_correctness,sd_floor_scaffolding,total_scenarios
01-ai/Yi-1.5-6B,0.043424,0.124765,657
01-ai/Yi-1.5-6B-Chat,0.038922,0.117578,657
01-ai/Yi-6B-200K,0.093702,0.118993,657
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.169711,0.119630,657
BEE-spoke-data/smol_llama-220M-openhermes,0.173425,0.123633,657
BSC-LT/salamandra-2b,0.119316,0.122122,657
BSC-LT/salamandra-2b-instruct,0.108942,0.124993,657
BSC-LT/salamandra-7b,0.080311,0.116233,657
BSC-LT/salamandra-7b-instruct,0.069606,0.130323,657
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.038511,0.107082,657
OpenBMB/MiniCPM4-0.5B,0.077590,0.136709,657
Qwen/Qwen1.5-1.8B,0.182660,0.135810,657
Qwen/Qwen1.5-1.8B-Chat,0.096541,0.140511,657
ai-forever/mGPT,0.213060,0.123002,657
allenai/OLMo-1B-hf,0.234203,0.123864,657
allenai/OLMo-2-0425-1B-DPO,0.057066,0.138189,657
allenai/OLMo-2-0425-1B-Instruct,0.055803,0.136598,657
arcee-ai/raspberry-3B,0.042120,0.111304,657
google/gemma-2b,0.088061,0.118077,657
h2oai/h2o-danube-1.8b-chat,0.097890,0.132282,657
h2oai/h2o-danube2-1.8b-chat,0.087430,0.127014,657
ibm-granite/granite-7b-instruct,0.072130,0.113397,657
ibm/PowerLM-3b,0.052647,0.122054,657
nvidia/AceInstruct-1.5B,0.038141,0.115564,657
openbmb/MiniCPM-1B-sft-bf16,0.175965,0.124170,657
openlm-research/open_llama_3b,0.102115,0.118699,657
pankajmathur/orca_mini_3b,0.106249,0.123485,657
pankajmathur/orca_mini_v9_5_3B-Instruct,0.047130,0.109321,657
stabilityai/stablelm-2-1_6b-chat,0.076769,0.144310,657
tiiuae/Falcon3-1B-Instruct,0.046314,0.135949,657
tiiuae/Falcon3-3B-Instruct,0.033087,0.113190,657
utter-project/EuroLLM-1.7B,0.145771,0.123706,657
utter-project/EuroLLM-1.7B-Instruct,0.124546,0.129117,657
