model,theta_2skill_correctness,theta_unidim_correctness,is_headline_excluded
Qwen/Qwen3-4B,3.7987929560195446,3.620445091810976,False
Qwen/Qwen3-1.7B,2.799999999686343,2.73293847060106,False
Qwen/Qwen2.5-7B-Instruct,2.6000173795958954,2.709603606675701,False
tiiuae/Falcon3-7B-Base,2.399777156994864,2.3182452474758897,False
Qwen/Qwen2.5-Math-7B,2.3952296523947614,2.248793574110011,False
tiiuae/Falcon3-3B-Instruct,2.2000153026935276,2.212602699426892,False
Qwen/Qwen2.5-3B-Instruct,2.2000054525877775,2.252779502258674,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.1999999828156747,2.1722714931644607,False
Qwen/Qwen2.5-7B,2.1999666324740277,2.174520823883129,False
Qwen/Qwen2.5-Coder-7B,2.0073448613187708,2.0338574926541058,False
01-ai/Yi-1.5-6B-Chat,1.7797724922572373,1.6817469825161053,False
tiiuae/Falcon3-3B-Base,1.6157727842755925,1.6307596946806506,False
Qwen/Qwen2.5-3B,1.599940213641562,1.5449250208343401,False
Qwen/Qwen2-7B,1.5989761531133468,1.5380189248141591,False
microsoft/Phi-3.5-mini-instruct,1.426933822157595,1.3804230324544182,False
ibm-granite/granite-3.1-2b-instruct,1.400111483865195,1.4492971602374416,False
nvidia/AceInstruct-1.5B,1.3905183925256919,1.2896358786680218,False
Qwen/Qwen2.5-1.5B-Instruct,1.2715089436304658,1.2615721033534621,False
meta-llama/Llama-3.2-3B-Instruct,1.1999087564118256,1.2581883292613196,False
HuggingFaceH4/zephyr-7b-beta,1.199709304031714,1.2061967626153542,False
allenai/OLMo-2-1124-7B,1.1988057045991254,1.1577598015817603,False
mistralai/Mistral-7B-Instruct-v0.3,1.1937906403244385,1.1672898205438802,False
Qwen/Qwen3-0.6B,1.174440734615168,1.07104281632852,False
arcee-ai/raspberry-3B,1.1467879127792315,1.1273856785705778,False
01-ai/Yi-1.5-6B,0.9984930004545015,0.8758435595006896,False
mistralai/Mistral-7B-v0.3,0.8041056562997906,0.8904634263130238,False
ibm-granite/granite-3.0-2b-base,0.8006995081045405,0.8676050059851187,False
tiiuae/Falcon3-1B-Instruct,0.8003513282845188,0.8100298932751577,False
Qwen/Qwen2.5-1.5B,0.8003154410178908,0.7860346220908339,False
