population,floor,se_target,n_models,recovery_r,recovery_slope,theta_mae,pct_reach,len_scen_mean,len_scen_sd,len_scen_max,len_scen_median,len_crit_mean,len_crit_sd,len_crit_max,se_ability_mean,se_ability_sd,se_ability_max,se_ability_median,se_param_mean,se_param_sd,se_param_max,se_total_mean,se_total_sd,se_total_max,se_total_median,pct_precision,pct_plateau,pct_cap,pct_bank_exhausted
all52,10,0.15,52,0.9709,0.9012,0.2895,38.5,15.77,5.69,34.0,14.5,26.4,9.53,54.0,0.1943,0.0855,0.4986,0.1648,0.1146,0.046,0.258,0.2277,0.0919,0.5436,0.1951,38.5,61.5,0.0,0.0
all52,10,0.18,52,0.9665,0.8993,0.3063,67.3,13.63,4.68,28.0,11.5,23.04,7.98,43.0,0.2006,0.0828,0.4986,0.1746,0.1146,0.046,0.258,0.2332,0.0891,0.5436,0.1987,67.3,32.7,0.0,0.0
all52,10,0.2,52,0.9664,0.8924,0.3114,76.9,12.38,3.04,22.0,11.0,20.87,5.39,38.0,0.2069,0.0812,0.4986,0.1905,0.1146,0.046,0.258,0.2387,0.0874,0.5436,0.2105,76.9,23.1,0.0,0.0
all52,10,0.22,52,0.9666,0.8867,0.3106,84.6,11.33,1.9,17.0,10.0,19.08,3.66,29.0,0.213,0.0808,0.4986,0.2059,0.1146,0.046,0.258,0.2442,0.0866,0.5436,0.2262,84.6,15.4,0.0,0.0
all52,10,0.25,52,0.967,0.8862,0.3101,88.5,10.73,1.57,16.0,10.0,18.0,3.04,28.0,0.2198,0.0808,0.4986,0.2097,0.1146,0.046,0.258,0.2502,0.0866,0.5436,0.2344,88.5,11.5,0.0,0.0
all52,10,0.27,52,0.9631,0.8881,0.326,88.5,10.5,1.23,15.0,10.0,17.62,2.54,25.0,0.2241,0.0818,0.4986,0.2141,0.1146,0.046,0.258,0.254,0.0875,0.5436,0.2365,88.5,11.5,0.0,0.0
all52,10,0.3,52,0.9629,0.8887,0.3262,88.5,10.4,1.07,14.0,10.0,17.4,2.39,25.0,0.2273,0.0832,0.4986,0.2175,0.1146,0.046,0.258,0.2568,0.0886,0.5436,0.2365,88.5,11.5,0.0,0.0
all52,10,0.32,52,0.9629,0.8871,0.329,90.4,10.35,1.01,14.0,10.0,17.33,2.33,25.0,0.2272,0.0831,0.4986,0.2175,0.1146,0.046,0.258,0.2567,0.0884,0.5436,0.2365,90.4,9.6,0.0,0.0
all52,12,0.15,52,0.9675,0.8997,0.2961,38.5,16.37,5.15,34.0,14.5,27.38,8.69,54.0,0.1889,0.0822,0.4986,0.1648,0.1146,0.046,0.258,0.2231,0.0889,0.5436,0.1951,38.5,61.5,0.0,0.0
all52,12,0.18,52,0.9644,0.9014,0.3066,67.3,14.65,3.97,28.0,13.0,24.69,6.84,43.0,0.1929,0.0807,0.4986,0.1724,0.1146,0.046,0.258,0.2265,0.0874,0.5436,0.195,67.3,32.7,0.0,0.0
all52,12,0.2,52,0.9644,0.8974,0.311,76.9,13.46,2.31,22.0,12.0,22.65,4.31,38.0,0.1982,0.0799,0.4986,0.1875,0.1146,0.046,0.258,0.2312,0.0862,0.5436,0.2071,76.9,23.1,0.0,0.0
all52,12,0.22,52,0.9648,0.8936,0.3091,84.6,12.63,1.17,17.0,12.0,21.23,2.78,29.0,0.2025,0.0801,0.4986,0.1889,0.1146,0.046,0.258,0.235,0.086,0.5436,0.2169,84.6,15.4,0.0,0.0
all52,12,0.25,52,0.966,0.8921,0.3051,88.5,12.37,0.91,16.0,12.0,20.71,2.34,28.0,0.2061,0.0805,0.4986,0.1903,0.1146,0.046,0.258,0.2381,0.0866,0.5436,0.2201,88.5,11.5,0.0,0.0
all52,12,0.27,52,0.9645,0.8902,0.3147,90.4,12.19,0.6,15.0,12.0,20.42,2.03,25.0,0.2085,0.0813,0.4986,0.1966,0.1146,0.046,0.258,0.2402,0.0873,0.5436,0.2201,90.4,9.6,0.0,0.0
all52,12,0.3,52,0.9644,0.891,0.3143,90.4,12.13,0.44,14.0,12.0,20.31,2.02,25.0,0.2109,0.0828,0.4986,0.1966,0.1146,0.046,0.258,0.2424,0.0885,0.5436,0.2201,90.4,9.6,0.0,0.0
all52,12,0.32,52,0.9645,0.8902,0.3158,92.3,12.12,0.43,14.0,12.0,20.27,2.03,25.0,0.2109,0.0827,0.4986,0.1966,0.1146,0.046,0.258,0.2423,0.0884,0.5436,0.2201,92.3,7.7,0.0,0.0
all52,15,0.15,52,0.9675,0.9204,0.2975,38.5,17.94,4.22,34.0,16.0,30.1,7.02,54.0,0.1808,0.0797,0.4971,0.1633,0.1146,0.046,0.258,0.2162,0.0868,0.5423,0.1953,38.5,61.5,0.0,0.0
all52,15,0.18,52,0.9658,0.9211,0.3032,69.2,16.71,3.05,28.0,15.0,28.31,5.27,43.0,0.1835,0.0791,0.4971,0.1709,0.1146,0.046,0.258,0.2185,0.086,0.5423,0.1953,69.2,30.8,0.0,0.0
all52,15,0.2,52,0.9656,0.9164,0.3071,80.8,15.69,1.58,22.0,15.0,26.62,3.45,38.0,0.1872,0.0791,0.4971,0.1768,0.1146,0.046,0.258,0.2217,0.0857,0.5423,0.2014,80.8,19.2,0.0,0.0
