model,floor,se_target,n_scenarios,n_criteria,stop_reason,sd,se_param,se_total,theta_ref,theta_mwle,reach,weak
01-ai/Yi-1.5-6B,10,0.15,10,17,precision,0.1486287351935064,0.0896,0.17354728728856997,0.19678506140948468,0.0896639679656058,True,False
01-ai/Yi-1.5-6B-Chat,10,0.15,10,20,precision,0.1313564694851544,0.0874,0.15777605038662965,1.4000020772311779,0.9798559810826892,True,False
01-ai/Yi-6B,10,0.15,19,35,plateau,0.18221384052124606,0.138,0.22857358482007953,-0.9452756389524437,-1.2139286656903288,False,False
01-ai/Yi-6B-200K,10,0.15,17,29,plateau,0.188699640255593,0.1297,0.22897520440560853,-1.0187709304409684,-1.3998462050261902,False,False
01-ai/Yi-6B-Chat,10,0.15,14,23,plateau,0.16540959802113026,0.1017,0.19417318331199057,0.3980048604872047,0.8021973354427528,False,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,10,0.15,10,17,plateau,0.4378527907811809,0.2032,0.48270623198262996,-4.202602674527077,-4.176762648952183,False,True
BEE-spoke-data/smol_llama-220M-openhermes,10,0.15,10,15,plateau,0.4127124450540235,0.1603,0.44275010141441,-3.8666100312702625,-3.252554228446465,False,False
BSC-LT/salamandra-2b,10,0.15,10,20,plateau,0.23233758208753144,0.1409,0.2717233189299005,-1.8238093175283205,-1.4810933401234974,False,False
BSC-LT/salamandra-2b-instruct,10,0.15,21,37,plateau,0.1674813767517367,0.0821,0.18652190637739355,-1.2565934044275302,-0.953400786345995,False,False
BSC-LT/salamandra-7b,10,0.15,24,43,plateau,0.16606356836393,0.1704,0.23793542976564389,-0.7178730054518736,-1.3152929638680664,False,False
BSC-LT/salamandra-7b-instruct,10,0.15,10,17,precision,0.1480990467158144,0.1069,0.18264976769252397,0.20276356752274996,0.140150210246995,True,False
HuggingFaceTB/SmolLM2-360M,10,0.15,13,21,plateau,0.3118887738096267,0.2173,0.3801235289066865,-1.677996810911666,-1.6490202127499898,False,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,10,0.15,12,18,precision,0.14471063521951716,0.1653,0.21969355462925205,1.9970250013743478,1.500430778786811,True,False
OpenBMB/MiniCPM4-0.5B,10,0.15,21,31,plateau,0.17789310082679352,0.0556,0.18637949276079632,-0.3327150757252768,-0.3252862539116867,False,False
Qwen/Qwen1.5-1.8B,10,0.15,11,17,plateau,0.2147078351846657,0.0733,0.226875173806403,-0.7868242845499819,-0.3632431029739644,False,False
Qwen/Qwen1.5-1.8B-Chat,10,0.15,18,30,precision,0.14673047551623192,0.0702,0.1626587607392222,-0.5489629043353035,-0.19545682865987699,True,False
Qwen/Qwen2-0.5B,10,0.15,17,32,plateau,0.15414196683734022,0.121,0.1959610827192065,-1.468486165842045,-1.2445606479040303,False,False
Qwen/Qwen2.5-0.5B-Instruct,10,0.15,16,31,plateau,0.17483920238985406,0.0908,0.19701113342225193,-0.5408412326480648,-0.8688231535612995,False,False
ai-forever/mGPT,10,0.15,13,21,plateau,0.4262233141899062,0.2004,0.4709845788972581,-4.00741791060614,-3.93551032999751,False,True
allenai/OLMo-1B-hf,10,0.15,14,25,plateau,0.49863726979323464,0.2166,0.5436494153651331,-4.150151379475481,-3.2044094931851923,False,True
allenai/OLMo-2-0425-1B,10,0.15,25,43,plateau,0.1967133422383402,0.1027,0.22190860509357982,-1.2492707921491486,-1.4611831848509231,False,False
allenai/OLMo-2-0425-1B-DPO,10,0.15,17,28,precision,0.14896575526724135,0.097,0.17776331523219197,0.22514974929546167,0.1611479297474051,True,False
allenai/OLMo-2-0425-1B-Instruct,10,0.15,20,33,plateau,0.15706107206363953,0.0877,0.17988738243073019,0.3930375262194632,-0.07441667455258244,False,False
arcee-ai/raspberry-3B,10,0.15,11,18,precision,0.14784604492752357,0.072,0.16444589688013292,1.199927822212961,1.1890954566000984,True,False
google/gemma-2-2b,10,0.15,30,47,plateau,0.1679964422649324,0.1087,0.2000962133916451,-0.9088481085135922,-1.2446319923838847,False,False
google/gemma-2b,10,0.15,14,22,plateau,0.16415389698273772,0.0985,0.19143863741319114,-0.8635749181415346,-0.2403288077674966,False,False
h2oai/h2o-danube-1.8b-chat,10,0.15,17,32,plateau,0.21850121346805162,0.1154,0.24710309647394357,-1.2848590663580741,-0.7679456607503973,False,False
h2oai/h2o-danube2-1.8b-base,10,0.15,16,30,plateau,0.15535261776296883,0.09,0.17953951054240705,-1.2915971851830361,-1.1089707441766425,False,False
h2oai/h2o-danube2-1.8b-chat,10,0.15,19,29,plateau,0.18478563252786082,0.123,0.2219791206143533,-0.6060817704002986,-0.5545464389656631,False,False
ibm-granite/granite-3.0-2b-base,10,0.15,10,13,precision,0.14001307914097172,0.1009,0.17258178446909167,0.7678652965857196,1.3585782476213182,True,False
ibm-granite/granite-3.1-2b-base,10,0.15,11,19,precision,0.1433953832263411,0.0698,0.15948127141024815,0.7953531106038908,1.2123148401587767,True,False
ibm-granite/granite-3.1-2b-instruct,10,0.15,10,17,precision,0.12848424451050452,0.1245,0.1789090581480857,1.6000011880278608,1.3929196471548397,True,False
ibm-granite/granite-7b-instruct,10,0.15,12,17,precision,0.14738383321122728,0.0653,0.1612019984120385,0.265993916053506,0.06358946133996062,True,False
ibm/PowerLM-3b,10,0.15,16,25,precision,0.14761211863036477,0.0665,0.1618999307181596,0.20576469420020596,0.6076074470139037,True,False
meta-llama/Llama-3.2-1B,10,0.15,22,39,plateau,0.15882548444156439,0.0757,0.17594324229164818,-1.4441995122196885,-1.1476975972042267,False,False
meta-llama/Llama-3.2-1B-Instruct,10,0.15,18,28,precision,0.14949328381513852,0.0639,0.16257752583255028,-0.0005778848317209413,-0.22142041316945324,True,False
meta-llama/Llama-3.2-3B-Instruct,10,0.15,15,26,precision,0.14885712043032387,0.0782,0.16814779898294221,1.3766122651320336,0.9581299783642855,True,False
microsoft/phi-1_5,10,0.15,28,42,plateau,0.17451942293138703,0.0732,0.1892492245170488,-0.7685518470793657,-0.8396040157187102,False,False
nvidia/AceInstruct-1.5B,10,0.15,10,17,precision,0.1319233941656383,0.0818,0.15522571284481954,1.2333949625978662,0.9702040950971145,True,False
openbmb/MiniCPM-1B-sft-bf16,10,0.15,12,20,plateau,0.383827432091027,0.1619,0.4165754525000146,-2.2676964735636975,-1.9329143746287438,False,False
openbmb/MiniCPM-2B-sft-bf16,10,0.15,12,21,plateau,0.24041996161708376,0.0901,0.25674845266127705,-0.6237288600396811,-0.6937632043380965,False,False
openlm-research/open_llama_3b,10,0.15,18,27,plateau,0.20193222262148938,0.1305,0.24043059816266052,-1.6359628021783263,-1.8740038873983564,False,False
pankajmathur/orca_mini_3b,10,0.15,22,40,plateau,0.1687475092426953,0.1209,0.20758740779636306,-1.198738742721586,-1.2531037071389495,False,False
pankajmathur/orca_mini_v9_5_3B-Instruct,10,0.15,15,28,precision,0.14979793718628973,0.0868,0.17312903276246766,1.0016997616475993,0.8344558292923522,True,False
stabilityai/stablelm-2-1_6b-chat,10,0.15,10,19,precision,0.14620516551126178,0.1456,0.20633785503919405,0.012220790706554813,0.025694668208738884,True,False
stabilityai/stablelm-2-zephyr-1_6b,10,0.15,10,15,plateau,0.19026264013762792,0.139,0.23562867446926003,-0.3913135101431359,-0.003261155882958422,False,False
stabilityai/stablelm-zephyr-3b,10,0.15,17,25,precision,0.14983727542610742,0.1472,0.21004535012020423,0.21566537807224986,1.1142248814562166,True,False
tiiuae/Falcon3-1B-Instruct,10,0.15,13,22,precision,0.14642793164720902,0.0725,0.1633933571675413,0.8139648836928877,0.7913465815088355,True,False
tiiuae/Falcon3-3B-Base,10,0.15,10,16,precision,0.13690463966366073,0.074,0.15562416380959862,1.399999623842926,0.9967591444738448,True,False
tiiuae/Falcon3-3B-Instruct,10,0.15,13,21,plateau,0.21720413088640408,0.258,0.33725603697208767,2.1999641221002983,2.1160141580335265,False,False
utter-project/EuroLLM-1.7B,10,0.15,34,54,plateau,0.1673290732725457,0.1421,0.2195254626740346,-1.7002049889999085,-1.3635166589389502,False,False
utter-project/EuroLLM-1.7B-Instruct,10,0.15,23,41,plateau,0.1604505907979659,0.0762,0.17762553895038938,-1.00138143224113,-0.9206879339096441,False,False
01-ai/Yi-1.5-6B,10,0.18,10,17,precision,0.1486287351935064,0.0896,0.17354728728856997,0.19678506140948468,0.0896639679656058,True,False
01-ai/Yi-1.5-6B-Chat,10,0.18,10,20,precision,0.1313564694851544,0.0874,0.15777605038662965,1.4000020772311779,0.9798559810826892,True,False
01-ai/Yi-6B,10,0.18,19,35,plateau,0.18221384052124606,0.138,0.22857358482007953,-0.9452756389524437,-1.2139286656903288,False,False
01-ai/Yi-6B-200K,10,0.18,17,29,plateau,0.188699640255593,0.1297,0.22897520440560853,-1.0187709304409684,-1.3998462050261902,False,False
01-ai/Yi-6B-Chat,10,0.18,11,19,precision,0.16025119935898668,0.1017,0.18979814776755252,0.3980048604872047,0.8959827117136608,True,False
