rank,model,theta_mwle,sd,se_param,se_total,n_scenarios,n_criteria,stop_reason,weak
1,tiiuae/Falcon3-3B-Instruct,2.596957267119856,0.1747149783273122,0.2720336094787725,0.3233072970688451,15,21,precision,False
2,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.4778943178405823,0.1677813764454456,0.270724259898095,0.3184999453364154,15,22,precision,False
3,ibm-granite/granite-3.1-2b-instruct,1.6335101172184858,0.1064736388891375,0.2997638129020318,0.3181115831023114,15,22,precision,True
4,nvidia/AceInstruct-1.5B,1.3918536167925732,0.1043166794621353,0.0962141656615189,0.141912421189789,15,23,precision,False
5,arcee-ai/raspberry-3B,1.140251541028855,0.1090571091567126,0.100170803838074,0.1480798534547661,15,22,precision,False
6,pankajmathur/orca_mini_v9_5_3B-Instruct,1.063142024911242,0.211215579465215,0.0951176521761458,0.2316449627432654,18,27,precision,False
7,tiiuae/Falcon3-3B-Base,0.9450494448918776,0.1227829263491613,0.09296923002766,0.1540094955994581,15,22,precision,False
8,ibm-granite/granite-3.1-2b-base,0.9333436395279536,0.1350915725500808,0.0906489945273737,0.1626867332725,15,23,precision,False
9,tiiuae/Falcon3-1B-Instruct,0.7291073770952735,0.1202824839426927,0.1221765073570481,0.1714496278601705,15,25,precision,False
10,ibm-granite/granite-3.0-2b-base,0.6978102789938303,0.1524011193619999,0.161370261294075,0.2219604974154378,15,26,precision,False
11,meta-llama/Llama-3.2-3B-Instruct,0.6582440361553427,0.1656240997829055,0.0879110514003386,0.1875091874741363,15,26,precision,False
12,01-ai/Yi-1.5-6B-Chat,0.55597150014804,0.165727984203606,0.0861227982935515,0.1867696472505702,15,20,precision,False
13,ibm-granite/granite-7b-instruct,0.5516764091382116,0.1332469098575396,0.1314337286167654,0.1871618657865133,15,22,precision,False
14,01-ai/Yi-6B-Chat,0.4855918926991771,0.1585296605604104,0.0921074028202443,0.1833451033752734,15,22,precision,False
15,01-ai/Yi-1.5-6B,0.3714860924059562,0.1556064432137083,0.110235530902507,0.1906967158683615,15,22,precision,False
16,allenai/OLMo-2-0425-1B-Instruct,0.3010345371440568,0.1809554222539021,0.1134662798355811,0.2135871285981775,15,22,precision,False
