model,theta_cat,n_obs_criteria,pred_pass_rate,actual_pass_rate,abs_err,weak
01-ai/Yi-1.5-6B,0.0779865452127236,1244,0.225,0.2347,0.0097,False
01-ai/Yi-1.5-6B-Chat,1.0594691687057354,1244,0.3568,0.4606,0.1038,False
01-ai/Yi-6B,-1.2022225314297312,1244,0.1116,0.1085,0.0031,False
01-ai/Yi-6B-200K,-1.3289125872114314,1244,0.1034,0.1238,0.0204,False
01-ai/Yi-6B-Chat,0.7928342240721635,1244,0.3163,0.258,0.0583,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-4.683137557151833,1244,0.0174,0.0105,0.007,True
BEE-spoke-data/smol_llama-220M-openhermes,-2.771711998900566,1244,0.043,0.0145,0.0285,False
BSC-LT/salamandra-2b,-1.6455230500538836,1244,0.0852,0.0732,0.0121,False
BSC-LT/salamandra-2b-instruct,-0.924682358360708,1244,0.1314,0.1029,0.0285,False
BSC-LT/salamandra-7b,-0.8722529831224172,1244,0.1354,0.1511,0.0157,False
BSC-LT/salamandra-7b-instruct,0.0383027968585623,1244,0.2205,0.2428,0.0222,False
HuggingFaceTB/SmolLM2-360M,-1.5093842352914768,1244,0.0926,0.0707,0.0219,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.5626118662014274,1244,0.4409,0.5571,0.1162,False
OpenBMB/MiniCPM4-0.5B,-0.3238637922763409,1244,0.1828,0.1825,0.0004,False
Qwen/Qwen1.5-1.8B,-0.3601180793036302,1244,0.1794,0.1254,0.054,False
Qwen/Qwen1.5-1.8B-Chat,-0.2234284639993566,1244,0.1927,0.1479,0.0448,False
Qwen/Qwen2-0.5B,-1.2205911942122394,1244,0.1104,0.086,0.0244,False
Qwen/Qwen2.5-0.5B-Instruct,-0.8984066948853598,1244,0.1334,0.1736,0.0402,False
ai-forever/mGPT,-4.026866774595389,1244,0.0227,0.0064,0.0163,True
allenai/OLMo-1B-hf,-3.2145630971775137,1244,0.0336,0.0032,0.0304,True
allenai/OLMo-2-0425-1B,-1.3270662566060345,1244,0.1035,0.1061,0.0026,False
allenai/OLMo-2-0425-1B-DPO,0.1841964976510986,1244,0.2374,0.2476,0.0102,False
allenai/OLMo-2-0425-1B-Instruct,-0.1765771280207671,1244,0.1975,0.258,0.0606,False
arcee-ai/raspberry-3B,1.1961298649888412,1244,0.3791,0.3802,0.0011,False
google/gemma-2-2b,-1.2704439061830402,1244,0.1071,0.1109,0.0038,False
google/gemma-2b,-0.2883526709323162,1244,0.1863,0.1158,0.0705,False
h2oai/h2o-danube-1.8b-chat,-0.6729031076574449,1244,0.1515,0.0892,0.0623,False
h2oai/h2o-danube2-1.8b-base,-1.0881857721251198,1244,0.1195,0.1053,0.0141,False
h2oai/h2o-danube2-1.8b-chat,-0.5334913435855527,1244,0.1635,0.1431,0.0204,False
ibm-granite/granite-3.0-2b-base,1.303520063454098,1244,0.397,0.2822,0.1149,False
ibm-granite/granite-3.1-2b-base,1.188028990605044,1244,0.3777,0.3151,0.0626,False
ibm-granite/granite-3.1-2b-instruct,1.4077940767187187,1244,0.4147,0.5113,0.0966,False
ibm-granite/granite-7b-instruct,0.0112914226091488,1244,0.2175,0.2387,0.0212,False
ibm/PowerLM-3b,0.5801268866254596,1244,0.2869,0.2412,0.0458,False
meta-llama/Llama-3.2-1B,-1.1072365347568704,1244,0.1181,0.0924,0.0257,False
meta-llama/Llama-3.2-1B-Instruct,-0.3216137126038312,1244,0.183,0.2098,0.0268,False
meta-llama/Llama-3.2-3B-Instruct,0.9581299783642856,1244,0.3409,0.4212,0.0803,False
microsoft/phi-1_5,-1.0725369683041646,1244,0.1206,0.1158,0.0048,False
nvidia/AceInstruct-1.5B,1.1451404057676866,1244,0.3707,0.41,0.0393,False
openbmb/MiniCPM-1B-sft-bf16,-1.882646351467576,1244,0.0738,0.0434,0.0304,False
openbmb/MiniCPM-2B-sft-bf16,-0.7011557982406497,1244,0.1491,0.1616,0.0124,False
openlm-research/open_llama_3b,-1.822173619584957,1244,0.0766,0.0683,0.0082,False
pankajmathur/orca_mini_3b,-1.195650834648668,1244,0.112,0.1093,0.0027,False
pankajmathur/orca_mini_v9_5_3B-Instruct,0.8344558292923522,1244,0.3224,0.3416,0.0193,False
stabilityai/stablelm-2-1_6b-chat,-0.0467603894140556,1244,0.2112,0.2074,0.0038,False
stabilityai/stablelm-2-zephyr-1_6b,-0.0955457797582377,1244,0.2059,0.1793,0.0267,False
stabilityai/stablelm-zephyr-3b,1.2896790297700478,1244,0.3947,0.2339,0.1608,False
tiiuae/Falcon3-1B-Instruct,0.7821401537383796,1244,0.3148,0.3256,0.0108,False
tiiuae/Falcon3-3B-Base,1.1035965163057808,1244,0.3639,0.4236,0.0597,False
tiiuae/Falcon3-3B-Instruct,2.447792103181798,1244,0.6013,0.5924,0.0088,False
utter-project/EuroLLM-1.7B,-1.4342237045097948,1244,0.0969,0.0547,0.0423,False
utter-project/EuroLLM-1.7B-Instruct,-0.8171910697344348,1244,0.1397,0.1198,0.02,False
