rank,model,theta,theta_mwle,theta_debiased,se_ability,se_param,se_judge,bias_band_low,bias_band_high,observed_pass_rate,se_total,judge
1,tiiuae/Falcon3-3B-Instruct,2.400198437899983,2.4439702987907688,2.5232073619104365,0.006297471699772902,0.07622377890948907,0.07423080207787451,2.4023628444935388,2.600009185601451,0.592443729903537,0.1065829939445158,gemini-3-flash-preview
2,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.399982862722345,2.3874172993825282,2.4557654402806866,0.001881671656194547,0.06557301874841356,0.07732835862696075,2.400011043047271,2.5999371463928314,0.5570739549839229,0.10140530816452055,gemini-3-flash-preview
3,ibm-granite/granite-3.1-2b-instruct,2.0679131239297646,2.099525149946387,2.2129809631991733,0.09471237309589654,0.033628224381152046,0.046820570454276456,2.1769532263422526,2.3792765876757844,0.5112540192926045,0.11087586261287567,gemini-3-flash-preview
4,01-ai/Yi-1.5-6B-Chat,1.4300955250858471,1.48181137227628,1.713688281319769,0.07150807014875733,0.03870394629987767,0.11387316791108877,1.5871294249202608,1.9915644714875496,0.46061093247588425,0.13992318580453503,gemini-3-flash-preview
5,tiiuae/Falcon3-3B-Base,1.4001234007869834,1.4138553127406228,1.6747201294372367,0.005963957660507477,0.027403724972669453,0.11760498169103117,1.4444490096811395,1.9873789121307575,0.42363344051446944,0.12090270738036353,gemini-3-flash-preview
6,meta-llama/Llama-3.2-3B-Instruct,1.3997495599293204,1.3856200891122665,1.643915713895502,0.007496516519249594,0.04640402678441932,0.11617668562069128,1.4057326699641786,1.9529414291743372,0.4212218649517685,0.12532579041658354,gemini-3-flash-preview
7,nvidia/AceInstruct-1.5B,1.3173774086964098,1.307959979419555,1.5680951079047112,0.09847860896409702,0.06843212585843586,0.13390100296326882,1.3987744978529806,1.8605933836635322,0.409967845659164,0.17975113592847655,gemini-3-flash-preview
8,arcee-ai/raspberry-3B,1.2002062085918608,1.219222670422577,1.5087913251280443,0.007251671357593628,0.0053966261346827474,0.13589166555079493,1.2831154788935004,1.8216304047639682,0.38022508038585207,0.13619197875530403,gemini-3-flash-preview
9,pankajmathur/orca_mini_v9_5_3B-Instruct,1.0027644430242109,1.0469111838926277,1.3732850762288233,0.023452259509619405,0.056603211531901586,0.14993684539013097,1.1695621682723134,1.7498426525695374,0.34163987138263663,0.16197218785142023,gemini-3-flash-preview
10,ibm-granite/granite-3.1-2b-base,0.9532273998875034,0.9235942816613338,1.326224917557102,0.08465844039958928,0.042559569411689396,0.1641759299265394,1.0064815155619253,1.7278402961034351,0.31511254019292606,0.1895576546769958,gemini-3-flash-preview
11,tiiuae/Falcon3-1B-Instruct,0.9199873885603309,0.9116657995642083,1.2785793787313158,0.0979831807282394,0.04207152440511898,0.15225759813566364,1.001405771915384,1.657761382176804,0.32556270096463025,0.18588462298273786,gemini-3-flash-preview
12,ibm-granite/granite-3.0-2b-base,0.7586259642035521,0.7294396518350561,1.2067574307910363,0.08102290531400391,0.042937993889089573,0.18290096260688538,0.8565369986580016,1.6405622746918782,0.2821543408360129,0.20459996243222242,gemini-3-flash-preview
13,01-ai/Yi-6B-Chat,0.2941407398224833,0.29982281562750723,0.9994010830993454,0.09987559824113944,0.03993288602727129,0.22355757982001595,0.5273249844121191,1.5541972358936413,0.2580385852090032,0.24808821416076043,gemini-3-flash-preview
14,allenai/OLMo-2-0425-1B-Instruct,0.24058820001609837,0.27235953359828785,0.963560208678573,0.08066124945757232,0.04834256898328595,0.23021230113960622,0.4767348306206521,1.5307575435193084,0.2580385852090032,0.24867839619869114,gemini-3-flash-preview
15,ibm/PowerLM-3b,0.21466769217539258,0.246950972458833,0.9763495260193598,0.05337235222851946,0.05677517690478157,0.2301868864933354,0.4816965647211645,1.542209056695364,0.24115755627009647,0.24301858243449218,gemini-3-flash-preview
16,allenai/OLMo-2-0425-1B-DPO,0.19815990896434993,0.19539216311716587,0.9427224896482117,0.031614022001781775,0.07130830036244122,0.24114685907794634,0.418846220303613,1.516739811266697,0.24758842443729903,0.2534484715496785,gemini-3-flash-preview
17,01-ai/Yi-1.5-6B,0.19269276909550617,0.1758419360184944,1.025864489983542,0.0408805272272096,0.06713886077231923,0.24471640894642618,0.4588230262183561,1.5885181056694284,0.2347266881028939,0.2570310583174998,gemini-3-flash-preview
18,ibm-granite/granite-7b-instruct,0.16952933079949287,0.14219769409131378,0.9311497469316053,0.0722492525593345,0.05800325003513374,0.25108844512024414,0.393973836116434,1.522189898269328,0.2387459807073955,0.2676373269611745,gemini-3-flash-preview
19,BSC-LT/salamandra-7b-instruct,0.10014574166352708,0.10249061472499739,0.9002425253825541,0.10009236963643803,0.04265280394018412,0.25613007654336545,0.35508648761656386,1.5131469976906677,0.2427652733118971,0.27828108137907503,gemini-3-flash-preview
20,stabilityai/stablelm-zephyr-3b,0.07520473364616682,0.09052652706882211,0.8945012003549513,0.09702718821777831,0.03420569962658032,0.2644723151924314,0.3368972799917146,1.5118761932177032,0.23392282958199356,0.28377792487019987,gemini-3-flash-preview
21,stabilityai/stablelm-2-1_6b-chat,-0.05974342131751189,-0.07512338735043461,0.8342464246467391,0.09181629314973502,0.06074861612987645,0.28071782106076887,0.20870753567885006,1.4665223043875684,0.20739549839228297,0.3015346101371433,gemini-3-flash-preview
22,meta-llama/Llama-3.2-1B-Instruct,-0.14067375562714923,-0.1204364199522951,0.8456849398190026,0.09198868476201894,0.047574390423461115,0.2889763853895785,0.20406700448255194,1.4915286997679291,0.20980707395498394,0.30697327580953393,gemini-3-flash-preview
23,OpenBMB/MiniCPM4-0.5B,-0.24795595223159786,-0.26430994211337555,0.7985757370019675,0.0864065481390597,0.06834347940949625,0.30922843533428823,0.09972929537374889,1.4800797127263934,0.182475884244373,0.3282668852601431,gemini-3-flash-preview
24,stabilityai/stablelm-2-zephyr-1_6b,-0.3830580175991281,-0.36685361121495913,0.7441908600664371,0.06584309909089078,0.05935057066670483,0.32229974856023214,0.009591459999839135,1.444671241383015,0.17926045016077172,0.3342677547391391,gemini-3-flash-preview
25,Qwen/Qwen2.5-0.5B-Instruct,-0.44672408228743926,-0.4615717260019464,0.7560781637698123,0.08696719012808872,0.06689940150406345,0.32880468791630996,-0.01341909921242839,1.4548844398321776,0.17363344051446947,0.34662854019269534,gemini-3-flash-preview
26,openbmb/MiniCPM-2B-sft-bf16,-0.685533640701852,-0.6924431152828789,0.688609564145243,0.10072779349932333,0.07617535298271577,0.35760631272189747,-0.17786700338149547,1.4340775856162111,0.16157556270096463,0.37925063966173506,gemini-3-flash-preview
27,Qwen/Qwen1.5-1.8B-Chat,-0.7654172494359069,-0.7570654119501911,0.6752436634098277,0.08462469250697156,0.07774246633471175,0.35799021536084236,-0.192403344959951,1.4303962270733321,0.14790996784565916,0.3759816803353663,gemini-3-flash-preview
28,h2oai/h2o-danube2-1.8b-chat,-0.8276715481471719,-0.8409727636520986,0.6228476304345084,0.08118626324665977,0.08210836053082216,0.37833134982591676,-0.2824684613599248,1.4222995352500387,0.14308681672025725,0.39555985952838496,gemini-3-flash-preview
29,BSC-LT/salamandra-7b,-0.9400314790551102,-0.9371177553283386,0.6683386496639601,0.09666333914738828,0.08533431697278554,0.3706325111728554,-0.277058278646551,1.440088417857577,0.15112540192926044,0.3924209539851709,gemini-3-flash-preview
30,Qwen/Qwen1.5-1.8B,-1.066842187907088,-1.0799136096108142,0.6009934008268245,0.09893756581683404,0.08817865030078897,0.39728638993379983,-0.3990154003499589,1.4245764218387296,0.12540192926045016,0.4188085385056762,gemini-3-flash-preview
31,utter-project/EuroLLM-1.7B-Instruct,-1.0931846765129545,-1.1014630699605807,0.5643963702583199,0.10322738752114548,0.08220568321216166,0.4048204607257837,-0.4503268225296197,1.4133710357829152,0.1197749196141479,0.4257854780391821,gemini-3-flash-preview
32,microsoft/phi-1_5,-1.107033803013277,-1.1124228828420746,0.5814741393871907,0.10343631646638733,0.08429800327665851,0.4030358533172185,-0.42671102056490967,1.4169459850158197,0.1157556270096463,0.42455049638376896,gemini-3-flash-preview
