model,fold,scenarios_administered,criteria_administered,theta_ref_overall,theta_online_overall,theta_batch_overall,theta_mwle_overall,theta_mle_overall,obs_pass_rate,pred_pass_rate
01-ai/Yi-1.5-6B,3,8,79,-0.5380909472912593,-1.1033771346744978,-1.1033771346744996,-1.1174921298719982,-1.1172673466289278,0.20099105632100556,0.1332255080597373
01-ai/Yi-1.5-6B-Chat,2,8,65,1.6730276209966157,0.8282693162512256,0.8282693162512225,0.8458272127652436,0.8403149016018967,0.5573487741776518,0.3736277338089031
01-ai/Yi-6B,1,16,160,-1.5270305751652182,-2.017961601148273,-2.0179616011482633,-2.0420413097865513,-2.0432982369984494,0.11045245584321316,0.07033301290563233
01-ai/Yi-6B-200K,3,11,115,-2.2908452378527757,-1.5748142610103313,-1.574814261010325,-1.5771214915471365,-1.5861883624520152,0.06574812666183225,0.099431835906897
01-ai/Yi-6B-Chat,3,8,57,0.6519890850012034,1.3046323786181129,1.304632378618112,1.320648495701815,1.3193946138054777,0.36177928200169224,0.4678954733858198
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,40,372,-4.778169859191563,-4.033634107376689,-4.03363410737667,-4.2031050927134395,-4.234132002381522,0.007396072430502423,0.020815355662282518
BEE-spoke-data/smol_llama-220M-openhermes,0,40,390,-3.903734207828694,-3.187967104942233,-3.1879671049422544,-3.2145915004691243,-3.237803551072292,0.008168739331870276,0.02918206839676942
BSC-LT/salamandra-2b,0,10,107,-2.0320491451936094,-1.9591697473840615,-1.9591697473840557,-1.9961438985919076,-1.9903274862157843,0.05900999756157035,0.06294469491633754
BSC-LT/salamandra-2b-instruct,0,8,84,-0.6065952676468912,-0.2944540521360009,-0.2944540521360025,-0.286097673859622,-0.291002639238344,0.13984394050231652,0.19273247707979818
BSC-LT/salamandra-7b,3,15,151,-1.4491740044127173,-1.790732704065889,-1.7907327040658865,-1.7972778085135102,-1.8067186264380044,0.1166445062250695,0.08656306193185105
BSC-LT/salamandra-7b-instruct,2,8,92,0.4185833593846462,0.1177692222500604,0.11776922225006071,0.11651389135608597,0.11736679101372886,0.3145250708389799,0.25300696971911496
HuggingFaceTB/SmolLM2-360M,1,13,119,-2.8812530338099673,-2.4814309673110433,-2.481430967311046,-2.5043886756673337,-2.509829012257203,0.030002419549963705,0.051870775091542094
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,8,50,2.40261392572633,2.2619511993609542,2.2619511993609493,2.2701113413796072,2.2764073005003347,0.7049222137209895,0.6176110230239917
OpenBMB/MiniCPM4-0.5B,4,8,80,-0.20031489927879573,-0.7337842389183359,-0.7337842389183327,-0.7356232204845441,-0.7396548324074921,0.17890844172405,0.13782284535010023
Qwen/Qwen1.5-1.8B,1,17,153,-2.3321626000152036,-2.871033381964189,-2.871033381964184,-2.8865401834498248,-2.90034873539161,0.03822888942656666,0.04060797096055309
Qwen/Qwen1.5-1.8B-Chat,3,8,80,0.16236292697987764,0.36932488441117917,0.36932488441118044,0.3654670275144996,0.36872808183180944,0.2636605415860735,0.31504865639363483
Qwen/Qwen2-0.5B,4,10,108,-2.113029390527048,-1.2340719819670558,-1.23407198196705,-1.2389841178978112,-1.2449318563589533,0.04361132364192808,0.10081248163780528
Qwen/Qwen2.5-0.5B-Instruct,4,8,88,0.12576719881372836,-0.09728191760920603,-0.09728191760920621,-0.10016345471772044,-0.09913405887385705,0.20594236164243815,0.2019129851368604
ai-forever/mGPT,3,40,390,-5.651145303636935,-4.8157554175464865,-4.815755417546477,-5.231717564511478,-5.292213155770842,0.0025380710659898475,0.01690790509194051
allenai/OLMo-1B-hf,3,40,392,-5.750882138948878,-5.315572506123289,-5.31557250612328,-6.063208832504699,-6.150806245008601,0.0022963500120860526,0.013894261135373006
allenai/OLMo-2-0425-1B,3,32,317,-2.6484681475343805,-2.807394794434191,-2.8073947944341837,-2.830884146567502,-2.83927477009417,0.04946782776971456,0.04645909917852394
allenai/OLMo-2-0425-1B-DPO,4,8,52,1.5519980004201996,1.379899172729719,1.3798991727297227,1.3929935833118607,1.3922416853530828,0.47022063512307105,0.43553281395793075
allenai/OLMo-2-0425-1B-Instruct,4,8,51,1.5116185631415215,1.4938700989453668,1.4938700989453664,1.5031407805289803,1.505099998547837,0.46225452690640145,0.4578973029444019
arcee-ai/raspberry-3B,0,8,85,1.1518320939174218,0.36996703567149725,0.3699670356714954,0.36330750021688885,0.36755258236599314,0.41880029261155816,0.2925662190807324
google/gemma-2-2b,2,16,153,-1.5292340265457234,-2.0658428283936705,-2.065842828393672,-2.0926008227942425,-2.0938388579542893,0.09079709252186768,0.058311347155313116
google/gemma-2b,1,12,115,-2.2701015537223266,-2.33653205566229,-2.3365320556622926,-2.3631057350555196,-2.3660491213054495,0.059037019114444714,0.05695149976475314
h2oai/h2o-danube-1.8b-chat,3,8,86,-0.09995210828938389,0.25124862401555503,0.25124862401555514,0.25046236433816044,0.25180400524910646,0.23108532753202804,0.2976071500362221
h2oai/h2o-danube2-1.8b-base,4,24,227,-1.0716177050973772,-0.20886879928824337,-0.20886879928824392,-0.20060785212549956,-0.20570513672517438,0.11298138230043356,0.19037622668399615
h2oai/h2o-danube2-1.8b-chat,1,8,93,-0.37619397172912483,-1.1191980762826697,-1.119198076282672,-1.1257309289868,-1.1275300306053884,0.19782214156079855,0.12745042279381674
ibm-granite/granite-3.0-2b-base,2,8,72,0.42770209494543254,0.32026745535135864,0.32026745535135787,0.31534607148890315,0.3191311973751999,0.3342367869902673,0.2850181216699157
ibm-granite/granite-3.1-2b-base,3,8,93,0.21243071402162383,0.058925493934868366,0.05892549393486826,0.059632016024523546,0.059419848632441936,0.3158467303275716,0.2691582568223564
ibm-granite/granite-3.1-2b-instruct,2,8,62,2.0990883012339965,1.499643118176416,1.4996431181764143,1.495860992048895,1.5052727333456337,0.6492546507330295,0.49239480055400364
ibm-granite/granite-7b-instruct,1,8,88,0.30390182577451624,0.8191005431888347,0.8191005431888342,0.8264288113498932,0.8268125541006894,0.2902250181466247,0.36979157480538266
ibm/PowerLM-3b,0,8,90,0.15187859328668807,-0.06149406535654877,-0.06149406535654811,-0.05800766323367479,-0.059866128324821286,0.28724701292367716,0.2255424872000317
meta-llama/Llama-3.2-1B,0,23,246,-2.3099782687036035,-2.3820954264432306,-2.3820954264432386,-2.39701278498134,-2.406014732699622,0.05047549378200439,0.04824081587043601
meta-llama/Llama-3.2-1B-Instruct,1,8,91,0.7652183207563836,0.5658036110840725,0.5658036110840735,0.5654474993233748,0.5683184005058568,0.33474473747882894,0.3307064105783292
meta-llama/Llama-3.2-3B-Instruct,0,8,68,2.0138167096256683,1.614851535118773,1.6148515351187742,1.624636066323864,1.6263254471307869,0.5902218970982687,0.5042165162102924
microsoft/phi-1_5,2,13,134,-1.6510393848074787,-1.406843118647856,-1.4068431186478612,-1.4144004159469399,-1.4202216545150796,0.0677673730901922,0.09110642409390372
nvidia/AceInstruct-1.5B,1,8,80,1.5508415053876448,1.097988226382961,1.0979882263829654,1.1107999528917556,1.1089815448279545,0.47138535995160313,0.41403677077194834
openbmb/MiniCPM-1B-sft-bf16,1,16,154,-2.915673407102557,-2.7913204131087,-2.791320413108714,-2.805383090760896,-2.818561947617231,0.023348657149770143,0.04270557351793112
openbmb/MiniCPM-2B-sft-bf16,0,8,76,-0.18772377406350887,0.26373484436841743,0.26373484436841704,0.2612143591158342,0.2630750319272077,0.16837356742257986,0.2760771491244327
openlm-research/open_llama_3b,2,20,202,-2.633864487817104,-2.4828087303353246,-2.482808730335324,-2.499086389314364,-2.5080295387779286,0.03759398496240601,0.04474066486437104
pankajmathur/orca_mini_3b,0,8,77,-0.7170885462498843,-0.14156265494096865,-0.1415626549409685,-0.14194545081202936,-0.1420966480782186,0.12618873445501097,0.21299618422064587
pankajmathur/orca_mini_v9_5_3B-Instruct,4,8,47,1.602686238438269,1.3485478318505728,1.3485478318505715,1.3719989430999213,1.3671800083391965,0.4973221117061974,0.4313033470980886
stabilityai/stablelm-2-1_6b-chat,2,8,61,0.8004497274016251,0.8226683415850662,0.822668341585064,0.8444606414277879,0.8373169384898295,0.3588764321793766,0.3733896404472665
stabilityai/stablelm-2-zephyr-1_6b,0,8,75,0.5033628751613571,0.6189003622023438,0.6189003622023436,0.6103222534811961,0.6171711918158482,0.2982199463545477,0.3325164865413385
stabilityai/stablelm-zephyr-3b,2,8,72,1.039524426374886,0.9616901509157983,0.9616901509157993,0.9717948516009278,0.9696447098454302,0.4083292262198127,0.3958780364358472
tiiuae/Falcon3-1B-Instruct,1,8,85,0.8032624378504981,0.7716104373872001,0.7716104373872028,0.7768718232583859,0.7786560187438426,0.3568836196467457,0.36226312600473753
tiiuae/Falcon3-3B-Base,1,8,96,0.37967491051100477,-0.18564805419631583,-0.18564805419631736,-0.1865392812907621,-0.18698337346000302,0.30332728372655776,0.2255368551392181
tiiuae/Falcon3-3B-Instruct,4,8,58,1.9497439543880384,1.801194835363261,1.8011948353632699,1.8157642062087174,1.8150743258799757,0.5974241264983423,0.5217287836475103
utter-project/EuroLLM-1.7B,2,24,256,-2.2649009259745094,-2.2810388513627347,-2.281038851362734,-2.299841396655268,-2.3068725516122153,0.044351361340396696,0.05091545177712185
utter-project/EuroLLM-1.7B-Instruct,0,8,86,-0.13952787609324652,0.031368289923548204,0.0313682899235483,0.030014087359373654,0.030754980458565395,0.18670731707317073,0.23914666173889643
