model,n_admin,theta_overall,se_posterior_overall,se_param_overall,se_total_overall,bar_inflation_overall
01-ai/Yi-1.5-6B,8345,-0.39928398009799404,0.008434868046466211,0.017210515886001254,0.019166346966065242,2.272275850728333
01-ai/Yi-1.5-6B-Chat,8345,2.0999996517325443,0.00018665589460573444,0.0038513382104839538,0.00385585871558137,20.657578072880803
01-ai/Yi-6B,8345,-1.3305051284589549,0.046215427814602944,0.04061792285922272,0.06152789144351156,1.3313279645562484
01-ai/Yi-6B-200K,8345,-2.168333197681539,0.052536883403524255,0.055641417373060324,0.07652510336509584,1.4565976968470578
01-ai/Yi-6B-Chat,8345,0.8279842426247845,0.04489216450772663,0.040172982410851155,0.06024263398932144,1.3419409522780474
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,8345,-5.322923288621515,0.21618883564611777,0.09052203699585844,0.2343754505913614,1.0841237471439715
BEE-spoke-data/smol_llama-220M-openhermes,8345,-4.643318777198102,0.16462977838498388,0.0924461220445225,0.18881008821606873,1.1468768898816082
BSC-LT/salamandra-2b,8345,-2.192010063572041,0.04874108296626154,0.05361853460050794,0.07246130292390454,1.4866576307724242
BSC-LT/salamandra-2b-instruct,8345,-0.8044782899206281,0.020745471758328696,0.03956001189348655,0.044669554950641836,2.1532195300744763
BSC-LT/salamandra-7b,8345,-1.2109178037017767,0.03166982881448846,0.040699666033711286,0.05156976703839795,1.628356355838765
BSC-LT/salamandra-7b-instruct,8345,0.3091526312688042,0.02883561133887084,0.0361521164833503,0.04624357260757592,1.6036966258190226
HuggingFaceTB/SmolLM2-360M,8345,-2.839972329256664,0.06909103520066372,0.07771723616010648,0.10398817212291557,1.5050892177385788
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,8345,2.6999999990605605,9.84334210545822e-06,5.015796450448345e-06,1.1047605977650403e-05,1.1223429866898975
OpenBMB/MiniCPM4-0.5B,8345,-0.33565506629636077,0.0478980483720844,0.037042982868195025,0.06055085150208812,1.2641611414250844
Qwen/Qwen1.5-1.8B,8345,-2.31795787831659,0.052580062706365255,0.06189415873002893,0.08121299082722738,1.5445586529777164
Qwen/Qwen1.5-1.8B-Chat,8345,0.2993655336464299,0.007940045412716654,0.013739342428700004,0.015868643657511467,1.9985582994395086
Qwen/Qwen2-0.5B,8345,-2.308450817493324,0.05141384497306144,0.06668959156393893,0.08420739324951812,1.6378349702038242
Qwen/Qwen2.5-0.5B-Instruct,8345,-0.10004648509800089,0.0021569031017258764,0.017443413751275186,0.01757625996304137,8.148840784260303
ai-forever/mGPT,8345,-6.22230119264651,0.29538490920365423,0.10362481057345672,0.3130340971070657,1.0597497954482271
allenai/OLMo-1B-hf,8345,-6.751891577255769,0.345462676369947,0.09170249381283128,0.3574266472105558,1.0346317320479417
allenai/OLMo-2-0425-1B,8345,-2.406736615999648,0.054011227508292695,0.06302650394022424,0.08300333063124428,1.5367791931501693
allenai/OLMo-2-0425-1B-DPO,8345,1.3999930180169213,0.0008397509609318056,0.03664284113300771,0.03665246223618855,43.646823810142706
allenai/OLMo-2-0425-1B-Instruct,8345,1.3001094367041464,0.0033063854694989525,0.01842875658197932,0.01872301402100527,5.66268337243889
