model,regime,n_admin_criteria,SE_posterior,SE_post_ci_lo,SE_post_ci_hi,SE_param,SE_total,SE_total_ci_lo,SE_total_ci_hi,theta,hit_cap
01-ai/Yi-1.5-6B,full_bank,8345,0.00803,0.00635,0.0097,0.01721,0.01899,0.01413,0.02385,-0.3770184116256566,False
01-ai/Yi-1.5-6B-Chat,full_bank,8345,0.00118,0.00061,0.00174,0.00175,0.00211,0.0006,0.00362,2.0955135343204754,False
01-ai/Yi-6B,full_bank,8345,0.02758,0.02559,0.02958,0.04187,0.05014,0.047,0.05328,-1.339212544141711,False
01-ai/Yi-6B-200K,full_bank,8345,0.03715,0.03589,0.0384,0.06061,0.07109,0.06594,0.07624,-2.1667106211211324,False
01-ai/Yi-6B-Chat,full_bank,8344,0.02487,0.02273,0.02702,0.04043,0.04747,0.04697,0.04796,0.8474371662549505,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,full_bank,8345,0.04973,0.04927,0.0502,0.09788,0.10979,0.10077,0.1188,-5.322923288621569,False
BEE-spoke-data/smol_llama-220M-openhermes,full_bank,8345,0.04948,0.04904,0.04992,0.08651,0.09966,0.09212,0.10719,-4.643318777198033,False
BSC-LT/salamandra-2b,full_bank,8345,0.03685,0.03563,0.03807,0.05582,0.06688,0.06254,0.07123,-2.1907692694210983,False
BSC-LT/salamandra-2b-instruct,full_bank,8345,0.0256,0.02326,0.02794,0.03879,0.04648,0.04538,0.04757,-0.8234981964506087,False
BSC-LT/salamandra-7b,full_bank,8344,0.02875,0.02677,0.03072,0.03931,0.0487,0.04811,0.04929,-1.2247051998194851,False
BSC-LT/salamandra-7b-instruct,full_bank,8345,0.02016,0.01784,0.02248,0.03631,0.04153,0.03892,0.04414,0.3433358880778636,False
HuggingFaceTB/SmolLM2-360M,full_bank,8345,0.04376,0.04304,0.04449,0.07388,0.08587,0.07987,0.09187,-2.840028764630483,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,full_bank,8345,6e-05,0.0,0.00015,7e-05,9e-05,0.0,0.00022,2.699102908228435,False
OpenBMB/MiniCPM4-0.5B,full_bank,8345,0.02094,0.01866,0.02322,0.03569,0.04138,0.03875,0.044,-0.3475602547860545,False
Qwen/Qwen1.5-1.8B,full_bank,8345,0.03968,0.03851,0.04085,0.06294,0.0744,0.0694,0.0794,-2.31901997633977,False
Qwen/Qwen1.5-1.8B-Chat,full_bank,8343,0.0056,0.00429,0.00691,0.01018,0.01162,0.00717,0.01608,0.2702534726036077,False
Qwen/Qwen2-0.5B,full_bank,8345,0.03923,0.03814,0.04031,0.0623,0.07362,0.06808,0.07916,-2.308928293133601,False
Qwen/Qwen2.5-0.5B-Instruct,full_bank,8345,0.01198,0.01,0.01396,0.02322,0.02613,0.02159,0.03066,-0.1122656765899096,False
ai-forever/mGPT,full_bank,8345,0.05031,0.04988,0.05075,0.09478,0.10731,0.0993,0.11531,-6.2223011432363045,False
allenai/OLMo-1B-hf,full_bank,8345,0.05054,0.0501,0.05099,0.09834,0.11057,0.10122,0.11992,-6.751778593273681,False
allenai/OLMo-2-0425-1B,full_bank,8339,0.03986,0.03885,0.04088,0.06354,0.07501,0.06971,0.08031,-2.4068937699077093,False
allenai/OLMo-2-0425-1B-DPO,full_bank,8343,0.0202,0.01797,0.02243,0.03562,0.04095,0.03818,0.04371,1.3935076799838957,False
allenai/OLMo-2-0425-1B-Instruct,full_bank,8345,0.00969,0.00785,0.01153,0.01668,0.01929,0.01445,0.02413,1.320488939492724,False
arcee-ai/raspberry-3B,full_bank,8345,0.02208,0.01981,0.02435,0.03835,0.04425,0.04218,0.04633,1.1711867245601306,False
google/gemma-2-2b,full_bank,8345,0.02934,0.0276,0.03108,0.04161,0.05092,0.04652,0.05532,-1.589168818710511,False
google/gemma-2b,full_bank,8345,0.03757,0.03638,0.03877,0.05505,0.06665,0.06248,0.07083,-2.190391050520444,False
h2oai/h2o-danube-1.8b-chat,full_bank,8345,0.00923,0.00744,0.01103,0.01544,0.01799,0.01349,0.02249,0.0527687145810085,False
h2oai/h2o-danube2-1.8b-base,full_bank,8345,0.02708,0.02513,0.02903,0.03895,0.04744,0.04522,0.04966,-1.2469577010932211,False
h2oai/h2o-danube2-1.8b-chat,full_bank,8344,0.00391,0.00283,0.00499,0.01179,0.01243,0.00693,0.01792,-0.253747600382373,False
ibm-granite/granite-3.0-2b-base,full_bank,8345,0.02122,0.01889,0.02356,0.03965,0.04498,0.04326,0.04669,0.3148750597046377,False
ibm-granite/granite-3.1-2b-base,full_bank,8344,0.00622,0.00473,0.00772,0.01436,0.01565,0.00993,0.02136,0.2790624903827156,False
ibm-granite/granite-3.1-2b-instruct,full_bank,8345,0.00031,0.0,0.00066,0.00094,0.00099,0.0,0.00213,2.399632503035693,False
ibm-granite/granite-7b-instruct,full_bank,8345,0.01381,0.01152,0.01609,0.02484,0.02842,0.02427,0.03258,0.2523250723166519,False
ibm/PowerLM-3b,full_bank,8345,0.01141,0.00924,0.01358,0.0236,0.02621,0.02172,0.03071,0.1000491379585188,False
meta-llama/Llama-3.2-1B,full_bank,8345,0.04087,0.03987,0.04187,0.06934,0.08049,0.0743,0.08668,-2.485510113453514,False
meta-llama/Llama-3.2-1B-Instruct,full_bank,8345,0.00926,0.00739,0.01113,0.01635,0.01879,0.01426,0.02333,0.8090713250543944,False
meta-llama/Llama-3.2-3B-Instruct,full_bank,8345,0.01339,0.01121,0.01556,0.03932,0.04154,0.03862,0.04445,2.2931224821381613,False
microsoft/phi-1_5,full_bank,8344,0.03197,0.03027,0.03367,0.04225,0.05299,0.0497,0.05628,-1.6975323520432024,False
nvidia/AceInstruct-1.5B,full_bank,8344,0.00658,0.00499,0.00818,0.01224,0.0139,0.00936,0.01845,1.4727980500548203,False
openbmb/MiniCPM-1B-sft-bf16,full_bank,8345,0.04422,0.04347,0.04497,0.07591,0.08785,0.08043,0.09527,-2.888631980504001,False
openbmb/MiniCPM-2B-sft-bf16,full_bank,8345,0.00385,0.00276,0.00494,0.00671,0.00773,0.00392,0.01155,-0.2673993258604797,False
openlm-research/open_llama_3b,full_bank,8340,0.0436,0.04279,0.04441,0.06954,0.08208,0.07595,0.08821,-2.8028841805451883,False
pankajmathur/orca_mini_3b,full_bank,8345,0.018,0.01618,0.01983,0.02532,0.03107,0.02663,0.03551,-0.9062267355330296,False
pankajmathur/orca_mini_v9_5_3B-Instruct,full_bank,8345,0.02447,0.02205,0.02689,0.03406,0.04194,0.03956,0.04431,1.408198313044954,False
stabilityai/stablelm-2-1_6b-chat,full_bank,8345,0.02253,0.02012,0.02495,0.03826,0.0444,0.04251,0.04629,0.851326904146011,False
stabilityai/stablelm-2-zephyr-1_6b,full_bank,8345,0.01835,0.01615,0.02055,0.03402,0.03866,0.03528,0.04203,0.4434159332027339,False
stabilityai/stablelm-zephyr-3b,full_bank,8344,0.00332,0.00248,0.00417,0.00206,0.00391,0.00272,0.0051,1.1038450541428355,False
tiiuae/Falcon3-1B-Instruct,full_bank,8345,0.01221,0.01014,0.01428,0.02262,0.02571,0.02129,0.03012,0.8694407830372572,False
tiiuae/Falcon3-3B-Base,full_bank,8344,0.02025,0.01797,0.02252,0.03963,0.0445,0.04252,0.04649,0.2382914773004529,False
tiiuae/Falcon3-3B-Instruct,full_bank,8345,0.00298,0.00193,0.00403,0.01221,0.01256,0.00632,0.0188,2.199625150167277,False
utter-project/EuroLLM-1.7B,full_bank,8345,0.0403,0.03931,0.04128,0.06197,0.07392,0.06872,0.07912,-2.40246492657918,False
utter-project/EuroLLM-1.7B-Instruct,full_bank,8343,0.02278,0.02049,0.02507,0.03875,0.04495,0.04313,0.04676,-0.1996095988293836,False
01-ai/Yi-1.5-6B,deployed_cat_8_0.12,96,0.11366,0.11307,0.11425,0.04511,0.12229,0.1205,0.12407,-0.3770184116256566,False
01-ai/Yi-1.5-6B-Chat,deployed_cat_8_0.12,50,0.08375,0.08224,0.08526,0.0819,0.11714,0.11075,0.12353,2.0955135343204754,False
01-ai/Yi-6B,deployed_cat_8_0.12,136,0.11733,0.11637,0.1183,0.07565,0.13961,0.13519,0.14402,-1.339212544141711,False
01-ai/Yi-6B-200K,deployed_cat_8_0.12,163,0.12158,0.12071,0.12245,0.09325,0.15323,0.14837,0.15808,-2.1667106211211324,False
01-ai/Yi-6B-Chat,deployed_cat_8_0.12,78,0.10916,0.10779,0.11052,0.07794,0.13413,0.12949,0.13876,0.8474371662549505,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,deployed_cat_8_0.12,404,0.28558,0.27974,0.29142,0.31782,0.42728,0.40918,0.44538,-5.322923288621569,True
BEE-spoke-data/smol_llama-220M-openhermes,deployed_cat_8_0.12,393,0.21828,0.21521,0.22135,0.18758,0.2878,0.2765,0.29911,-4.643318777198033,True
BSC-LT/salamandra-2b,deployed_cat_8_0.12,156,0.1189,0.11779,0.12001,0.06017,0.13326,0.13064,0.13587,-2.1907692694210983,False
BSC-LT/salamandra-2b-instruct,deployed_cat_8_0.12,80,0.11906,0.11836,0.11977,0.04493,0.12726,0.12556,0.12896,-0.8234981964506087,False
BSC-LT/salamandra-7b,deployed_cat_8_0.12,108,0.11634,0.11497,0.11771,0.0606,0.13118,0.12816,0.13419,-1.2247051998194851,False
BSC-LT/salamandra-7b-instruct,deployed_cat_8_0.12,89,0.06072,0.05997,0.06147,0.03676,0.07098,0.06894,0.07302,0.3433358880778636,False
HuggingFaceTB/SmolLM2-360M,deployed_cat_8_0.12,349,0.10441,0.10266,0.10615,0.08366,0.13379,0.12881,0.13878,-2.840028764630483,False
