op_point,min_scenarios,se_target,scenarios_mean,scenarios_median,criteria_mean,criteria_median,convergence_rate,capped_frac,recovery_r,recovery_r_lo,recovery_r_hi,recovery_slope,theta_mae,pass_r,pass_mae,ability_se_median,se_param_median,se_total_median
f0_se0.10,0,0.1,10.35,8,103.5,72,1.0,0.0,0.9666,0.9449,0.9799,0.9059,0.4308,0.9265,0.0586,0.1077,0.0649,0.1285
f0_se0.12,0,0.12,6.73,5,66.5,51,1.0,0.0,0.9489,0.9244,0.9685,0.9388,0.5131,0.9221,0.0604,0.1309,0.0844,0.16
f0_se0.15,0,0.15,4.27,4,42.4,37,1.0,0.0,0.9335,0.8999,0.9633,0.8099,0.5276,0.9182,0.0588,0.164,0.1096,0.1969
f0_se0.20,0,0.2,2.63,2,26.5,22,1.0,0.0,0.9114,0.868,0.9484,0.7534,0.5698,0.885,0.0645,0.2422,0.1545,0.2957
f0_se0.25,0,0.25,2.08,2,21.2,19,1.0,0.0,0.8455,0.7913,0.9009,0.6771,0.7632,0.824,0.0789,0.2727,0.1874,0.3693
f0_se0.30,0,0.3,1.77,2,18.1,19,1.0,0.0,0.8158,0.7361,0.8775,0.6192,0.8721,0.8256,0.083,0.3661,0.1868,0.4065
f4_se0.10,4,0.1,10.37,8,103.7,72,1.0,0.0,0.9665,0.9446,0.9798,0.9056,0.4325,0.9259,0.0588,0.1077,0.0701,0.1307
f4_se0.12,4,0.12,6.85,5,67.8,51,1.0,0.0,0.9491,0.9248,0.9687,0.9389,0.5133,0.9209,0.0609,0.1299,0.0835,0.1523
f4_se0.15,4,0.15,4.83,4,47.8,43,1.0,0.0,0.9355,0.9019,0.9651,0.8098,0.5277,0.9172,0.0599,0.1513,0.0999,0.1776
f4_se0.20,4,0.2,4.17,4,41.7,41,1.0,0.0,0.9278,0.8942,0.9648,0.804,0.5147,0.916,0.0596,0.1636,0.098,0.199
f4_se0.25,4,0.25,4.02,4,40.2,40,1.0,0.0,0.9174,0.8782,0.9576,0.7745,0.5498,0.9157,0.0601,0.1636,0.1089,0.1946
f4_se0.30,4,0.3,4.0,4,40.0,40,1.0,0.0,0.9174,0.8782,0.9576,0.7745,0.5498,0.9157,0.0601,0.1636,0.1075,0.1955
f6_se0.10,6,0.1,10.6,8,106.1,72,1.0,0.0,0.9673,0.9456,0.9804,0.9054,0.4267,0.928,0.058,0.1075,0.069,0.128
f6_se0.12,6,0.12,7.62,6,75.2,65,1.0,0.0,0.9523,0.9307,0.9704,0.9517,0.4909,0.9267,0.0578,0.1174,0.078,0.1416
f6_se0.15,6,0.15,6.33,6,62.2,62,1.0,0.0,0.9406,0.9096,0.9687,0.8174,0.5096,0.9268,0.0586,0.1265,0.0812,0.1483
f6_se0.20,6,0.2,6.02,6,59.4,60,1.0,0.0,0.9406,0.9082,0.9696,0.8301,0.5037,0.9267,0.0588,0.1265,0.0811,0.1515
f6_se0.25,6,0.25,6.0,6,59.2,59,1.0,0.0,0.9406,0.9082,0.9696,0.8301,0.5037,0.9267,0.0588,0.1265,0.0827,0.1512
f6_se0.30,6,0.3,6.0,6,59.2,59,1.0,0.0,0.9406,0.9082,0.9696,0.8301,0.5037,0.9267,0.0588,0.1265,0.0816,0.1463
f8_se0.10,8,0.1,11.44,8,114.5,86,1.0,0.0,0.9696,0.9498,0.9821,0.9061,0.4074,0.9344,0.0551,0.1032,0.0658,0.1197
f8_se0.12,8,0.12,8.94,8,88.2,83,1.0,0.0,0.9549,0.9361,0.9724,0.9545,0.4796,0.9336,0.0556,0.1092,0.0664,0.1263
f8_se0.15,8,0.15,8.06,8,79.4,81,1.0,0.0,0.9456,0.9213,0.9687,0.8333,0.5044,0.9338,0.0557,0.1092,0.0712,0.1284
f8_se0.20,8,0.2,8.0,8,78.9,81,1.0,0.0,0.9479,0.9231,0.9716,0.8764,0.4909,0.9339,0.0555,0.1092,0.0727,0.1298
f8_se0.25,8,0.25,8.0,8,78.9,81,1.0,0.0,0.9479,0.9231,0.9716,0.8764,0.4909,0.9339,0.0555,0.1092,0.0698,0.1306
f8_se0.30,8,0.3,8.0,8,78.9,81,1.0,0.0,0.9479,0.9231,0.9716,0.8764,0.4909,0.9339,0.0555,0.1092,0.0717,0.1283
f12_se0.10,12,0.1,13.9,12,137.8,129,1.0,0.0,0.9733,0.9563,0.9839,0.9227,0.3815,0.9469,0.0504,0.0917,0.0544,0.1013
f12_se0.12,12,0.12,12.21,12,120.0,125,1.0,0.0,0.9647,0.9519,0.9798,0.9652,0.4277,0.9464,0.0506,0.0917,0.0529,0.1013
f12_se0.15,12,0.15,12.0,12,118.1,122,1.0,0.0,0.955,0.9439,0.9715,0.9273,0.4568,0.9464,0.0508,0.0917,0.054,0.1016
f12_se0.20,12,0.2,12.0,12,118.1,122,1.0,0.0,0.955,0.9439,0.9715,0.9273,0.4568,0.9464,0.0508,0.0917,0.0544,0.1011
f12_se0.25,12,0.25,12.0,12,118.1,122,1.0,0.0,0.955,0.9439,0.9715,0.9273,0.4568,0.9464,0.0508,0.0917,0.0553,0.103
f12_se0.30,12,0.3,12.0,12,118.1,122,1.0,0.0,0.955,0.9439,0.9715,0.9273,0.4568,0.9464,0.0508,0.0917,0.0561,0.1009
f15_se0.10,15,0.1,16.17,15,158.3,156,1.0,0.0,0.9787,0.965,0.9872,0.9215,0.3378,0.9546,0.0463,0.0771,0.0496,0.0891
f15_se0.12,15,0.12,15.04,15,146.6,152,1.0,0.0,0.9191,0.8997,0.9852,1.0578,0.4489,0.9541,0.0467,0.0771,0.0511,0.0907
f15_se0.15,15,0.15,15.0,15,146.2,151,1.0,0.0,0.9119,0.8909,0.9812,1.0365,0.4671,0.9541,0.0469,0.0771,0.0491,0.0898
f15_se0.20,15,0.2,15.0,15,146.2,151,1.0,0.0,0.9119,0.8909,0.9812,1.0365,0.4671,0.9541,0.0469,0.0771,0.0509,0.09
f15_se0.25,15,0.25,15.0,15,146.2,151,1.0,0.0,0.9119,0.8909,0.9812,1.0365,0.4671,0.9541,0.0469,0.0771,0.0512,0.0909
f15_se0.30,15,0.3,15.0,15,146.2,151,1.0,0.0,0.9119,0.8909,0.9812,1.0365,0.4671,0.9541,0.0469,0.0771,0.0487,0.0898
f20_se0.10,20,0.1,20.35,20,200.7,208,1.0,0.0,0.9822,0.9724,0.989,0.9144,0.3183,0.9619,0.0442,0.0651,0.0435,0.0794
f20_se0.12,20,0.12,20.0,20,197.2,201,1.0,0.0,0.9215,0.9012,0.9887,1.0562,0.4165,0.9619,0.0441,0.0651,0.0435,0.0784
f20_se0.15,20,0.15,20.0,20,197.2,201,1.0,0.0,0.9191,0.8977,0.9874,1.0489,0.4231,0.9619,0.0442,0.0651,0.0443,0.0797
f20_se0.20,20,0.2,20.0,20,197.2,201,1.0,0.0,0.9191,0.8977,0.9874,1.0489,0.4231,0.9619,0.0442,0.0651,0.043,0.0794
f20_se0.25,20,0.25,20.0,20,197.2,201,1.0,0.0,0.9191,0.8977,0.9874,1.0489,0.4231,0.9619,0.0442,0.0651,0.0429,0.0787
f20_se0.30,20,0.3,20.0,20,197.2,201,1.0,0.0,0.9191,0.8977,0.9874,1.0489,0.4231,0.9619,0.0442,0.0651,0.0417,0.0786
