model,theta_sd,theta_range
01-ai/Yi-1.5-6B,0.23924762255536486,0.7834528675899588
01-ai/Yi-1.5-6B-Chat,0.1299915367583518,0.3744766987116219
01-ai/Yi-6B,0.3364700278974989,0.7880278661671005
01-ai/Yi-6B-200K,0.5113212189571528,1.852975457020594
01-ai/Yi-6B-Chat,0.15807370860192707,0.4821500467608162
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.9446868046730507,2.322518263436596
BEE-spoke-data/smol_llama-220M-openhermes,1.1066044649102775,3.2617655800643286
BSC-LT/salamandra-2b,0.49977646838477435,1.1780797170519377
BSC-LT/salamandra-2b-instruct,0.10308764445478338,0.32594949719933375
BSC-LT/salamandra-7b,0.15890760100273213,0.49432645374904616
BSC-LT/salamandra-7b-instruct,0.09299085226823692,0.25097042097314737
HuggingFaceTB/SmolLM2-360M,0.4469874357215214,1.1717404856188751
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.12764760632008493,0.3947329567182063
OpenBMB/MiniCPM4-0.5B,0.33254200501194786,1.0275283948537366
Qwen/Qwen1.5-1.8B,0.39992858108261614,1.2567047770557513
Qwen/Qwen1.5-1.8B-Chat,0.09618041134541969,0.29628345549620966
Qwen/Qwen2-0.5B,0.15839384234016968,0.41734866861128594
Qwen/Qwen2.5-0.5B-Instruct,0.23939407699905882,0.7426701854675082
ai-forever/mGPT,0.812639477093837,2.0122919494642475
allenai/OLMo-1B-hf,1.655304480879782,4.019049092373257
allenai/OLMo-2-0425-1B,0.5258954451858907,1.378360463546778
allenai/OLMo-2-0425-1B-DPO,0.17712204571421908,0.4930131622660421
allenai/OLMo-2-0425-1B-Instruct,0.05232588106895524,0.15861324256412135
arcee-ai/raspberry-3B,0.1471785914581581,0.4633211499594114
google/gemma-2-2b,0.3601652474423174,0.9489451397328628
google/gemma-2b,0.35207608545533625,0.8763468904630425
h2oai/h2o-danube-1.8b-chat,0.06310084605699977,0.1616396370547762
h2oai/h2o-danube2-1.8b-base,0.659056667029215,1.9889174775246132
h2oai/h2o-danube2-1.8b-chat,0.09267061475904882,0.2460024323751874
ibm-granite/granite-3.0-2b-base,0.03729551220763897,0.11617866784413955
ibm-granite/granite-3.1-2b-base,0.07499648506353379,0.2501129343245716
ibm-granite/granite-3.1-2b-instruct,0.16793238124379226,0.5722537587527752
ibm-granite/granite-7b-instruct,0.27516805141838047,0.8570494275597483
ibm/PowerLM-3b,0.04959256039750536,0.13542250213493007
meta-llama/Llama-3.2-1B,0.7025200249221079,2.004868666174414
meta-llama/Llama-3.2-1B-Instruct,0.07724537627136631,0.2657296630687951
meta-llama/Llama-3.2-3B-Instruct,0.1585009661410344,0.4585268142720442
microsoft/phi-1_5,0.12912497179622293,0.3896907932543854
nvidia/AceInstruct-1.5B,0.08804690424560499,0.2343731909221849
openbmb/MiniCPM-1B-sft-bf16,0.341866313807941,1.040999351779729
openbmb/MiniCPM-2B-sft-bf16,0.049297148724193995,0.13337719365002504
openlm-research/open_llama_3b,0.6507835168070221,2.0752710758800244
pankajmathur/orca_mini_3b,0.07288586373067175,0.22356968360685625
pankajmathur/orca_mini_v9_5_3B-Instruct,0.23866043329365744,0.6310895005588623
stabilityai/stablelm-2-1_6b-chat,0.04789281890604835,0.1570673720340452
stabilityai/stablelm-2-zephyr-1_6b,0.10743601891839433,0.3512569045320153
stabilityai/stablelm-zephyr-3b,0.07118463836794864,0.19576225147379533
tiiuae/Falcon3-1B-Instruct,0.08136724908551908,0.2775402217342554
tiiuae/Falcon3-3B-Base,0.05274977174949613,0.1526362181607901
tiiuae/Falcon3-3B-Instruct,0.2799308712504312,0.9002555957889404
utter-project/EuroLLM-1.7B,0.4000753496866382,1.0082754789439976
utter-project/EuroLLM-1.7B-Instruct,0.07183973836774787,0.2103027931847331
