rank,model,theta,se_ability,se_param,se_total,observed_pass_rate,weakly_identified
1,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.699102908228435,9.84334210545822e-06,5.015796450448345e-06,1.1047605977650404e-05,0.7013780707010185,False
2,ibm-granite/granite-3.1-2b-instruct,2.399632503035693,5.660323324143473e-06,2.967249774558176e-05,3.020755505822008e-05,0.644577591372079,False
3,meta-llama/Llama-3.2-3B-Instruct,2.2931224821381613,0.0001280380712627,0.0367259454610197,0.0367261686506159,0.5929298981426003,False
4,tiiuae/Falcon3-3B-Instruct,2.1996251501672766,1.82760418467169e-05,0.0088080859471393,0.0088081049077482,0.5798681845416417,False
5,01-ai/Yi-1.5-6B-Chat,2.0955135343204754,0.0001866558946057,0.0038513382104839,0.0038558587155813,0.5515877771120431,False
6,nvidia/AceInstruct-1.5B,1.4727980500548203,0.0060298318471268,0.0157660876175489,0.0168798220034707,0.46955896452540746,False
7,pankajmathur/orca_mini_v9_5_3B-Instruct,1.408198313044954,0.0009935884337037,0.0374941117758777,0.0375072744389352,0.4710605152786099,False
8,allenai/OLMo-2-0425-1B-DPO,1.3935076799838957,0.0008397509609318,0.0366428411330077,0.0366524622361885,0.4464820807862879,False
9,allenai/OLMo-2-0425-1B-Instruct,1.320488939492724,0.0033063854694989,0.0184287565819793,0.0187230140210052,0.43870581186339125,False
10,arcee-ai/raspberry-3B,1.1711867245601306,0.0067280991692979,0.0390417773837018,0.0396172651720237,0.4135410425404434,False
11,stabilityai/stablelm-zephyr-3b,1.1038450541428355,0.000548633493692,0.005395357612719,0.0054231801076053,0.39932885906040266,False
12,tiiuae/Falcon3-1B-Instruct,0.8694407830372572,0.0091323698645256,0.0192721044799986,0.0213263731194612,0.3543439185140803,False
13,stabilityai/stablelm-2-1_6b-chat,0.851326904146011,0.0485006419684513,0.0379029901540307,0.0615544387836365,0.35086878370281605,False
14,01-ai/Yi-6B-Chat,0.8474371662549505,0.0448921645077266,0.0401729824108511,0.0602426339893214,0.3612176414189837,False
15,meta-llama/Llama-3.2-1B-Instruct,0.8090713250543944,0.0014465840861146,0.0168975397167915,0.0169593470982448,0.3324146195326543,False
16,stabilityai/stablelm-2-zephyr-1_6b,0.4434159332027339,0.0302003265084423,0.0356607314879186,0.0467305841122273,0.2940683043738766,False
17,BSC-LT/salamandra-7b-instruct,0.34333588807786364,0.0288356113388708,0.0361521164833503,0.0462435726075759,0.3095266626722588,False
18,ibm-granite/granite-3.0-2b-base,0.3148750597046377,0.0024385390097726,0.0419575577440587,0.0420283609524355,0.32702216896345115,False
19,ibm-granite/granite-3.1-2b-base,0.2790624903827156,0.0038122499277373,0.0116800989158116,0.0122864950329489,0.31603547459252157,False
20,Qwen/Qwen1.5-1.8B-Chat,0.27025347260360777,0.0079400454127166,0.0137393424287,0.0158686436575114,0.26189620040752726,False
21,ibm-granite/granite-7b-instruct,0.25232507231665197,0.0448124551218009,0.0272469033066189,0.0524456849878392,0.28927501497902935,False
22,tiiuae/Falcon3-3B-Base,0.2382914773004529,0.0159605330264437,0.0403342230616033,0.0433772770522929,0.3028523489932886,False
23,ibm/PowerLM-3b,0.10004913795851884,0.0003529113483714,0.0236207006989172,0.0236233369346423,0.2826842420611144,False
24,h2oai/h2o-danube-1.8b-chat,0.05276871458100854,0.0425881070935893,0.0184883780346933,0.0464280840458527,0.22947872977831035,False
25,Qwen/Qwen2.5-0.5B-Instruct,-0.11226567658990969,0.0021569031017258,0.0174434137512751,0.0175762599630413,0.19484721390053925,False
26,utter-project/EuroLLM-1.7B-Instruct,-0.19960959882938364,0.0006992390800283,0.0391263561873772,0.039132603846314,0.18362699268848137,False
27,h2oai/h2o-danube2-1.8b-chat,-0.25374760038237304,0.0434924842817437,0.009874310950397,0.0445993072338894,0.1965484180249281,False
28,openbmb/MiniCPM-2B-sft-bf16,-0.26739932586047976,0.0138587785251941,0.0061915837571465,0.0151789805860651,0.16620730976632714,False
29,OpenBMB/MiniCPM4-0.5B,-0.34756025478605457,0.0478980483720844,0.037042982868195,0.0605508515020881,0.16860395446375076,False
30,01-ai/Yi-1.5-6B,-0.37701841162565664,0.0084348680464662,0.0172105158860012,0.0191663469660652,0.20083882564409827,False
31,BSC-LT/salamandra-2b-instruct,-0.8234981964506087,0.0207454717583286,0.0395600118934865,0.0446695549506418,0.13768723786698622,False
